rep_kind,recipe_id,n_mc,robust_prob,margin_risk_prob,defect_prob,p_strict_pass,mean_CD_error_nm,std_CD_final_nm,mean_LER_CD_locked_nm,std_LER_CD_locked_nm,mean_P_line_margin,std_P_line_margin,mean_strict_score
strict-best,G_3691,300,1.0,0.0,0.0,0.43,0.6284812630702915,0.4910961770961183,2.543331877694362,0.018372896553405436,0.21840960272123464,0.012145900293167927,0.32253458318365535
CD-best,G_2311,300,1.0,0.0,0.0,0.2866666666666667,0.7955499372142176,0.45500144130916836,2.544078844564064,0.01948208792499214,0.2281526847225959,0.010868992724201311,-0.031257438288507584
LER-best,G_829,300,1.0,0.0,0.0,0.09,1.1807152241594379,0.5036228616423533,2.5043414437473404,0.02132628649605241,0.19549637071957698,0.013182360616147791,-1.0453296747230012
balanced-best,G_1226,300,1.0,0.0,0.0,0.2966666666666667,0.743019124140842,0.4126895556310316,2.5331554234516496,0.01917772638702576,0.22997587462277475,0.009973585273503015,0.1276643677865259
margin-best,G_4299,300,1.0,0.0,0.0,0.4666666666666667,0.5494222387337082,0.39519514493359725,2.560723904554267,0.018185154278076772,0.2127566000999596,0.012108938509473054,0.5642521235625821
novelty,G_3185,300,1.0,0.0,0.0,0.14,0.9950985894710888,0.4653877457207364,2.524433220311176,0.0196267446918101,0.21708956818155067,0.012036194126013934,-0.506283106206868
