_id,label,pitch_nm,line_cd_nm,line_cd_ratio,domain_x_nm,dose_mJ_cm2,sigma_nm,DH_nm2_s,time_s,Hmax_mol_dm3,kdep_s_inv,Q0_mol_dm3,kq_s_inv,abs_len_nm,CD_locked_nm,LER_CD_locked_nm,area_frac,P_line_margin,CD_final_nm,CD_pitch_frac,LER_after_PEB_P_nm,LER_design_initial_nm,P_space_center_mean,P_line_center_mean,contrast,psd_locked_mid,psd_design_mid,H_min,P_min,P_max,prefilter_score,roughness_trigger,source_recipe_id,rank_surrogate,variation_idx,phase,yield_score_surrogate
A_1084__nom,robust_valid,24.0,12.48,0.52,120.0,41.07200913783163,0.7054935414344072,0.5825426370836795,28.864044840447605,0.19722204012796282,0.6278532085940243,0.0173129057418555,1.265081333462149,50.0,12.642980542414943,2.5128076359883194,0.62453125,0.1623370266123092,14.980455229482592,0.6241856345617747,2.552729159818829,2.7701829575093893,0.23282738049520776,0.8123370266123092,0.5795096461171014,1.5286865538064753,4.586725975482864,0.01703218570592447,0.13572875603779413,0.8310053897146586,,,A_1084,71,0,nominal,0.7690667100485976
A_1264__nom,robust_valid,24.0,12.48,0.52,120.0,29.529165686108172,1.0543248653411865,0.3687903263606131,34.83001464512199,0.21602713176049293,0.637951438035816,0.007953422907739878,1.4434755146503448,50.0,12.593012546708653,2.495684567527096,0.6569270833333334,0.21120374808919962,15.76830588425652,0.657012745177355,2.551322711851602,2.7701829575093893,0.223615684610892,0.8612037480891996,0.6375880634783077,1.6067486131681552,4.586725975482864,0.013183034798260723,0.11661455640659268,0.8749749587334253,,,A_1264,72,0,nominal,0.7672999999999996
A_1757__nom,robust_valid,24.0,12.48,0.52,120.0,53.501363100484014,0.4612874239683151,0.34139134380966424,30.51395391114056,0.15531855992041527,0.4867573479190469,0.00870791888795793,1.1394146736711264,50.0,12.320813246133403,2.5332961315075284,0.5471180555555556,0.10289373243410538,13.110539746407227,0.5462724894336345,2.5379417312137784,2.7701829575093893,0.1176853467195143,0.7528937324341054,0.6352083857145912,2.0957137922949736,4.586725975482864,0.009805456789525591,0.05108534615203566,0.7667480395374892,,,A_1757,73,0,nominal,0.7668083333333328
A_949__nom,robust_valid,24.0,12.48,0.52,120.0,44.02818835247308,0.6056091478094459,0.5000479134730995,29.674122207798064,0.17245238519273698,0.525160132534802,0.003538083331659436,1.5724155926145613,50.0,12.313349044817613,2.509429153882061,0.5838888888888889,0.11714252573501116,14.000299587078132,0.5833458161282555,2.5290891962374222,2.7701829575093893,0.20137061435865738,0.7671425257350112,0.5657719113763537,1.6239972763240622,4.586725975482864,0.018469387363046246,0.11350281013241255,0.7853412481251753,,,A_949,74,0,nominal,0.7657250000000004
A_3011__nom,robust_valid,24.0,12.48,0.52,120.0,54.85540143493563,1.875277834944427,0.43021896639838814,27.16414707712829,0.17989457620307803,0.5282267141155899,0.02109110791236162,1.4438459905795753,50.0,12.217482102991328,2.458072460399529,0.6073611111111111,0.11404875015523186,14.57671373621036,0.6073630723420983,2.5051742247879023,2.7701829575093893,0.20088940142271053,0.7640487501552319,0.5631593487325214,1.2437572361173106,4.586725975482864,0.014208608260056169,0.10098692440656114,0.7800842357838765,,,A_3011,75,0,nominal,0.765425
A_59__nom,robust_valid,24.0,12.48,0.52,120.0,43.769047133624554,1.4880710039287806,0.4066675465553999,33.09072468429804,0.16689898288808763,0.5817201604135335,0.016198770515620707,1.9428151990287006,50.0,12.522628141661958,2.475045317631498,0.60734375,0.13787695060527483,14.576445085938166,0.6073518785807569,2.510757233133376,2.7701829575093893,0.1916668374730289,0.7878769506052749,0.5962101131322459,1.3677173628072068,4.586725975482864,0.010768125316839626,0.09739584386604375,0.8052851663651791,,,A_59,76,0,nominal,0.7650666666666665
A_3851__nom,robust_valid,24.0,12.48,0.52,120.0,51.401658120565116,0.6264695869758725,0.40745369968935846,25.33356014639139,0.16819781166501344,0.620151458028704,0.003911695461720228,1.3223657310009003,50.0,12.327825014908885,2.5228011887230126,0.5961458333333334,0.15917461066374983,14.306974019373726,0.5961239174739053,2.5350836561970445,2.7701829575093893,0.15110445337550898,0.8091746106637498,0.6580701572882408,1.9859530225663775,4.586725975482864,0.012529214722173486,0.06781543432486743,0.8216377260775974,,,A_3851,77,0,nominal,0.7650083333333331
A_2566__nom,robust_valid,24.0,12.48,0.52,120.0,52.538248378783464,0.31081542558968067,0.3338446795940399,21.57631819602102,0.1853828446008265,0.5649678627029061,0.009108648179098964,1.2308504916727543,50.0,12.295874428077358,2.5745050518339507,0.5408854166666667,0.11615460327958504,12.952581636915998,0.5396909015381666,2.5742061713230706,2.7701829575093893,0.06868151429297176,0.7661546032795851,0.6974730889866133,2.546861926691155,4.586725975482864,0.005978877578298202,0.020914434958428357,0.775287664344195,,,A_2566,78,0,nominal,0.7639750000000005
A_3432__nom,robust_valid,24.0,12.48,0.52,120.0,44.875411371700466,0.9124295152723789,0.5516660545952619,28.020666637457907,0.17976184391416608,0.586140519939363,0.007783340625464916,1.1715607475489378,50.0,12.374114839537228,2.501914550985577,0.62046875,0.1436598912143442,14.886671527514888,0.6202779803131203,2.549381750708837,2.7701829575093893,0.23423279190351226,0.7936598912143442,0.5594270993108319,1.4708343326507456,4.586725975482864,0.0199854662633462,0.13644841233784555,0.811420539766661,,,A_3432,79,0,nominal,0.7638851623133445
A_580__nom,robust_valid,24.0,12.48,0.52,120.0,56.82021369505674,0.7378830844536424,0.4124014821834862,22.55467905662954,0.18696644284762443,0.4874371585436165,0.015808379435911773,1.5621275873854756,50.0,12.365804829412179,2.5289892116373296,0.5252604166666667,0.07155331330672665,12.60659047472035,0.525274603113348,2.5299646613521887,2.7701829575093893,0.09446214621566452,0.7215533133067267,0.6270911670910622,2.079643819769751,4.586725975482864,0.009385262342295616,0.03690806227505758,0.7342966764974135,,,A_580,80,0,nominal,0.7637166666666665
