_id,label,pitch_nm,line_cd_nm,line_cd_ratio,domain_x_nm,dose_mJ_cm2,sigma_nm,DH_nm2_s,time_s,Hmax_mol_dm3,kdep_s_inv,Q0_mol_dm3,kq_s_inv,abs_len_nm,CD_locked_nm,LER_CD_locked_nm,area_frac,P_line_margin,CD_final_nm,CD_pitch_frac,LER_after_PEB_P_nm,LER_design_initial_nm,P_space_center_mean,P_line_center_mean,contrast,psd_locked_mid,psd_design_mid,H_min,P_min,P_max,prefilter_score,roughness_trigger,source_recipe_id,rank_strict,variation_idx,phase,strict_score_surrogate,yield_score_surrogate,rep_kind
G_3691__mc001_06h,robust_valid,24.0,12.214059093985409,0.5089191289160587,120.0,60.0,0.27430810167815156,0.5112151180351453,29.4652996357248,0.1841065856657339,0.6312138759531081,0.01808008040925482,0.9048012448474765,50.0,12.309560493672898,2.5402623670268967,0.6402777777777777,0.21378630569183033,15.370412956347575,0.640433873181149,2.565602180453866,2.791445615283391,0.225551004193876,0.8637863056918303,0.6382353014979544,1.7605086313900056,4.622300971655899,0.016974463633836995,0.12672647479837443,0.8801468220333131,,,G_3691,1,1,mc_top10,0.7712882024965764,0.9909500000000024,
G_3691__mc002_06h,robust_valid,24.0,12.859736654855014,0.5358223606189589,120.0,58.6013175450717,0.35475662880451075,0.4502925154600725,30.99619131136729,0.18784981341053164,0.6312138759531081,0.016731694258592455,0.9048012448474765,50.0,12.760921871517198,2.5675265491372175,0.6840104166666666,0.23813120985238112,16.417497634730175,0.6840624014470906,2.638095740439521,2.809924436550554,0.25290823931251244,0.8881312098523811,0.6352229705398686,1.8093916548790356,4.563843276360794,0.017505600135512046,0.13645771300041631,0.8996445993659291,,,G_3691,1,2,mc_top10,0.7712882024965764,0.9909500000000024,
G_3691__mc003_06h,robust_valid,24.0,12.797647283508262,0.5332353034795109,120.0,58.588230551001274,0.22543266828671055,0.5055012583024431,29.053032938624064,0.17829264471794964,0.6312138759531081,0.017529939330565316,0.9048012448474765,50.0,12.836289749291243,2.559033701235252,0.6489236111111111,0.20365458950186277,15.56472153730854,0.6485300640545225,2.5945676447327872,2.801325591604029,0.23188674347196123,0.8536545895018628,0.6217678460299015,1.7592350598012438,4.542011543746798,0.017192145293176864,0.12736128397913213,0.8678937241368135,,,G_3691,1,3,mc_top10,0.7712882024965764,0.9909500000000024,
G_3691__mc004_06h,robust_valid,24.0,12.122646990668823,0.5051102912778677,120.0,56.88240295220232,0.16061260397729646,0.516399755716492,31.117526961416242,0.18632950895450204,0.6312138759531081,0.01875891086045697,0.9048012448474765,50.0,11.917614738094283,2.5502770210841383,0.6421006944444444,0.21770555923687684,15.40729209697516,0.6419705040406317,2.5758457278694697,2.7999427044692475,0.23429875678759696,0.8677055592368769,0.6334068024492799,1.7273717088401823,4.590523080680872,0.016744975606948743,0.1340464261215213,0.8849198802231304,,,G_3691,1,4,mc_top10,0.7712882024965764,0.9909500000000024,
G_3691__mc005_06h,robust_valid,24.0,12.05426275220493,0.5022609480085388,120.0,60.0,0.13012875334573762,0.45533760348687047,28.95558504613266,0.18820545795972432,0.6312138759531081,0.017104090797405515,0.9048012448474765,50.0,12.103982344017087,2.5690395908004384,0.6209375,0.22111539850027973,14.9028049215902,0.6209502050662583,2.5679158844324372,2.8137453671627055,0.1871910334653411,0.8711153985002797,0.6839243650349387,1.9156963024909008,4.597282795928382,0.013967482583433425,0.09511883205276667,0.8864631596119219,,,G_3691,1,5,mc_top10,0.7712882024965764,0.9909500000000024,
G_3691__mc006_06h,robust_valid,24.0,12.399594183537566,0.5166497576473986,120.0,60.0,0.06266333920122741,0.4813024823577412,31.30590084179756,0.18805806599022826,0.6312138759531081,0.017088584965829406,0.9048012448474765,50.0,12.534585240749275,2.5249009910620663,0.6610069444444444,0.2355765426276457,15.863313713505587,0.6609714047293994,2.5591185506889116,2.777139811468949,0.2401080621988773,0.8855765426276457,0.6454684804287685,1.819765322287449,4.656752412925492,0.017139176191148922,0.13443089788629126,0.9000202209501775,,,G_3691,1,6,mc_top10,0.7712882024965764,0.9909500000000024,
G_3691__mc007_06h,robust_valid,24.0,12.532680985315686,0.5221950410548203,120.0,57.15868624954897,0.0018764324911636487,0.5213197103577183,31.017573567375155,0.18795722958956534,0.6312138759531081,0.019570957846406053,0.9048012448474765,50.0,12.280934625937757,2.525048664489501,0.65765625,0.22128920449377987,15.782262171657981,0.6575942571524159,2.567666637468424,2.773609939668259,0.24799799891844598,0.8712892044937799,0.6232912055753339,1.7495165474061665,4.578353136956092,0.017607893429214386,0.14214523101074608,0.8869504161849208,,,G_3691,1,7,mc_top10,0.7712882024965764,0.9909500000000024,
G_3691__mc008_06h,robust_valid,24.0,12.920589785156267,0.5383579077148445,120.0,59.97598361137016,0.22589263002413124,0.46395214041775656,29.284055052567176,0.17596868367733517,0.6312138759531081,0.016855348955117047,0.9048012448474765,50.0,13.026737930251182,2.574992568255477,0.6513888888888889,0.20998926841219523,15.631339222338601,0.6513058009307751,2.606235907068137,2.8130245855275056,0.22262782910009923,0.8599892684121953,0.637361439312096,1.8590794950845217,4.568427083774678,0.016108714593871386,0.11784563474591277,0.873158099277297,,,G_3691,1,8,mc_top10,0.7712882024965764,0.9909500000000024,
G_3691__mc009_06h,robust_valid,24.0,12.01447389119112,0.50060307879963,120.0,58.40725589236184,0.3523631720031758,0.5230735406182577,29.022225051006338,0.189476403632294,0.6312138759531081,0.018796635466517657,0.9048012448474765,50.0,11.75758898339041,2.565735758482825,0.6342708333333333,0.21213019080740947,15.227695028617585,0.634487292859066,2.589113983847645,2.81758092412784,0.2214462218418501,0.8621301908074095,0.6406839689655595,1.7286590871158958,4.567003087347526,0.016891361314117403,0.12411494029627375,0.8792831130276401,,,G_3691,1,9,mc_top10,0.7712882024965764,0.9909500000000024,
G_3691__mc010_06h,robust_valid,24.0,12.855974935945964,0.5356656223310818,120.0,56.44642341875948,0.04424834878679759,0.5155202793438896,30.19004835364353,0.17621539904311234,0.6312138759531081,0.01670033005769859,0.9048012448474765,50.0,12.817880622417544,2.5702340172472757,0.6508854166666667,0.20297955522456024,15.618892720718407,0.6507871966966002,2.610357084354467,2.8103601080745193,0.24283669475321654,0.8529795552245603,0.6101428604713437,1.7391334407559973,4.547955444876878,0.017639115320303045,0.13772490712732957,0.8679439958675573,,,G_3691,1,10,mc_top10,0.7712882024965764,0.9909500000000024,
G_3691__mc011_06h,robust_valid,24.0,12.71785689334909,0.5299107038895454,120.0,57.389313683107964,0.14716308898979083,0.4926245245759939,30.791500528222706,0.17998194464876668,0.6312138759531081,0.016829836894207927,0.9048012448474765,50.0,12.703307883602758,2.531236472103865,0.6580381944444444,0.21673162485865838,15.783215651141285,0.6576339854642202,2.572570183234208,2.7752422399709262,0.24201506314964322,0.8667316248586584,0.6247165617090151,1.783663423140989,4.60348533987503,0.017211657758074816,0.135113892977152,0.8810497490916392,,,G_3691,1,11,mc_top10,0.7712882024965764,0.9909500000000024,
G_3691__mc012_06h,robust_valid,24.0,12.570838667798832,0.5237849444916179,120.0,58.87931708547072,0.27547642705771447,0.5077044869985619,32.519650827642714,0.1749122103450038,0.6312138759531081,0.016514195391225867,0.9048012448474765,50.0,12.540789693290417,2.5304778539846597,0.6732638888888889,0.22122083659625635,16.168034567636692,0.6736681069848621,2.6050182796230326,2.7773537750592596,0.26818003837318655,0.8712208365962564,0.6030407982230699,1.6768443845988834,4.53543375338236,0.018492586314312904,0.15834009999704923,0.8862899892605993,,,G_3691,1,12,mc_top10,0.7712882024965764,0.9909500000000024,
G_3691__mc013_06h,robust_valid,24.0,12.22207389916224,0.50925307913176,120.0,59.01442193213077,0.24993847793819007,0.4987450154851959,31.40464002322441,0.17480105157730258,0.6312138759531081,0.017907216255688283,0.9048012448474765,50.0,12.23569382841497,2.535382083576774,0.6397222222222222,0.21020765311964051,15.354425564557422,0.6397677318565592,2.5622581514727374,2.785636684841461,0.23029579911465584,0.8602076531196405,0.6299118540049847,1.7302131557110791,4.585689119210597,0.016231234192993382,0.13151527354808998,0.8771503275911426,,,G_3691,1,13,mc_top10,0.7712882024965764,0.9909500000000024,
G_3691__mc014_06h,robust_valid,24.0,12.66464453394185,0.527693522247577,120.0,60.0,0.07078260017377752,0.5292841927546094,30.351633657612552,0.1729084680186819,0.6312138759531081,0.017273622649144716,0.9048012448474765,50.0,12.691802889434324,2.5318807769140603,0.6464756944444444,0.20290556500255208,15.523157685816855,0.6467982369090356,2.568076252845645,2.7777083047094946,0.2425974603929676,0.8529055650025521,0.6103081046095845,1.757632304852916,4.611344736439557,0.017752260722584238,0.1402882452902436,0.8689163386311453,,,G_3691,1,14,mc_top10,0.7712882024965764,0.9909500000000024,
G_3691__mc015_06h,robust_valid,24.0,12.342355509709005,0.5142648129045418,120.0,60.0,0.36074855874197415,0.5093648739046632,32.393964396063005,0.18451860404301265,0.6312138759531081,0.018103109117576954,0.9048012448474765,50.0,12.38693364214979,2.5324105221282798,0.6805381944444444,0.2338688946663372,16.34636730188078,0.6810986375783658,2.6176875163511313,2.786079880619094,0.2720296735614255,0.8838688946663372,0.6118392211049117,1.651733940762925,4.561369143494678,0.018782601132119468,0.15995024496455534,0.8987727986875955,,,G_3691,1,15,mc_top10,0.7712882024965764,0.9909500000000024,
