_id,label,pitch_nm,line_cd_nm,line_cd_ratio,domain_x_nm,dose_mJ_cm2,sigma_nm,DH_nm2_s,time_s,Hmax_mol_dm3,kdep_s_inv,Q0_mol_dm3,kq_s_inv,abs_len_nm,CD_locked_nm,LER_CD_locked_nm,area_frac,P_line_margin,CD_final_nm,CD_pitch_frac,LER_after_PEB_P_nm,LER_design_initial_nm,P_space_center_mean,P_line_center_mean,contrast,psd_locked_mid,psd_design_mid,H_min,P_min,P_max,prefilter_score,roughness_trigger,source_recipe_id,rank_06l,variation_idx,phase,rep_kind,strict_score_06l_surrogate,yield_score_06l_surrogate
J_1453__nom_06jb,robust_valid,24.0,10.8,0.45,120.0,52.48814922384918,0.34199510235339403,0.40357725620269774,38.63432072568685,0.21585012060590086,0.49473905460909007,0.00692776383832097,1.532070079818368,90.36870668642223,10.91255342823338,2.556994776506135,0.6251215277777777,0.24078807177973371,15.000291341355695,0.6250121392231539,2.5383797433637207,2.8001199482964156,0.21128989364991854,0.8907880717797337,0.6794981781298152,1.6906704047673788,4.539811637792289,0.016622133997999354,0.11582713669788626,0.9093637002626135,,,J_1453,1,0,nominal,,0.8570752201761371,0.9984750000000003
J_4164__nom_06jb,robust_valid,20.0,12.0,0.6,100.0,42.982502474449575,0.6359078139066696,0.37650427892804145,28.727797213941813,0.18126468609087168,0.6279433439485729,0.0076699050609022375,1.4143932526931167,69.93881050497293,11.750935002873153,2.724436320657637,0.7368125,0.17909653915710766,14.73695621193551,0.7368478105967755,3.1119455513243492,2.812021531233865,0.3328260251704708,0.8290965391571077,0.4962705139866369,2.121366441250486,4.616233784878745,0.022737924462935426,0.1755770148812682,0.8435744022844671,,,J_4164,2,0,nominal,,0.4790090570363353,0.9965916666666672
J_4793__nom_06jb,robust_valid,28.0,12.6,0.45,140.0,58.78397037740797,0.09168760478496552,0.3509858881123364,38.66186414845288,0.17470966765657067,0.6255642804317176,0.018038093699142336,1.903185164090246,76.92620038520545,12.506982428054663,2.5071211675260168,0.5561904761904762,0.2549140582006778,15.570348568385104,0.5560838774423251,2.4583554612887712,2.7751431839943566,0.06961267761714547,0.9049140582006778,0.8353013805835323,1.9522711076929553,4.570215469540365,0.003688326344572889,0.030159309763615916,0.9167258922485901,,,J_4793,3,0,nominal,,0.28852814348069655,0.9992083333333337
J_1603__nom_06jb,robust_valid,24.0,10.8,0.45,120.0,49.671109666116536,0.20341934636235237,0.585356367006898,37.500420194119215,0.20327750555239618,0.6180648648180067,0.017489912817254663,1.6473220740444958,84.63056175969541,10.606598824207307,2.5956472266116952,0.6355902777777778,0.2265642056505498,15.264426769888402,0.6360177820786834,2.599511319279256,2.8001199482964156,0.2564458348261452,0.8765642056505498,0.6201183708244047,1.475039501304744,4.539811637792289,0.015705400685316253,0.15818804810341905,0.9007306003166279,,,J_1603,4,0,nominal,,-0.3784562467838258,0.9411250000000013
J_461__nom_06jb,robust_valid,24.0,12.48,0.52,120.0,53.59712051600218,0.45479705929756165,0.422612664476037,41.79929951671511,0.18756334083154796,0.48802818469703196,0.02404881125316024,1.0864175399765372,59.833939261734486,12.582021409874098,2.521789123230403,0.6414756944444444,0.19858155225264051,15.407014351261873,0.6419589313025781,2.561226432587498,2.7701829575093893,0.23337763916295,0.8485815522526405,0.6152039130896905,1.6497187791371555,4.586725975482864,0.0140695621707891,0.13272587983699582,0.8661169278575377,,,J_461,5,0,nominal,,-0.3968885929284634,0.9761750000000012
J_2796__nom_06jb,robust_valid,24.0,12.48,0.52,120.0,38.44655040744692,0.3830195087939501,0.5234545596875251,36.470482386648655,0.21053715362213551,0.5877373839728535,0.008263418013229966,0.7569924090057611,55.62535159289837,12.549279615448091,2.532606262719298,0.7153472222222222,0.2261664910973744,17.185029245781013,0.7160428852408756,2.7575712419708305,2.7701829575093893,0.33134551613847213,0.8761664910973744,0.5448209749589024,1.505524928202145,4.586725975482864,0.02405874784233474,0.2146271463637898,0.8922878829106066,,,J_2796,6,0,nominal,,-0.690236685144924,0.9710000000000009
J_3413__nom_06jb,robust_valid,28.0,12.6,0.45,140.0,54.25802861060947,0.18963659182190895,0.6108089515008033,32.69826397765428,0.1732291967049241,0.5954775451682508,0.006451839068904519,0.7088749594986439,73.21205128915608,12.620454274567567,2.4531807694949963,0.578125,0.20100466929755212,16.191546742982727,0.5782695265350973,2.40940580354768,2.7751431839943566,0.1758784920084808,0.8510046692975521,0.6751261772890713,1.3987217805451522,4.570215469540365,0.015449586796363437,0.1089091935839263,0.8688843322997554,,,J_3413,7,0,nominal,,-0.9769346569446467,0.9726500000000012
J_1634__nom_06jb,robust_valid,24.0,12.48,0.52,120.0,44.127468961291015,0.3329942598938942,0.5456690738908947,42.2800292307511,0.1946506539452821,0.6069355911575258,0.027555771823972463,0.7620910061523318,51.99416162446141,12.502576819266235,2.5528131558830642,0.7170486111111111,0.22561963154508402,17.218393404554114,0.717433058523088,2.798874451240313,2.7701829575093893,0.33824457430195237,0.875619631545084,0.5373750572431317,1.4663216809852457,4.586725975482864,0.017730311813507777,0.22458755347525092,0.8936756204153592,,,J_1634,8,0,nominal,,-1.078473012817632,0.8503833333333325
J_4665__nom_06jb,robust_valid,28.0,12.6,0.45,140.0,47.81429748237133,0.5614493004977703,0.6702532751485706,29.059207094833255,0.20002882974222302,0.5757649721577763,0.01571277723647654,1.0473743346519768,55.92681839130819,12.569348733182249,2.445656083781361,0.5487202380952381,0.16805097343432107,15.361509243879777,0.5486253301385634,2.4228335648706008,2.7751431839943566,0.1460518234077253,0.8180509734343211,0.6719991500265958,1.3625913920796249,4.570215469540365,0.013591485784923557,0.08742602157786773,0.8372382295321538,,,J_4665,9,0,nominal,,-1.4153719727268634,0.9353416666666673
J_4354__nom_06jb,robust_valid,28.0,14.56,0.52,140.0,40.14063054230064,0.23211022932082415,0.6554392396472395,32.91420035995543,0.19079083087854087,0.5624769158661366,0.01828141847625375,1.26366700604558,55.494850049726665,14.746471299643428,2.448196901704274,0.5847619047619048,0.14845131238737075,16.374100269125275,0.5847892953259027,2.449712070809657,2.7772415217012325,0.1837617133962614,0.7984513123873708,0.6146895989911094,1.3462407599682684,4.523265297694232,0.014096749305172634,0.11445544314068412,0.8139460929285813,,,J_4354,10,0,nominal,,-1.5009760041718716,0.7698749999999998
J_2073__nom_06jb,robust_valid,28.0,14.56,0.52,140.0,42.288834638893604,0.7653791550546885,0.5577118445187808,25.277491570450366,0.20217263858765364,0.48217407828196884,0.012231622785329818,0.5718939402140677,71.76330611575395,14.609903859949444,2.4593592030114415,0.5429761904761905,0.0917424106456235,15.20282096657213,0.5429578916632903,2.4633585623565737,2.7772415217012325,0.12148193233116808,0.7417424106456235,0.6202604783144554,1.5434770567708014,4.523265297694232,0.014442904313055416,0.06415475281419307,0.7530854199470717,,,J_2073,11,0,nominal,,-1.508960959419627,0.8197833333333335
J_1657__nom_06jb,robust_valid,28.0,12.6,0.45,140.0,54.55379491299391,0.02032105252146721,0.6722408548928798,29.85673770774156,0.18847177851013838,0.561739297490567,0.005526198344305158,0.6788015975616872,88.72814638074487,12.55974499629183,2.4525186393414296,0.5635714285714286,0.18606523472718228,15.781594039646823,0.5636283585588151,2.4100505082363597,2.7751431839943566,0.1689499324706288,0.8360652347271823,0.6671153022565535,1.386209368753295,4.570215469540365,0.017407028102011727,0.10477591641558079,0.8552243330402988,,,J_1657,12,0,nominal,,-1.7594321666031427,0.9119999999999999
J_1996__nom_06jb,robust_valid,24.0,12.48,0.52,120.0,53.169382547959685,0.4648453602567315,0.48417503871023654,30.153898247517645,0.19850198483094572,0.582012394350022,0.017606109688058494,1.707342027220875,43.876536721363664,12.53939415616057,2.5142104205044076,0.6327777777777778,0.2021000814412114,15.188299949312253,0.6328458312213439,2.539089386649013,2.7701829575093893,0.20263538400587475,0.8521000814412114,0.6494646974353366,1.7517267128758003,4.586725975482864,0.014558929474504061,0.10527832521278485,0.8675951188711571,,,J_1996,13,0,nominal,,-1.7898234019740857,0.9830166666666692
J_2243__nom_06jb,robust_valid,24.0,10.8,0.45,120.0,53.249667515046895,0.37003358267247677,0.7111812063492835,39.48694477323443,0.17142502770759166,0.60546939317137,0.015513606844469905,1.2091877227649093,62.4898519506678,10.776068447110626,2.6536603302389072,0.6513368055555555,0.18267964079781585,15.638594203726246,0.6516080918219269,2.7476591832200006,2.8001199482964156,0.3195739604717428,0.8326796407978159,0.5131056803260731,1.260651043804618,4.539811637792289,0.019469509447459486,0.2240282120949477,0.8616215770814599,,,J_2243,14,0,nominal,,-1.8656334406746782,0.8917083333333329
J_3097__nom_06jb,robust_valid,28.0,12.6,0.45,140.0,55.20931324828416,0.3358887014910579,0.4607528324238956,34.29629251360893,0.19076959015801548,0.5560683809220791,0.025271243015304208,1.6389677990227938,27.12440658826381,12.593576618341864,2.483322576282084,0.5280357142857143,0.19558368812842097,14.786148253396936,0.5280767233356048,2.460094227201764,2.7751431839943566,0.07663793058969778,0.845583688128421,0.7689457575387232,1.7337159074797595,4.570215469540365,0.005104427038291192,0.037049908670687595,0.8623059935553097,,,J_3097,15,0,nominal,,-1.902830667829042,0.9543166666666675
J_1973__nom_06jb,robust_valid,28.0,12.6,0.45,140.0,47.587100584991276,0.4339200323447585,0.7149262458086014,34.7771424613893,0.19428365700878203,0.6143168286420405,0.024431048026308418,0.9531268463470042,64.17400312144309,12.528013936259491,2.4528581977152903,0.5816071428571429,0.19346347545619258,16.291515226403657,0.5818398295144164,2.4189783638907025,2.7751431839943566,0.19445977641158133,0.8434634754561926,0.6490036990446113,1.2442088622082603,4.570215469540365,0.013534860448457193,0.12723392431227207,0.8638801936189675,,,J_1973,16,0,nominal,,-2.0832457509384428,0.8215166666666672
