recipe_id,rank_06c,yield_score_06c,yield_score_06a,score_gap,fd_label,FD_yield_score_nominal,06c_agrees_with_fd,06a_agrees_with_fd,CD_final_fd,LER_CD_locked_fd,P_line_margin_fd
D_1243,1,1.0,0.5487685920315793,0.45123140796842065,robust_valid,1.0,True,True,15.68720942639349,2.5088834665591966,0.19441948718053503
D_812,2,0.9999583333333333,0.29107409922489613,0.7088842341084372,robust_valid,1.0,True,False,15.48359812955996,2.519599509514687,0.21183317916431255
D_1513,3,0.999925,-0.5017868237462524,1.5017118237462523,robust_valid,0.28235466616397176,True,False,16.71764533383603,2.5268083951170364,0.2777248892332248
D_3225,4,0.999925,0.5724648721053076,0.42746012789469234,robust_valid,1.0,True,True,15.980155804347188,2.5217918327530358,0.22527179935319808
D_4593,6,0.9996250000000001,0.30472006852890754,0.6949049314710926,robust_valid,1.0,True,False,15.897903239310631,2.5163410307632375,0.22118572973647888
D_2652,8,0.9983000000000006,-0.09898347445695777,1.0972834744569584,robust_valid,1.0,True,False,15.205245250396782,2.523350923566812,0.21524726181695308
D_2899,10,0.9973250000000007,-0.24623404724989528,1.2435590472498959,robust_valid,1.0,True,False,15.85618149951038,2.5242703108108406,0.22719339068259348
D_3536,12,0.9949750000000009,0.6230583100869789,0.37191668991302207,robust_valid,1.0,True,True,14.868895497797837,2.5364403418216694,0.20486029563411567
D_2146,13,0.9934750000000017,-0.06749218834091442,1.060967188340916,robust_valid,1.0,True,False,15.379940023944641,2.540001483927619,0.2379704999646033
D_1457,15,0.9929000000000016,-0.10942664875767394,1.1023266487576755,robust_valid,1.0,True,False,15.782879604835077,2.519459315602829,0.21389144477054933
D_884,17,0.992000000000001,-0.7055675672511679,1.697567567251169,robust_valid,1.0,True,False,15.566297592440474,2.531972947314206,0.25173888830921576
D_2413,18,0.9917750000000014,-0.35125643309365895,1.3430314330936604,robust_valid,1.0,True,False,15.963324930932103,2.5247983475777582,0.2328954281222887
D_1214,21,0.988200000000002,-0.22486785945039567,1.2130678594503976,robust_valid,1.0,True,False,14.91332226831831,2.526452581731231,0.2089771598698329
D_665,22,0.9876416666666674,0.5583257305338639,0.4293159361328035,robust_valid,1.0,True,True,15.852403011054943,2.51457744076592,0.20347091385954263
D_4521,23,0.9874666666666669,0.6764558920405137,0.31101077462615323,robust_valid,1.0,True,True,14.530252218591617,2.530941389405794,0.18354571176314072
D_3261,24,0.9873083333333363,-0.004476411864987928,0.9917847451983243,robust_valid,1.0,True,False,15.953280140165717,2.5082187383793313,0.23162126127695293
D_333,25,0.9868416666666683,0.002407466752213483,0.9844341999144548,robust_valid,1.0,True,False,15.282177403978347,2.5147188678513555,0.2212069583571311
