recipe_id,rank_surrogate,yield_score_surrogate,p_robust_valid_surrogate,mean_cd_fixed_surrogate,mean_cd_locked_surrogate,mean_ler_locked_surrogate,mean_area_frac_surrogate,mean_p_line_margin_surrogate,fd_label,FD_yield_score_nominal,CD_final_fd,CD_locked_fd,LER_CD_locked_fd,area_frac_fd,P_line_margin_fd
A_4856,1,0.9521500000000006,0.9788166666666672,15.618163040674974,12.486663085773252,2.5160009900577593,0.6371203608217594,0.1379359709808775,robust_valid,1.0,15.317540734264744,12.310041595178475,2.5171925610446224,0.6380208333333334,0.20414685467382165
A_279,2,0.9027166666666664,0.9617166666666662,15.89047910798462,12.401781693028589,2.5247497940582386,0.6339340361689813,0.12841084234394362,robust_valid,1.0,15.114659179207331,12.400431793387648,2.515772530844478,0.6299305555555555,0.18912014000887245
A_94,3,0.8953916666666665,0.9565499999999999,15.8358031707759,12.422054019767318,2.538653005050297,0.6388181090856485,0.12929898000556203,robust_valid,1.0,15.759577651561107,12.309755085451384,2.5064929602481545,0.6566666666666666,0.1944629336362319
A_1933,4,0.8891666666666664,0.9533666666666666,14.889937110586711,12.405673730504258,2.522576253552011,0.6022233451967597,0.10680701239259523,robust_valid,1.0,14.126852815705334,12.510011184993578,2.53039650868489,0.5888020833333333,0.1597174030797709
A_3686,5,0.8844773835442628,0.9496833333333323,16.008114283122403,12.484904265834789,2.5298854997344566,0.6642750358796298,0.14111867274168166,robust_valid,1.0,15.594815840699832,12.402732206785915,2.5222894446354673,0.6493923611111111,0.24226087629899762
A_2660,6,0.8750083333333338,0.9417666666666671,15.66801344649585,12.453919528055817,2.593128080144319,0.7013255972222221,0.15628510294357992,robust_valid,1.0,15.131263870748006,12.557517642405154,2.519031972941315,0.6303993055555556,0.21293254449695054
A_2002,7,0.8735666666666668,0.9461833333333335,15.792568858326181,12.417838878433704,2.5243769927298643,0.628591627604167,0.1325410366653234,robust_valid,1.0,14.515364252795171,12.33857034204247,2.5085410312089644,0.6045486111111111,0.15497219746240665
A_3267,8,0.8715833333333333,0.9502666666666666,15.356879714100362,12.421023501815121,2.524862570264321,0.6405036464120372,0.13937921029695638,robust_valid,1.0,14.285911616562112,12.276173779980919,2.520774538977798,0.5952777777777778,0.16188119143255053
A_844,9,0.8701749999999995,0.9408499999999995,15.888212704962184,12.40003785869176,2.525619094782537,0.6395354988425926,0.1370457734589971,robust_valid,1.0,14.785065742183686,12.497348160664956,2.5229069234005097,0.6157986111111111,0.19327110887468835
A_838,10,0.8652666666666676,0.937900000000001,14.849814881223715,12.431056337566938,2.52941605557381,0.613606322627315,0.10453407456465819,robust_valid,1.0,14.744271957127904,12.633947900758237,2.5155774330267806,0.6141145833333334,0.17127148184319896
A_2204,11,0.8632083333333338,0.9410500000000005,15.607908149758162,12.448917715502366,2.5422024377417696,0.6393343301504629,0.11749897313376505,robust_valid,1.0,14.42185002418218,12.57017152598532,2.507265599205469,0.6005555555555555,0.11579443950330015
A_906,12,0.8630000000000001,0.9414166666666667,15.93315854093185,12.47057232635738,2.5408085819878727,0.665484028356482,0.13101745626516537,robust_valid,1.0,15.452312982540679,12.629405071716652,2.5037020891017088,0.6433506944444445,0.1696586973321066
A_337,13,0.8626083333333348,0.9369166666666681,15.203536023937463,12.44785536572443,2.520461413515818,0.585154273148148,0.09645636886767736,robust_valid,1.0,14.506132998858766,12.198657829817567,2.4963606986825995,0.6042881944444445,0.1431275536637543
A_4533,14,0.8601083333333338,0.9457666666666671,15.647986195919037,12.496126990553666,2.5208224890350115,0.6288480072337966,0.12169125354711968,robust_valid,1.0,14.232338672885547,12.28348277680845,2.5122190638707442,0.5933333333333334,0.16309077061593658
