_id,label,pitch_nm,line_cd_nm,line_cd_ratio,domain_x_nm,dose_mJ_cm2,sigma_nm,DH_nm2_s,time_s,Hmax_mol_dm3,kdep_s_inv,Q0_mol_dm3,kq_s_inv,abs_len_nm,CD_locked_nm,LER_CD_locked_nm,area_frac,P_line_margin,CD_final_nm,CD_pitch_frac,LER_after_PEB_P_nm,LER_design_initial_nm,P_space_center_mean,P_line_center_mean,contrast,psd_locked_mid,psd_design_mid,H_min,P_min,P_max,prefilter_score,roughness_trigger,source,source_recipe_id,sub_phase,scenario,time_offset_s,variation_idx
G_4867__pb_t-5_mc001,robust_valid,24.0,12.309954867162528,0.512914786131772,120.0,51.67522607671198,0.7542096739903424,0.5032125370577258,24.275345294736326,0.16804275670588617,0.6455813481472432,0.021230212468478022,1.0673484671860933,50.0,12.336203755671807,2.5185884796396105,0.5631076388888889,0.11736840560535977,13.520109947101432,0.5633379144625597,2.528467407278906,2.7823609291077878,0.1475182256709276,0.7673684056053598,0.6198501799344323,1.8140685654121522,4.602579255334754,0.01145462950765067,0.07211751074192925,0.7837840281294005,,,stage06PB_G4867_targeted_AL,G_4867,time_densification,det_offset,-5.0,1
G_4867__pb_t-5_mc002,robust_valid,24.0,12.853006839833391,0.5355419516597246,120.0,51.97635326282722,0.47880925367789295,0.52724127349712,24.275345294736326,0.17687353113427856,0.6455813481472432,0.02139429634603813,1.0673484671860933,50.0,12.812697033906002,2.5656115935973296,0.5913888888888889,0.13812646642742865,14.200126339116022,0.5916719307965009,2.5787267934587126,2.8102644403919603,0.17048456669263246,0.7881264664274287,0.6176418997347962,1.8448178809271678,4.5536014573709025,0.013415865696277006,0.08519521292591992,0.8026535437960075,,,stage06PB_G4867_targeted_AL,G_4867,time_densification,det_offset,-5.0,2
G_4867__pb_t-5_mc003,robust_valid,24.0,12.893649816920657,0.5372354090383608,120.0,54.22890511111347,0.8051919992623144,0.5075040801211973,24.275345294736326,0.17766294137564714,0.6455813481472432,0.01933179621342003,1.0673484671860933,50.0,12.652009360156075,2.556775273957107,0.6184548611111111,0.15348924812457954,14.829204456920877,0.6178835190383699,2.5884223501901937,2.814241842957135,0.18953612917938084,0.8034892481245796,0.6139531189451988,1.7545432064804303,4.610410275315148,0.01474443417112798,0.09459748495919025,0.8171308574661116,,,stage06PB_G4867_targeted_AL,G_4867,time_densification,det_offset,-5.0,3
G_4867__pb_t-5_mc004,robust_valid,24.0,12.787179588146987,0.5327991495061245,120.0,53.94667077124506,0.8695955032902685,0.46991384831372934,24.275345294736326,0.16241907905497516,0.6455813481472432,0.017885097527630907,1.0673484671860933,50.0,12.649629247232381,2.5421933405262367,0.5907291666666666,0.12612391360558295,14.18364063089397,0.5909850262872488,2.5601969153037576,2.799310390386503,0.16249634315588404,0.776123913605583,0.613627570449699,1.7784484066735957,4.5345222225696675,0.01229754356637835,0.07699838158436505,0.7893248673838843,,,stage06PB_G4867_targeted_AL,G_4867,time_densification,det_offset,-5.0,4
G_4867__pb_t-5_mc005,robust_valid,24.0,12.720628640481987,0.5300261933534162,120.0,51.319516017701076,0.7094939801547158,0.45645392377255734,24.275345294736326,0.16600732082706424,0.6455813481472432,0.02069510371231628,1.0673484671860933,50.0,12.62119275811076,2.526764569205036,0.5736111111111111,0.11974485290840187,13.75814617693797,0.5732560907057488,2.5368102307434923,2.774908106394755,0.14059286958629336,0.7697448529084019,0.6291519833221085,1.9184688878590883,4.575996024291804,0.010443509438401333,0.0638548895352876,0.7831121737446197,,,stage06PB_G4867_targeted_AL,G_4867,time_densification,det_offset,-5.0,5
G_4867__pb_t-5_mc006,robust_valid,24.0,12.931274983915358,0.5388031243298066,120.0,50.89305217932402,0.7694086691541169,0.5045836448803778,24.275345294736326,0.1645052986182707,0.6455813481472432,0.018293665355285205,1.0673484671860933,50.0,12.90056843815,2.562287674275021,0.5880729166666666,0.11743464209383037,14.115794370700238,0.5881580987791766,2.578599379973308,2.8150765260732933,0.1710849494844816,0.7674346420938304,0.5963496926093488,1.795344562022445,4.6386933141942865,0.013303427917144155,0.08535727866355164,0.7817871227781101,,,stage06PB_G4867_targeted_AL,G_4867,time_densification,det_offset,-5.0,6
G_4867__pb_t-5_mc007,robust_valid,24.0,12.358289778471,0.514928740769625,120.0,51.59824073436755,0.5139862618881385,0.5216985458318533,24.275345294736326,0.16449286592462173,0.6455813481472432,0.021260694789055918,1.0673484671860933,50.0,12.382763863697669,2.5252352802941176,0.5511111111111111,0.10734342546634523,13.219119416927333,0.5507966423719722,2.5314110415544038,2.7800794047037023,0.142454011429054,0.7573434254663453,0.6148894140372912,1.8597555892445015,4.563061871492007,0.011275503720999419,0.07042462567114043,0.7744936289664907,,,stage06PB_G4867_targeted_AL,G_4867,time_densification,det_offset,-5.0,7
G_4867__pb_t-5_mc008,robust_valid,24.0,12.924319575973016,0.5385133156655423,120.0,52.44898552802686,0.6785799334586797,0.5374481200661172,24.275345294736326,0.17842165504559712,0.6455813481472432,0.019347176956209387,1.0673484671860933,50.0,12.872163290565146,2.560960413830803,0.6122048611111112,0.14698123744463443,14.684397022908286,0.6118498759545119,2.586897621295961,2.8120611301952705,0.19263340861552045,0.7969812374446344,0.604347828829114,1.7499951705176493,4.5911599983472415,0.015402622729917246,0.0997218333752045,0.8115518804139517,,,stage06PB_G4867_targeted_AL,G_4867,time_densification,det_offset,-5.0,8
G_4867__pb_t-5_mc009,robust_valid,24.0,12.11523363348278,0.5048014013951159,120.0,52.09701930628676,0.8276003378236091,0.5174161483723122,24.275345294736326,0.176669675575632,0.6455813481472432,0.01961549526463824,1.0673484671860933,50.0,12.02015327444518,2.53700499311836,0.5772743055555556,0.13743909429478185,13.850973202648191,0.5771238834436746,2.551094455278112,2.8051840878285907,0.1603927581802487,0.7874390942947819,0.6270463361145332,1.7327380771431957,4.621371548347957,0.012807367931498868,0.08044200914745805,0.8045940602403726,,,stage06PB_G4867_targeted_AL,G_4867,time_densification,det_offset,-5.0,9
G_4867__pb_t-5_mc010,robust_valid,24.0,12.644521001388593,0.5268550417245247,120.0,54.084478498419955,0.5734995341357716,0.5224919526047052,24.275345294736326,0.16664055484645296,0.6455813481472432,0.019214681263127427,1.0673484671860933,50.0,12.41538482154053,2.5264338717203705,0.5795486111111111,0.12723848098334645,13.91859718329177,0.5799415493038237,2.539840826024069,2.7805078753024404,0.16329908689026176,0.7772384809833465,0.6139393940930847,1.8324243838550234,4.547333479439283,0.013039996259340403,0.08180006355590755,0.79259968140091,,,stage06PB_G4867_targeted_AL,G_4867,time_densification,det_offset,-5.0,10
