_id,label,pitch_nm,line_cd_nm,line_cd_ratio,domain_x_nm,dose_mJ_cm2,sigma_nm,DH_nm2_s,time_s,Hmax_mol_dm3,kdep_s_inv,Q0_mol_dm3,kq_s_inv,abs_len_nm,CD_locked_nm,LER_CD_locked_nm,area_frac,P_line_margin,CD_final_nm,CD_pitch_frac,LER_after_PEB_P_nm,LER_design_initial_nm,P_space_center_mean,P_line_center_mean,contrast,psd_locked_mid,H_min,P_min,P_max,prefilter_score
iter2_target_under_exposed_0,numerical_invalid,18,10.799999999999999,0.6,90.0,25.15777962949639,2.3433369887561972,0.6257098134259911,21.260577484938686,0.16742094095262255,0.4205408811854756,0.025798005919914928,1.2728137599993525,92.14389866103465,nan,nan,0.0,-0.29137620508330964,nan,nan,nan,2.8001199482964156,0.1884329584857878,0.3586237949166904,0.17019083643090258,nan,0.01726380516372403,0.11396023531202706,0.38458135611672695,
iter2_target_under_exposed_1,under_exposed,24,14.399999999999999,0.6,120.0,34.031856499412015,0.4502504663357073,0.7705384753683183,38.835549563752714,0.15709419994431156,0.36535040946340086,0.026344443863784317,1.5736012639012587,29.967398860985544,14.447207920545234,2.707529954445479,0.2142013888888889,-0.13200966022203287,5.602363401431651,0.23343180839298547,2.8568702357077718,2.777139811468949,0.19294336470136006,0.5179903397779672,0.32504697507660707,1.3515373857815027,0.01391197059067007,0.12951085299246107,0.5396234860828524,
iter2_target_under_exposed_2,under_exposed,28,12.6,0.45,140.0,31.78819962031023,0.9013078492232411,0.720729482714742,33.68068789034206,0.17296151426878947,0.39245513461007286,0.017972240134114498,1.7269703052824537,48.37196479380956,12.519645718059815,2.4360335757248017,0.24840773809523808,-0.10524352789443392,6.951594781947352,0.24827124221240543,2.6791152982109248,2.7751431839943566,0.08382778066578507,0.5447564721055661,0.46092869143978105,1.1271729963163157,0.008411226877055743,0.05238354141735797,0.5708107614736441,
iter2_target_under_exposed_3,numerical_invalid,18,10.799999999999999,0.6,90.0,26.875642255180832,1.4831022238914011,0.617593046037707,30.48340318284632,0.17261608525089553,0.4298114718145219,0.02875324337689944,1.8110895193466534,49.39157422014806,nan,nan,0.0,-0.19908522852607935,nan,nan,nan,2.8001199482964156,0.21495883119356726,0.4509147714739207,0.2359559402803534,nan,0.013022501304803506,0.12522953963183908,0.4840603675412066,
iter2_target_under_exposed_4,numerical_invalid,18,8.1,0.45,90.0,25.527532511759297,1.5271600197085764,0.6160101177805324,21.175663846654814,0.16390987974617544,0.41491530359347184,0.019817514955688988,1.8716366237370963,61.40989402593865,nan,nan,0.0,-0.32838157997106315,nan,nan,nan,2.807561738082017,0.08892651683053793,0.32161842002893687,0.23269190319839894,nan,0.009328154033509544,0.04565671200874314,0.36321219017175954,
iter2_target_under_exposed_5,numerical_invalid,24,14.399999999999999,0.6,120.0,26.38477767009666,2.4598899300831096,0.7945514136857748,21.652244665992413,0.16791898958044132,0.3541916474957669,0.017205560532324134,1.8568205843525583,15.287765037315827,nan,nan,0.0,-0.29243690606331896,nan,nan,nan,2.777139811468949,0.1383545730256488,0.35756309393668106,0.21920852091103227,nan,0.01728423147756149,0.08785745760878377,0.37198796409005724,
iter2_target_under_exposed_6,numerical_invalid,32,19.2,0.6,160.0,28.60359461374427,0.8241800414891015,0.407185443563437,22.636926528786372,0.15965961824622998,0.3886045345226288,0.028229571023014866,1.9371405454865251,94.562139504064,nan,nan,0.0,-0.24979397058985703,nan,nan,nan,2.790404311903947,0.018951422112773085,0.400206029410143,0.38125460729736993,nan,0.00200741914496984,0.006699396052287677,0.4017944940939624,
iter2_target_under_exposed_7,under_exposed,32,16.64,0.52,160.0,25.721041997724182,1.4314662414821306,0.3616449347720253,32.91653013285091,0.15338897015911251,0.40017274134349223,0.015563641993274391,1.6412578288411812,35.95544919882374,16.622717752727514,2.436683840903225,0.1830859375,-0.13664353765849602,5.8545656224112035,0.1829551757003501,2.468198417121863,2.776528339624675,0.028724820125489374,0.513356462341504,0.4846316422160146,1.4789256590729827,0.0025407693618074234,0.012568960675130839,0.5199886618815844,
iter2_target_under_exposed_8,numerical_invalid,20,9.0,0.45,100.0,23.947231876849038,2.1400345390291244,0.6956676758831765,31.39433802163585,0.1754251788592554,0.38093545772824905,0.026795140523254275,1.3858065585749544,83.2925981731576,nan,nan,0.0,-0.29022874864888015,nan,nan,nan,2.812021531233865,0.13300524347519793,0.35977125135111987,0.22676600787592194,nan,0.009479842540021377,0.08438575744432891,0.4028564954423072,
iter2_target_under_exposed_9,under_exposed,32,16.64,0.52,160.0,26.70386787710012,1.6797747072569527,0.7520109011780843,39.59783226586737,0.15351275714898577,0.3832204837127935,0.024261221000596772,1.328294737923418,91.33323353057523,16.54620567577105,2.316440836574939,0.0335546875,-0.15493758437823507,3.2651186708382856,0.10203495846369642,1.9064122897664078,2.776528339624675,0.09107943445618208,0.49506241562176495,0.40398298116558284,0.705088588999921,0.0068763894283125635,0.06140352902028014,0.5096473369202338,
