recipe_id,rank_06c,yield_score_06c,yield_score_06a,p_robust_valid_06c,p_robust_valid_06a,mean_cd_fixed_06c,mean_ler_locked_06c,fd_label,FD_yield_score_nominal,CD_final_fd,CD_locked_fd,LER_CD_locked_fd,area_frac_fd,P_line_margin_fd
D_1243,1,1.0,0.5487685920315793,1.0,0.959966666666666,15.29162380591322,2.5376672451193754,robust_valid,1.0,15.68720942639349,12.294904736395802,2.5088834665591966,0.6538888888888889,0.19441948718053503
D_812,2,0.9999583333333333,0.29107409922489613,0.9999833333333333,0.9587166666666664,14.854298687223457,2.5408464555049317,robust_valid,1.0,15.48359812955996,12.416732600572761,2.519599509514687,0.6446354166666667,0.21183317916431255
D_1513,3,0.999925,-0.5017868237462524,0.99995,0.9071666666666668,15.43796641281254,2.543436619164305,robust_valid,0.28235466616397176,16.71764533383603,12.445741201492556,2.5268083951170364,0.6965972222222222,0.2777248892332248
D_3225,4,0.999925,0.5724648721053076,0.99995,0.9360666666666673,15.551066402377828,2.5413473010554224,robust_valid,1.0,15.980155804347188,12.46716335938552,2.5217918327530358,0.6661111111111111,0.22527179935319808
D_29,5,0.99985,0.8472249999999996,0.9999333333333333,0.9353999999999995,14.285073715726494,2.545528766378613,robust_valid,0.9010207920062729,13.901020792006273,12.192882533501296,2.5436481128846067,0.5788888888888889,0.1774985907001
D_4593,6,0.9996250000000001,0.30472006852890754,0.9998666666666668,0.9723833333333336,15.120192735218684,2.5390369949253095,robust_valid,1.0,15.897903239310631,12.439979198392166,2.5163410307632375,0.6623263888888888,0.22118572973647888
D_1752,7,0.998716666666667,0.7724273403520433,0.9994666666666671,0.8924000000000002,15.111848476068513,2.5410027018267063,robust_valid,1.0,15.386677895323164,12.664516434402042,2.5215400715887504,0.6407465277777777,0.20978348696215976
D_2652,8,0.9983000000000006,-0.09898347445695777,0.9991333333333339,0.9658499999999992,14.970213002865659,2.5406278950029484,robust_valid,1.0,15.205245250396782,12.357722654813111,2.523350923566812,0.6333333333333333,0.21524726181695308
D_1963,9,0.998041666666667,0.8456661476764936,0.9992833333333337,0.9662999999999993,14.692710769828143,2.536178580908282,robust_valid,1.0,15.261649682270953,12.571955371206712,2.5110200291859393,0.6359895833333333,0.19444504099271465
D_2899,10,0.9973250000000007,-0.24623404724989528,0.9989666666666673,0.9262333333333334,14.797952219994832,2.539949218553164,robust_valid,1.0,15.85618149951038,12.43702513664714,2.5242703108108406,0.6604861111111111,0.22719339068259348
D_4350,11,0.9966666666666673,0.6951913714301111,0.9987166666666673,0.9648166666666654,14.726958713066573,2.540126028757875,robust_valid,1.0,14.988911865394346,12.579546246499488,2.5156124875908836,0.6249652777777778,0.20933032835986165
D_3536,12,0.9949750000000009,0.6230583100869789,0.9983166666666676,0.9522166666666665,14.488885565547145,2.5387797379870727,robust_valid,1.0,14.868895497797837,12.602819108138243,2.5364403418216694,0.6189583333333334,0.20486029563411567
D_2146,13,0.9934750000000017,-0.06749218834091442,0.9968000000000017,0.9321666666666669,14.542726244826783,2.5468697132269047,robust_valid,1.0,15.379940023944641,12.55604555231243,2.540001483927619,0.6406597222222222,0.2379704999646033
D_1569,14,0.9931166666666686,0.8669583333333342,0.996250000000002,0.9411166666666675,14.340834586944457,2.539623646492602,robust_valid,1.0,14.384578383413281,12.482729125845541,2.512341092692111,0.5990451388888889,0.13995665543069002
D_1457,15,0.9929000000000016,-0.10942664875767394,0.9969500000000017,0.9654666666666669,15.153862048996077,2.54092955146591,robust_valid,1.0,15.782879604835077,12.210150242439582,2.519459315602829,0.6574652777777777,0.21389144477054933
D_2564,16,0.9923583333333338,0.8886000000000003,0.996666666666667,0.9504000000000004,14.362938499857568,2.539447583094329,robust_valid,0.6345210757995492,13.63452107579955,12.364430345119086,2.524719653774634,0.5677951388888889,0.1449745765554158
D_884,17,0.992000000000001,-0.7055675672511679,0.9966833333333344,0.9523166666666658,15.21097432622268,2.5441041811142986,robust_valid,1.0,15.566297592440474,12.491653276524595,2.531972947314206,0.6483333333333333,0.25173888830921576
D_2413,18,0.9917750000000014,-0.35125643309365895,0.9959000000000015,0.945399999999999,15.256715039913662,2.540501519365152,robust_valid,1.0,15.963324930932103,12.518904036363972,2.5247983475777582,0.6652430555555555,0.2328954281222887
D_703,19,0.9916416666666683,0.7939416666666667,0.9964500000000016,0.9008666666666667,14.303354096242265,2.5468628551823214,robust_valid,0.5027886201937228,13.502788620193723,12.396646853439066,2.5262679938518424,0.5623784722222223,0.1278929562123733
D_3715,20,0.9885083333333342,0.8130738186981297,0.9960500000000009,0.9644166666666669,14.743130284889046,2.5356321358958724,robust_valid,1.0,14.696784162725416,12.418632043227138,2.5181790750826853,0.6121527777777778,0.17571739825491972
