CD_final_nm,CD_initial_nm,CD_locked_nm,CD_pitch_frac,CD_shift_nm,DH_nm2_s,DQ_nm2_s,H_min,H_peak,Hmax_mol_dm3,LER_CD_locked_nm,LER_after_PEB_P_nm,LER_after_eblur_H0_nm,LER_design_initial_nm,LER_final_nm,LER_initial_nm,PEB_LER_reduction_pct,P_line_center_mean,P_line_margin,P_line_max,P_max,P_mean,P_min,P_space_center_mean,P_space_min,P_threshold,P_threshold_locked,Q0_mol_dm3,_failure_target,_id,abs_len_nm,area_P_gt_threshold_nm2,area_frac,cd_lock_status,cond_area,cond_cd,cond_contrast,cond_line,cond_metrics,cond_space,contrast,domain_x_nm,domain_y_nm,dose_mJ_cm2,dose_norm,dt_s,edge_roughness_amp_nm,edge_roughness_corr_nm,edge_roughness_seed,electron_blur_LER_reduction_pct,eta,grid_spacing_nm,kdep_s_inv,kloss_s_inv,kq_s_inv,label,line_cd_nm,line_cd_ratio,passed,pitch_nm,prefilter_score,psd_PEB_high,psd_PEB_low,psd_PEB_mid,psd_design_high,psd_design_low,psd_design_mid,psd_eblur_high,psd_eblur_low,psd_eblur_mid,psd_high_band_reduction_pct,psd_locked_high,psd_locked_low,psd_locked_mid,psd_mid_band_reduction_locked_pct,psd_mid_band_reduction_pct,quencher_enabled,reference_dose_mJ_cm2,roughness_trigger,sigma_nm,time_s,total_LER_reduction_locked_pct,total_LER_reduction_pct
12.13729306007781,,10.672313400835208,0.5057205441699087,,0.4063955849967897,,0.008171370870016865,,0.15209400373511014,2.564578458369149,2.5502164582041433,,2.8001199482964156,,,,0.7696370419581382,0.11963704195813818,,0.7953816253336613,,0.06590388070736644,0.127704334887837,,,,0.017927388735115526,,8889.0,54.834476043470204,,0.5056944444444444,,,,,,,,0.6419327070703011,120.0,,43.67910854425281,,,,,,,,,0.5884287294931709,,0.7695128754712641,robust_valid,10.8,0.45,,24.0,0.9998925621499368,,,,,,,,,,,,,1.8324822748434921,,,,,,0.3247801708057523,35.92107464093715,,
17.91934865891477,,14.351558097781474,0.5599796455910866,,0.75838085655123,,0.016334971004445836,,0.15861493772827087,2.339050558972681,2.3231592858069696,,2.777139811468949,,,,0.8034071335335813,0.15340713353358126,,0.8194294815912826,,0.11871366695503692,0.17282461158580198,,,,0.0009556393045932055,,2163.0,96.90060424152762,,0.5601432291666667,,,,,,,,0.6305825219477793,160.0,,46.04161003790796,,,,,,,,,0.5574182193726301,,1.8123876112513244,robust_valid,14.4,0.45,,32.0,0.9998750669151188,,,,,,,,,,,,,0.8805306867184786,,,,,,1.0068160481750965,34.227599021978676,,
12.152493069506846,,10.699779276211126,0.5063538778961186,,0.3605326513759792,,0.007254324311228493,,0.16989660513587296,2.564453218148834,2.548444452015884,,2.8001199482964156,,,,0.7728490505751237,0.12284905057512363,,0.7989259609059222,,0.06540794267831561,0.1272928156825156,,,,0.00956599839963019,,57.0,67.5758962938562,,0.5063194444444444,,,,,,,,0.645556234892608,120.0,,29.129834390245378,,,,,,,,,0.5942438284866511,,1.2113345307298005,robust_valid,10.8,0.45,,24.0,0.9998292437214236,,,,,,,,,,,,,1.8276414841663216,,,,,,0.3164787283167243,40.52025934681296,,
16.54742645504874,,12.40757161900942,0.5909795162517407,,0.6790249335579575,,0.02295177953660824,,0.21381146530620754,2.4079281079937163,2.4086589695155283,,2.7751431839943566,,,,0.8236730251834075,0.17367302518340744,,0.8414152296257327,,0.1220616650463722,0.1934066286416891,,,,0.005848525436595082,,9351.0,66.48989691399038,,0.5911160714285715,,,,,,,,0.6302663965417183,140.0,,57.49018376972526,,,,,,,,,0.4660525931045413,,1.1978770764544606,robust_valid,12.6,0.45,,28.0,0.9998091001970026,,,,,,,,,,,,,1.0626916704734426,,,,,,1.1916306288912892,29.290445456281304,,
20.273559314346805,,12.669954946261985,0.7240556897981002,,0.5260867324657739,,0.0178045875549064,,0.16522142831236122,2.344366012007426,2.568689969561172,,2.7751431839943566,,,,0.8825538523280924,0.23255385232809234,,0.8970068335329991,,0.21274347444812705,0.31591226690658775,,,,0.020289533520117402,,9639.0,62.376080197282135,,0.7241666666666666,,,,,,,,0.5666415854215046,140.0,,59.340254922397435,,,,,,,,,0.6370833014138043,,0.6392246717587113,robust_valid,12.6,0.45,,28.0,0.9996829218464709,,,,,,,,,,,,,0.5911886555878364,,,,,,2.5586849246174097,37.86069357767701,,
14.561069366766365,,12.679882871301398,0.5200381916702274,,0.5698093848302961,,0.005737635744298709,,0.19585299939848483,2.4443210612497404,2.4329862454879576,,2.7751431839943566,,,,0.8033688409706277,0.15336884097062764,,0.8247240681363825,,0.05525376675561427,0.10067228635284292,,,,0.02776695728302002,,8583.0,22.214804510585964,,0.5200892857142857,,,,,,,,0.7026965546177848,140.0,,39.66761776059866,,,,,,,,,0.605780149716884,,1.7300196615979075,robust_valid,12.6,0.45,,28.0,0.9996290899771954,,,,,,,,,,,,,1.354079374808082,,,,,,0.8442015247419477,34.97733565047383,,
17.696090485621824,,12.704038209115023,0.6320032316293508,,0.45753680234774946,,0.013059175972890526,,0.21314533325843513,2.3905420792161256,2.4042266446393237,,2.7751431839943566,,,,0.8790748943161794,0.22907489431617933,,0.8942954292363103,,0.10859425544997618,0.18693787075061857,,,,0.018550568763166665,,2039.0,35.06225031334907,,0.6316666666666667,,,,,,,,0.6921370235655608,140.0,,56.67675899807364,,,,,,,,,0.43676801016554234,,1.687404837924987,robust_valid,12.6,0.45,,28.0,0.9995780593689105,,,,,,,,,,,,,0.976515274125398,,,,,,1.5802370477467775,43.585951584391296,,
14.632163667864777,,14.317069180880162,0.4572551146207743,,0.7103585863485933,,0.0061778361200072,,0.1792175888083875,2.3857483570491893,2.3847198534736287,,2.777139811468949,,,,0.7226960859974836,0.07269608599748356,,0.7426511910915838,,0.053580100793887225,0.08515254286855704,,,,0.022922284305095672,,3587.0,55.14800996519625,,0.4574479166666667,,,,,,,,0.6375435431289266,160.0,,34.51843755505979,,,,,,,,,0.5326017118990422,,1.4748047832399607,robust_valid,14.4,0.45,,32.0,0.999503583761475,,,,,,,,,,,,,1.161486024894431,,,,,,0.5248295394703746,36.69886459130794,,
16.007961970479634,,14.567517691378544,0.5002488115774886,,0.6790316861122847,,0.010212866097941524,,0.2199070939887315,2.260230750727154,2.2557438003926356,,2.777139811468949,,,,0.7279374325448534,0.07793743254485341,,0.7490352764432808,,0.08391574054091765,0.12987348847825378,,,,0.0217091391608119,,4899.0,71.11638568341732,,0.5004166666666666,,,,,,,,0.5980639440665997,160.0,,35.61286859214306,,,,,,,,,0.40878274207934734,,1.7887968425638974,robust_valid,14.4,0.45,,32.0,0.9994281054422476,,,,,,,,,,,,,0.46468486497766043,,,,,,2.5340985506772995,38.42544092796743,,
14.978130032547691,,14.336801837166814,0.46806656351711534,,0.6468493265099824,,0.006603702878431356,,0.18888080158270895,2.4018943749168047,2.397565035986771,,2.777139811468949,,,,0.7377098745631863,0.08770987456318624,,0.756668949019687,,0.063131918010146,0.09778658391574352,,,,0.02803527032956481,,7659.0,65.84646026138216,,0.46815104166666666,,,,,,,,0.6399232906474428,160.0,,27.416410580277443,,,,,,,,,0.5679117033258081,,0.6899294666945934,robust_valid,14.4,0.45,,32.0,0.9992679893892796,,,,,,,,,,,,,1.2742769220881394,,,,,,0.04953682702034712,39.73194018937647,,
