_id,label,pitch_nm,line_cd_nm,line_cd_ratio,domain_x_nm,dose_mJ_cm2,sigma_nm,DH_nm2_s,time_s,Hmax_mol_dm3,kdep_s_inv,Q0_mol_dm3,kq_s_inv,abs_len_nm,CD_locked_nm,LER_CD_locked_nm,area_frac,P_line_margin,CD_final_nm,CD_pitch_frac,LER_after_PEB_P_nm,LER_design_initial_nm,P_space_center_mean,P_line_center_mean,contrast,psd_locked_mid,psd_design_mid,H_min,P_min,P_max,prefilter_score,roughness_trigger,source_recipe_id,rank_06l,variation_idx,phase,rep_kind,strict_score_06l_surrogate,yield_score_06l_surrogate
J_1453__j1453_pinned_mc001_06jb,robust_valid,24.0,10.92660572996083,0.45527523874836795,120.0,54.96274067791749,0.5159909068735002,0.41632855826902293,37.58709864720002,0.21344109236576783,0.49473905460909007,0.006320930580802726,1.532070079818368,90.36870668642223,10.724018803168411,2.5641655899891664,0.6389583333333333,0.24041183765803564,15.343248690328632,0.639302028763693,2.56511703513176,2.811880169571203,0.227476570529705,0.8904118376580357,0.6629352671283306,1.6595692166676066,4.593979714751392,0.018515480709923555,0.1275509622769212,0.9087838925462736,,,J_1453,1,1,mc_representative,j1453_pinned,0.8570752201761371,0.9984750000000003
J_1453__j1453_pinned_mc002_06jb,robust_valid,24.0,10.850477754899597,0.4521032397874832,120.0,54.03849831771305,0.3398647537138681,0.43487587476781125,37.1450038226078,0.2124919671773475,0.49473905460909007,0.006415773108786668,1.532070079818368,90.36870668642223,10.716148178586836,2.5704305747276224,0.6239756944444445,0.23110800725670888,14.970120084458191,0.6237550035190913,2.5547068224986473,2.810534740148507,0.2192958271521713,0.8811080072567089,0.6618121801045376,1.6779144533949222,4.575892466379113,0.018154016151523657,0.12326528306924225,0.9006655296854633,,,J_1453,1,2,mc_representative,j1453_pinned,0.8570752201761371,0.9984750000000003
J_1453__j1453_pinned_mc003_06jb,robust_valid,24.0,10.8,0.45,120.0,52.72201232345599,0.43205359250267944,0.3648441770210163,38.6342011291481,0.21725219954495378,0.49473905460909007,0.006833463524610053,1.532070079818368,90.36870668642223,10.687823474726098,2.555906626647383,0.6228298611111112,0.248232249851413,14.938261965634123,0.6224275819014218,2.5306486125960377,2.8001199482964156,0.19235871550758205,0.898232249851413,0.7058735343438309,1.777517730745456,4.539811637792289,0.014715043199389573,0.0992314021978096,0.9149960155928928,,,J_1453,1,3,mc_representative,j1453_pinned,0.8570752201761371,0.9984750000000003
J_1453__j1453_pinned_mc004_06jb,robust_valid,24.0,10.8,0.45,120.0,50.76483715475636,0.203108427070813,0.39782985240547974,36.68406211702389,0.20626044802388638,0.49473905460909007,0.00660638996058311,1.532070079818368,90.36870668642223,10.76966794281817,2.561588452547937,0.5865451388888889,0.2150806111288608,14.07158694266756,0.5863161226111483,2.5263625623921886,2.8001199482964156,0.17369519778556544,0.8650806111288608,0.6913854133432954,1.7944724792518751,4.539811637792289,0.014118828118060122,0.09079682456268424,0.8857294659427836,,,J_1453,1,4,mc_representative,j1453_pinned,0.8570752201761371,0.9984750000000003
J_1453__j1453_pinned_mc005_06jb,robust_valid,24.0,11.18170867654891,0.4659045281895379,120.0,53.158565573366566,0.1943920330038006,0.44225435315651784,40.47600948649305,0.21169599147446178,0.49473905460909007,0.007049548347982206,1.532070079818368,90.36870668642223,10.970493558726847,2.558367058796279,0.6587847222222222,0.24346379246560745,15.815327590250712,0.658971982927113,2.5879716060078026,2.797897297859356,0.26201018245294844,0.8934637924656075,0.6314536100126591,1.640036561408494,4.644266646644773,0.020507711011879915,0.15895789329682272,0.912646217673828,,,J_1453,1,5,mc_representative,j1453_pinned,0.8570752201761371,0.9984750000000003
J_1453__j1453_pinned_mc006_06jb,robust_valid,24.0,10.8,0.45,120.0,53.41355836612843,0.178169593060688,0.4025017606357171,37.23792796522482,0.20740980965218495,0.49473905460909007,0.007576321021744364,1.532070079818368,90.36870668642223,10.631321209022946,2.563950239937054,0.5948090277777778,0.2238637426883292,14.292078590494928,0.5955032746039554,2.526754324702666,2.8001199482964156,0.18190967488815019,0.8738637426883292,0.691954067800179,1.7850563694564676,4.539811637792289,0.014556109663364592,0.09620828864159853,0.8941552385421454,,,J_1453,1,6,mc_representative,j1453_pinned,0.8570752201761371,0.9984750000000003
J_1453__j1453_pinned_mc007_06jb,robust_valid,24.0,10.8,0.45,120.0,51.929427685461086,0.1506336043207367,0.37588910368614376,39.09006850182797,0.21796748025769094,0.49473905460909007,0.007199491400041819,1.532070079818368,90.36870668642223,10.843033391439407,2.5621698680610447,0.6137152777777778,0.2456401902332811,14.728692480501223,0.6136955200208843,2.5264915823875347,2.8001199482964156,0.1900702681449115,0.8956401902332811,0.7055699220883697,1.8001546612874826,4.539811637792289,0.014559589435047048,0.09948466994400496,0.913730739965947,,,J_1453,1,7,mc_representative,j1453_pinned,0.8570752201761371,0.9984750000000003
J_1453__j1453_pinned_mc008_06jb,robust_valid,24.0,10.8,0.45,120.0,50.65771752833005,0.19090744470006216,0.4384974458977623,37.3177302665101,0.22,0.49473905460909007,0.006342943223709993,1.532070079818368,90.36870668642223,10.575312716748886,2.5659126704432382,0.6174479166666667,0.23081834798966083,14.81970634149178,0.6174877642288242,2.539412347428708,2.8001199482964156,0.21528092608463065,0.8808183479896609,0.6655374219050302,1.6882579186236863,4.539811637792289,0.017914113148678305,0.12141826184149741,0.9011989598838878,,,J_1453,1,8,mc_representative,j1453_pinned,0.8570752201761371,0.9984750000000003
J_1453__j1453_pinned_mc009_06jb,robust_valid,24.0,10.8,0.45,120.0,54.11250646718451,0.4313341223103443,0.4280394700106739,37.22239096219272,0.20535159221125432,0.49473905460909007,0.007196220480285553,1.532070079818368,90.36870668642223,10.833269441318501,2.5554632488469906,0.6122569444444445,0.2218878662160798,14.694788577402889,0.612282857391787,2.5377912287070745,2.8001199482964156,0.2073445992886471,0.8718878662160798,0.6645432669274327,1.6464742707534477,4.539811637792289,0.016822465186698703,0.11514761750802362,0.8921853940812424,,,J_1453,1,9,mc_representative,j1453_pinned,0.8570752201761371,0.9984750000000003
J_1453__j1453_pinned_mc010_06jb,robust_valid,24.0,11.077036100570398,0.4615431708570999,120.0,51.8507212214132,0.5061259383371985,0.39223148880218395,38.06467009273997,0.20791087069840705,0.49473905460909007,0.006376249680851442,1.532070079818368,90.36870668642223,10.952869977393808,2.5598630262710382,0.6287152777777778,0.23271587477090028,15.09355543486823,0.6288981431195096,2.558847571900846,2.811267238095111,0.21192748403059056,0.8827158747709003,0.6707883907403097,1.6795473017220641,4.55184210162397,0.016619039728471424,0.11519647894851455,0.900845910800891,,,J_1453,1,10,mc_representative,j1453_pinned,0.8570752201761371,0.9984750000000003
