_id,label,pitch_nm,line_cd_nm,line_cd_ratio,domain_x_nm,dose_mJ_cm2,sigma_nm,DH_nm2_s,time_s,Hmax_mol_dm3,kdep_s_inv,Q0_mol_dm3,kq_s_inv,abs_len_nm,CD_locked_nm,LER_CD_locked_nm,area_frac,P_line_margin,CD_final_nm,CD_pitch_frac,LER_after_PEB_P_nm,LER_design_initial_nm,P_space_center_mean,P_line_center_mean,contrast,psd_locked_mid,psd_design_mid,H_min,P_min,P_max,prefilter_score,roughness_trigger,source_recipe_id,role,phase,variation_idx,strict_score_surrogate,yield_score_surrogate,strict_pass_prob_proxy_surrogate
J_1453__nom,robust_valid,24.0,10.8,0.45,120.0,52.48814922384918,0.34199510235339403,0.40357725620269774,38.63432072568685,0.21585012060590086,0.49473905460909007,0.00692776383832097,1.532070079818368,90.36870668642223,10.91255342823338,2.556994776506135,0.6251215277777777,0.24078807177973371,15.000291341355695,0.6250121392231539,2.5383797433637207,2.8001199482964156,0.21128989364991854,0.8907880717797337,0.6794981781298152,1.6906704047673788,4.539811637792289,0.016622133997999354,0.11582713669788626,0.9093637002626135,,,J_1453,strict_top,nominal,0,0.8981508092418597,0.9502416666666669,0.9803166965003477
J_3413__nom,robust_valid,28.0,12.6,0.45,140.0,54.25802861060947,0.18963659182190895,0.6108089515008033,32.69826397765428,0.1732291967049241,0.5954775451682508,0.006451839068904519,0.7088749594986439,73.21205128915608,12.620454274567567,2.4531807694949963,0.578125,0.20100466929755212,16.191546742982727,0.5782695265350973,2.40940580354768,2.7751431839943566,0.1758784920084808,0.8510046692975521,0.6751261772890713,1.3987217805451522,4.570215469540365,0.015449586796363437,0.1089091935839263,0.8688843322997554,,,J_3413,strict_top,nominal,0,0.8415704890152449,0.9565000000000007,0.9465652190079192
J_3097__nom,robust_valid,28.0,12.6,0.45,140.0,55.20931324828416,0.3358887014910579,0.4607528324238956,34.29629251360893,0.19076959015801548,0.5560683809220791,0.025271243015304208,1.6389677990227938,27.12440658826381,12.593576618341864,2.483322576282084,0.5280357142857143,0.19558368812842097,14.786148253396936,0.5280767233356048,2.460094227201764,2.7751431839943566,0.07663793058969778,0.845583688128421,0.7689457575387232,1.7337159074797595,4.570215469540365,0.005104427038291192,0.037049908670687595,0.8623059935553097,,,J_3097,strict_top,nominal,0,0.8123425854487579,0.9335416666666668,0.7716323066076656
J_1603__nom,robust_valid,24.0,10.8,0.45,120.0,49.671109666116536,0.20341934636235237,0.585356367006898,37.500420194119215,0.20327750555239618,0.6180648648180067,0.017489912817254663,1.6473220740444958,84.63056175969541,10.606598824207307,2.5956472266116952,0.6355902777777778,0.2265642056505498,15.264426769888402,0.6360177820786834,2.599511319279256,2.8001199482964156,0.2564458348261452,0.8765642056505498,0.6201183708244047,1.475039501304744,4.539811637792289,0.015705400685316253,0.15818804810341905,0.9007306003166279,,,J_1603,strict_top,nominal,0,0.804682592476153,0.8953416666666674,0.9584230006383319
J_2780__nom,robust_valid,24.0,12.48,0.52,120.0,51.142227636650205,0.2961369641125202,0.30267869839444755,37.42677637375891,0.19964606017805636,0.570398694742471,0.02265207951888442,0.5530166327953339,26.523145218379796,12.300036618556243,2.539144763515619,0.6556597222222222,0.2540611430282941,15.737977937050825,0.655749080710451,2.5455716087217084,2.7701829575093893,0.1893722300763919,0.9040611430282941,0.7146889129519022,2.133826424276708,4.586725975482864,0.011235778068753303,0.08778158134175734,0.9138283221243187,,,J_2780,strict_top,nominal,0,0.7885934517988519,0.9226083333333337,0.8223422649102222
J_4013__nom,robust_valid,24.0,10.8,0.45,120.0,40.807860262691975,1.1980212461203337,0.30710686156526207,33.85420311708003,0.20116724454797805,0.5582197852432728,0.016230081310495734,1.1962148416787386,96.01444595493376,10.796484560402593,2.5313147981015294,0.5594965277777778,0.1846441195198798,13.425640454380963,0.5594016855992068,2.526903111885709,2.8001199482964156,0.11127470612497249,0.8346441195198798,0.7233694133949073,1.7300467228511838,4.539811637792289,0.006706508277452271,0.046486424470545275,0.8533069137305537,,,J_4013,strict_top,nominal,0,0.7820022438197392,0.8915750000000002,0.5530916716228162
J_4793__nom,robust_valid,28.0,12.6,0.45,140.0,58.78397037740797,0.09168760478496552,0.3509858881123364,38.66186414845288,0.17470966765657067,0.6255642804317176,0.018038093699142336,1.903185164090246,76.92620038520545,12.506982428054663,2.5071211675260168,0.5561904761904762,0.2549140582006778,15.570348568385104,0.5560838774423251,2.4583554612887712,2.7751431839943566,0.06961267761714547,0.9049140582006778,0.8353013805835323,1.9522711076929553,4.570215469540365,0.003688326344572889,0.030159309763615916,0.9167258922485901,,,J_4793,strict_top,nominal,0,0.7704067832677522,0.8768250000000007,0.3242051162251217
J_1717__nom,robust_valid,28.0,12.6,0.45,140.0,37.86264035850763,0.9991807322949171,0.42823082087561487,32.97462359070778,0.21115490527823566,0.5507289295084774,0.017427831385284663,0.7525441497564316,80.94252660404891,12.3106021490286,2.4537795653905365,0.5450744047619047,0.18056168803113226,15.260927654718312,0.545033130525654,2.4432113600873677,2.7751431839943566,0.10108745986077393,0.8305616880311323,0.7294742281703583,1.5219047846244333,4.570215469540365,0.008023786309669215,0.05116539248339118,0.8457604441770976,,,J_1717,strict_top,nominal,0,0.7145959810545208,0.9026666666666663,0.9224084159680187
J_2933__nom,robust_valid,28.0,12.6,0.45,140.0,58.687789524905384,0.33374173287302256,0.3321890031918883,30.72632148861885,0.1536402834020555,0.4609891513362527,0.00212391153909266,1.1022598426789045,78.89835243113339,12.624860740189186,2.5245712752425398,0.4783779761904762,0.11454491097578146,13.379609177846358,0.47784318492308425,2.5229029094390585,2.7751431839943566,0.044400408388516915,0.7645449109757815,0.7201445025872646,2.1115080244456528,4.570215469540365,0.004566882489491059,0.017158180163805544,0.7774563885872939,,,J_2933,strict_top,nominal,0,0.6938541602237882,0.7576000000000004,0.8943951483640608
J_1785__nom,robust_valid,28.0,14.56,0.52,140.0,43.58954301383346,0.4863320142030716,0.34905219841748475,33.202678062953055,0.17627769674174487,0.5365379111841321,0.005721099665388465,1.5111720715649426,25.56224969215691,14.51750740501422,2.5028501024427223,0.5869940476190476,0.18021661769317776,16.42916276878499,0.5867558131708925,2.4984967559439113,2.7772415217012325,0.10371629833121283,0.8302166176931778,0.7265003193619649,1.9062044423569933,4.523265297694232,0.008039696808034192,0.04661131062006305,0.8382111732804068,,,J_1785,strict_top,nominal,0,0.683414479325329,0.9371999999999999,0.8170495284875179
