_id,label,pitch_nm,line_cd_nm,line_cd_ratio,domain_x_nm,dose_mJ_cm2,sigma_nm,DH_nm2_s,time_s,Hmax_mol_dm3,kdep_s_inv,Q0_mol_dm3,kq_s_inv,abs_len_nm,CD_locked_nm,LER_CD_locked_nm,area_frac,P_line_margin,CD_final_nm,CD_pitch_frac,LER_after_PEB_P_nm,LER_design_initial_nm,P_space_center_mean,P_line_center_mean,contrast,psd_locked_mid,psd_design_mid,H_min,P_min,P_max,prefilter_score,roughness_trigger,source_recipe_id,rank_surrogate,variation_idx,phase,yield_score_surrogate,yield_score_06a_rescore,score_gap
D_1243__disagree,robust_valid,24.0,12.48,0.52,120.0,52.952189340256155,0.6573477387428284,0.47568279430270194,33.43297273851931,0.2021333150751889,0.4906858271919191,0.011134928120300173,1.5573461670428514,50.0,12.294904736395802,2.5088834665591966,0.6538888888888889,0.19441948718053503,15.68720942639349,0.6536337260997288,2.573067501500126,2.7701829575093893,0.24670031398902442,0.8444194871805351,0.5977191731915106,1.573545578611259,4.586725975482864,0.020704800837986186,0.14050109395660476,0.8605387790487141,,,D_1243,1,0,disagreement_nominal,1.0,0.5487685920315793,0.45123140796842065
D_812__disagree,robust_valid,24.0,12.48,0.52,120.0,52.489258121699095,0.1931153442710638,0.4951038148254156,29.144660155288875,0.20280318291857838,0.5752463086508215,0.008649151157587767,1.3841324714012444,50.0,12.416732600572761,2.519599509514687,0.6446354166666667,0.21183317916431255,15.48359812955996,0.6451499220649983,2.548203237056378,2.7701829575093893,0.22697550555869778,0.8618331791643126,0.6348576736056148,1.7887302046468936,4.586725975482864,0.01938013148284286,0.1239748120796788,0.8768148576379358,,,D_812,2,0,disagreement_nominal,0.9999583333333333,0.29107409922489613,0.7088842341084372
D_1513__disagree,robust_valid,24.0,12.48,0.52,120.0,57.739948318339884,0.2753005949780345,0.3883114458993077,31.595399980433285,0.21976879190653564,0.6074707061052322,0.009825902944430708,1.1671670558862388,50.0,12.445741201492556,2.5268083951170364,0.6965972222222222,0.2777248892332248,16.71764533383603,0.6965685555765012,2.5801389688264824,2.7701829575093893,0.24043045298156265,0.9277248892332248,0.6872944362516622,1.96628368289905,4.586725975482864,0.017491766440252986,0.12021977835360143,0.9366802163453319,,,D_1513,3,0,disagreement_nominal,0.999925,-0.5017868237462524,1.5017118237462523
D_3225__disagree,robust_valid,24.0,12.48,0.52,120.0,59.955185344442725,0.19484605081379414,0.4984213786199689,32.54462571814656,0.20058580998331307,0.5513192222453653,0.016071795606985687,1.0864991042762995,50.0,12.46716335938552,2.5217918327530358,0.6661111111111111,0.22527179935319808,15.980155804347188,0.6658398251811328,2.576756229160165,2.7701829575093893,0.2547435088997045,0.8752717993531981,0.6205282904534937,1.710626951930689,4.586725975482864,0.019910718626412326,0.1461959797522547,0.890620638622123,,,D_3225,4,0,disagreement_nominal,0.999925,0.5724648721053076,0.42746012789469234
D_4593__disagree,robust_valid,24.0,12.48,0.52,120.0,54.4862330686301,0.5168475955724716,0.4447053151205182,35.66634920891374,0.18961607231758534,0.5720053535886109,0.021670072115957735,1.0442101648077369,50.0,12.439979198392166,2.5163410307632375,0.6623263888888888,0.22118572973647888,15.897903239310631,0.6624126349712763,2.571522685575256,2.7701829575093893,0.24216994053565405,0.8711857297364789,0.6290157892008248,1.692338243417987,4.586725975482864,0.015272499196884433,0.13499658120683,0.8860918253768912,,,D_4593,6,0,disagreement_nominal,0.9996250000000001,0.30472006852890754,0.6949049314710926
D_2652__disagree,robust_valid,24.0,12.48,0.52,120.0,50.27633666899055,0.27707752492278814,0.38451036922633647,36.74058944918215,0.18684964636340737,0.5565899247303605,0.017249463759362697,1.26831394713372,50.0,12.357722654813111,2.523350923566812,0.6333333333333333,0.21524726181695308,15.205245250396782,0.6335518854331993,2.536417944659803,2.7701829575093893,0.19773133437909166,0.8652472618169531,0.6675159274378615,1.8804391373258482,4.586725975482864,0.012212390254980852,0.10136194436108165,0.8798193249346837,,,D_2652,8,0,disagreement_nominal,0.9983000000000006,-0.09898347445695777,1.0972834744569584
D_2899__disagree,robust_valid,24.0,12.48,0.52,120.0,59.393913810141385,0.11198273207992315,0.43516744785010814,35.399154857732356,0.17993396399542688,0.570628852583468,0.015809983648359775,0.7819570177234709,50.0,12.43702513664714,2.5242703108108406,0.6604861111111111,0.22719339068259348,15.85618149951038,0.6606742291462658,2.564436038272192,2.7701829575093893,0.2456178130213653,0.8771933906825935,0.6315755776612282,1.7921900994383244,4.586725975482864,0.017120804987889034,0.13861790330568474,0.8919057440508078,,,D_2899,10,0,disagreement_nominal,0.9973250000000007,-0.24623404724989528,1.2435590472498959
D_3536__disagree,robust_valid,24.0,12.48,0.52,120.0,58.21643159072846,0.7871274221688509,0.3263567278161645,26.05789413675666,0.20195914573036133,0.5717279964126647,0.014460683595389127,1.3070269306190312,50.0,12.602819108138243,2.5364403418216694,0.6189583333333334,0.20486029563411567,14.868895497797837,0.6195373124082432,2.5478876267953092,2.7701829575093893,0.1268594487421555,0.8548602956341157,0.7280008468919602,2.151268834543358,4.586725975482864,0.009258548508829173,0.047028606425312036,0.8637372298326417,,,D_3536,12,0,disagreement_nominal,0.9949750000000009,0.6230583100869789,0.37191668991302207
D_2146__disagree,robust_valid,24.0,12.48,0.52,120.0,57.45745566487312,0.3220409257337451,0.32825823239982127,32.86919340491295,0.1784540202561766,0.6249055511318147,0.020234021712094544,0.6211664425209165,50.0,12.55604555231243,2.540001483927619,0.6406597222222222,0.2379704999646033,15.379940023944641,0.6408308343310267,2.5425627885983375,2.7701829575093893,0.172981109729179,0.8879704999646033,0.7149893902354243,2.1414809083583632,4.586725975482864,0.01059910879035199,0.07766025688042404,0.8981233150352202,,,D_2146,13,0,disagreement_nominal,0.9934750000000017,-0.06749218834091442,1.060967188340916
D_1457__disagree,robust_valid,24.0,12.48,0.52,120.0,40.75216315314174,0.34242468047887087,0.4445094374939799,35.098092425614595,0.1991005108039826,0.5925591707229614,0.012905460242182016,0.8692088257521391,50.0,12.210150242439582,2.519459315602829,0.6574652777777777,0.21389144477054933,15.782879604835077,0.6576199835347949,2.569302456302862,2.7701829575093893,0.24854544893170802,0.8638914447705494,0.6153459958388413,1.7235242890540214,4.586725975482864,0.016905024324938303,0.14220034991663363,0.879194728431498,,,D_1457,15,0,disagreement_nominal,0.9929000000000016,-0.10942664875767394,1.1023266487576755
