recipe_id,rank_06a_surrogate,yield_score_06a_surrogate,yield_score_06c_surrogate,mean_cd_fixed_06a,mean_cd_fixed_06c,mean_ler_locked_06a,mean_ler_locked_06c,p_robust_valid_06a,p_robust_valid_06c,fd_label,FD_yield_score_nominal,CD_final_fd,LER_CD_locked_fd,P_line_margin_fd,rank_06c_surrogate
A_4856,1,0.9521500000000006,0.9997500000000001,15.618163040674974,15.30450890563434,2.5160009900577593,2.5402936837735153,0.9788166666666672,0.9998666666666668,robust_valid,1.0,15.317540734264744,2.5171925610446224,0.20414685467382165,5
A_279,2,0.9027166666666664,1.0,15.89047910798462,15.097839659498382,2.5247497940582386,2.537311494653518,0.9617166666666662,1.0,robust_valid,1.0,15.114659179207331,2.515772530844478,0.18912014000887245,1
A_94,3,0.8953916666666665,0.99995,15.8358031707759,15.764776750453183,2.538653005050297,2.531258785315203,0.9565499999999999,0.9999833333333333,robust_valid,1.0,15.759577651561107,2.5064929602481545,0.1944629336362319,3
A_1933,4,0.8891666666666664,0.9996500000000001,14.889937110586711,14.118475338943902,2.522576253552011,2.550888125458128,0.9533666666666666,0.9998500000000001,robust_valid,1.0,14.126852815705334,2.53039650868489,0.1597174030797709,6
A_3686,5,0.8844773835442628,0.9996000000000002,16.008114283122403,15.588941442655337,2.5298854997344566,2.541608876048432,0.9496833333333323,0.9998000000000001,robust_valid,1.0,15.594815840699832,2.5222894446354673,0.24226087629899762,7
A_2660,6,0.8750083333333338,0.9988833333333338,15.66801344649585,15.14312614267451,2.593128080144319,2.5411096600858074,0.9417666666666671,0.9994666666666672,robust_valid,1.0,15.131263870748006,2.519031972941315,0.21293254449695054,9
A_2002,7,0.8735666666666668,0.999975,15.792568858326181,14.52051235927249,2.5243769927298643,2.534190202377312,0.9461833333333335,0.9999833333333333,robust_valid,1.0,14.515364252795171,2.5085410312089644,0.15497219746240665,2
A_3267,8,0.8715833333333333,0.9997583333333334,15.356879714100362,14.207024814594215,2.524862570264321,2.540271376482694,0.9502666666666666,0.9999166666666668,robust_valid,1.0,14.285911616562112,2.520774538977798,0.16188119143255053,4
A_844,9,0.8701749999999995,0.9996000000000002,15.888212704962184,14.814249368278036,2.525619094782537,2.544811755098874,0.9408499999999995,0.9997833333333336,robust_valid,1.0,14.785065742183686,2.5229069234005097,0.19327110887468835,8
A_838,10,0.8652666666666676,0.9988000000000004,14.849814881223715,14.767180690243226,2.52941605557381,2.533838105162196,0.937900000000001,0.9995166666666669,robust_valid,1.0,14.744271957127904,2.5155774330267806,0.17127148184319896,10
A_2204,11,0.8632083333333338,0.9597750000000012,15.607908149758162,14.235351941070673,2.5422024377417696,2.534735842808846,0.9410500000000005,0.9835666666666678,robust_valid,1.0,14.42185002418218,2.507265599205469,0.11579443950330015,35
A_906,12,0.8630000000000001,0.9760750000000009,15.93315854093185,15.046323260208533,2.5408085819878727,2.53483727420385,0.9414166666666667,0.9894166666666676,robust_valid,1.0,15.452312982540679,2.5037020891017088,0.1696586973321066,23
A_337,13,0.8626083333333348,0.9576416666666664,15.203536023937463,14.428498783080327,2.520461413515818,2.539001505530857,0.9369166666666681,0.9829166666666664,robust_valid,1.0,14.506132998858766,2.4963606986825995,0.1431275536637543,39
A_4533,14,0.8601083333333338,0.9782583333333345,15.647986195919037,14.337723637589027,2.5208224890350115,2.539844897782008,0.9457666666666671,0.9900333333333343,robust_valid,1.0,14.232338672885547,2.5122190638707442,0.16309077061593658,21
A_1720,15,0.8563999999999997,0.9878250000000018,15.570363486933479,14.149163542153737,2.5556375330806387,2.540043462122738,0.9399999999999997,0.9943833333333351,robust_valid,0.9024888793638013,13.902488879363801,2.530368057074166,0.15164655733402965,14
A_3817,16,0.8558416666666668,0.9569916666666687,15.998154274925433,15.745405553791517,2.5776142406721925,2.5342717127142937,0.9242500000000002,0.9747666666666686,robust_valid,0.8999956918227454,16.100004308177255,2.5029629287018578,0.21237985271640203,40
A_4523,17,0.8535249999999996,0.7490967101073467,15.227991401128701,13.779421710107346,2.519159639362587,2.540038380778056,0.9401166666666664,0.987716666666667,robust_valid,0.22769049978918154,13.227690499789182,2.5333607216279175,0.1189256951933928,93
A_1691,18,0.8532833333333336,0.8104065088595952,14.980415773432547,13.882473175526261,2.523084645033328,2.538517039768638,0.9396000000000003,0.9615666666666673,robust_valid,1.0,14.665655574645305,2.5164610975959163,0.17468045437773716,88
A_2923,19,0.8440833333333339,0.9587217025998469,15.495126167488714,13.969405035933178,2.5846591058750503,2.5430766219154153,0.9348500000000005,0.9952333333333353,robust_valid,0.9811288062170629,13.981128806217063,2.529743310849704,0.16079228665509937,36
A_3108,20,0.8421666666666668,0.9613750000000005,14.892654462632127,14.262243442487296,2.5210118537709154,2.5429999374415755,0.9318833333333335,0.9802333333333337,robust_valid,0.6916885958696586,13.691688595869659,2.541621824016304,0.15161268136179473,33
A_2339,21,0.8381916666666666,0.9003166666666671,15.712295767962617,14.456888151588489,2.546742730807883,2.5335431829114663,0.9233166666666667,0.9493500000000004,robust_valid,1.0,14.695044971855324,2.4941913969000735,0.14484627973793562,68
A_1494,22,0.8375000000000004,0.8927507526523817,14.301303174271053,13.90107575265238,2.5264819147756974,2.5441539429356657,0.9295000000000002,0.995033333333335,robust_valid,0.24196155275751607,13.241961552757516,2.5200234077200885,0.11129890542235144,72
A_3670,23,0.8370666666666677,0.9806416666666689,14.332988047211693,14.593111562228938,2.562052893741227,2.5387682086865655,0.9325833333333344,0.9913333333333355,robust_valid,1.0,14.624646037386409,2.5210466976940333,0.1761871204441,19
A_71,24,0.8362499999999998,0.9983500000000004,15.59227309450665,15.433603518708617,2.523391986878506,2.5411234400319826,0.9156333333333331,0.9992666666666671,robust_valid,1.0,15.068588650868909,2.5382212406948694,0.23827033673027342,11
A_3233,25,0.8354333333333334,0.9663750000000029,15.96380378165429,14.318375272506167,2.645893878401314,2.54728019314663,0.929816666666667,0.9883666666666696,robust_valid,1.0,14.2745753097313,2.5721062570668503,0.21160250261000213,31
A_1961,26,0.8325833333333337,0.9512166666666675,15.991529452800513,14.156555292177323,2.566468087711871,2.535895021264222,0.925066666666667,0.9762000000000008,robust_valid,1.0,14.326593166656775,2.4966151797489524,0.1518298805124072,44
A_1732,27,0.8296333333333338,0.9800416666666687,15.563141828784541,14.476216035434138,2.5288910391162873,2.5306423705346806,0.9315000000000004,0.9911333333333353,robust_valid,1.0,14.874574877311963,2.4907596178952858,0.14005934521261654,20
