_id,label,pitch_nm,line_cd_nm,line_cd_ratio,domain_x_nm,dose_mJ_cm2,sigma_nm,DH_nm2_s,time_s,Hmax_mol_dm3,kdep_s_inv,Q0_mol_dm3,kq_s_inv,abs_len_nm,CD_locked_nm,LER_CD_locked_nm,area_frac,P_line_margin,CD_final_nm,CD_pitch_frac,LER_after_PEB_P_nm,LER_design_initial_nm,P_space_center_mean,P_line_center_mean,contrast,psd_locked_mid,psd_design_mid,H_min,P_min,P_max,prefilter_score,roughness_trigger
04c_0,merged,20,10.0,0.5,100.0,40.0,3.0,0.8,45.0,0.16321978275629379,0.45886272510969106,0.005,0.5,24.711495022555933,10.073255630854472,4.58587829194586,0.9904583333333333,0.0686762290419114,19.349632899912027,0.9674816449956014,0.6974276654931059,2.812021531233865,0.5650198614969723,0.7186762290419114,0.15365636754493917,0.7375075170836685,4.616233784878745,0.036721720747695,0.47699801963231375,0.7589275788066974,,ler_locked_max+ler_design_excess
04c_1,under_exposed,20,12.0,0.6,100.0,44.2,3.0,0.5,30.0,0.1594828789334588,0.41523957277039414,0.01,0.5,44.17907749349441,12.252000112051167,3.8851001878301767,0.7133125,-0.016286260269276487,14.196812920168378,0.7098406460084189,4.0800123291908745,2.812021531233865,0.42958587717377233,0.6337137397307235,0.2041278625569512,1.6989104547288936,4.616233784878745,0.03948299827110939,0.3201526127032761,0.6586298036243939,,ler_locked_max+ler_design_excess
04c_2,merged,24,13.200000000000001,0.55,120.0,28.4,3.0,1.0,45.0,0.17665560968129718,0.6332547733471173,0.005,0.5,22.872870364599017,13.25176562985691,3.5404726946250342,1.0,0.15418506995647252,23.5,0.9791666666666666,0.0,2.790404311903947,0.6212781328947548,0.8041850699564725,0.1829069370617178,0.3798172903120891,4.640129641112166,0.03360279214980875,0.5445040117064784,0.828833850256527,,ler_locked_max+ler_design_excess
04c_3,roughness_degraded,20,10.0,0.5,100.0,44.2,1.5,0.8,30.0,0.19526545716810795,0.5608043904089335,0.02,1.0,52.56663464856988,9.86678586779016,3.0049562934831746,0.7224166666666667,0.08779658823949754,14.41266850077756,0.720633425038878,3.624346857516273,2.812021531233865,0.40138653299229843,0.7377965882394976,0.33641005524719914,1.208605916722219,4.616233784878745,0.0303514139555305,0.28747061649063466,0.774692269689743,,ler_locked_max+ler_design_excess
04c_4,merged,20,11.0,0.55,100.0,40.0,3.0,0.8,30.0,0.16902951947953698,0.6104490025992099,0.02,0.5,49.47481510038027,10.83923707531528,3.8508816660984158,0.9478541666666667,0.06803497962239213,18.593031799865237,0.9296515899932618,2.250296178510838,2.812021531233865,0.5274903379723884,0.7180349796223922,0.19054464165000373,0.7966322925876612,4.616233784878745,0.036151817010270475,0.4229554508189833,0.7515234531939379,,ler_locked_max+ler_design_excess
04c_5,under_exposed,20,10.0,0.5,100.0,28.4,2.5,0.8,45.0,0.17748515295819114,0.3731627678037392,0.02,0.5,82.09135404043022,9.952294517037418,3.8924036969224565,0.3824375,-0.10274756586539147,7.933846117490475,0.39669230587452375,3.8979778710529667,2.812021531233865,0.3659120108176069,0.5472524341346086,0.18134042331700168,0.8129504812633839,4.616233784878745,0.023094808440349286,0.2889746201938302,0.5914265769348882,,ler_locked_max+ler_design_excess
04c_6,merged,24,14.399999999999999,0.6,120.0,40.0,2.0,1.0,45.0,0.1902842668096986,0.5156783802935005,0.0,0.5,65.11201394425433,14.336397639267418,3.4899255004138263,1.0,0.21310996460143106,23.5,0.9791666666666666,0.0,2.777139811468949,0.6893736845431119,0.8631099646014311,0.1737362800583192,0.6812219561916797,4.656752412925492,0.05262491456688279,0.6074014949810825,0.8803589038858954,,ler_locked_max+ler_design_excess
04c_7,roughness_degraded,18,9.0,0.5,90.0,40.0,3.0,0.5,30.0,0.19037175068065496,0.4413025512020513,0.0,1.0,56.35393352473517,8.77618923354747,3.7114588467365506,0.7853472222222222,0.01684068031980701,14.000601484522255,0.7778111935845697,4.015951009373246,2.812021531233865,0.45462889384554367,0.666840680319807,0.21221178647426336,1.0868923576268479,4.616233784878745,0.04211530416665566,0.3356185019077962,0.7101507334179742,,ler_locked_max+ler_design_excess
04c_8,merged,24,15.600000000000001,0.65,120.0,40.0,2.0,0.5,45.0,0.19671454083788242,0.4658370587487545,0.02,0.5,55.0833191495772,15.55801453198848,3.0784379145270306,0.9788194444444445,0.19898378844881126,23.07464445446359,0.961443518935983,1.4109180786837343,2.7751431839943566,0.5597363016119833,0.8489837884488113,0.289247486836828,1.053399743273354,4.570215469540365,0.03621788616236645,0.4235633557923725,0.8603873825675392,,ler_locked_max+ler_design_excess
04c_9,roughness_degraded,20,10.0,0.5,100.0,44.2,2.0,0.8,30.0,0.16086131957988187,0.6479286788494152,0.02,0.5,70.3607253120395,9.983149765263397,3.138793858696131,0.7982916666666666,0.08247305771500657,15.871852418083222,0.793592620904161,3.7575237274618147,2.812021531233865,0.44574462253127384,0.7324730577150066,0.28672843518373275,1.0131434851662666,4.616233784878745,0.029907228697491996,0.3333853437957632,0.7685549885567963,,ler_locked_max+ler_design_excess
