_id,label,pitch_nm,line_cd_nm,line_cd_ratio,domain_x_nm,dose_mJ_cm2,sigma_nm,DH_nm2_s,time_s,Hmax_mol_dm3,kdep_s_inv,Q0_mol_dm3,kq_s_inv,abs_len_nm,CD_locked_nm,LER_CD_locked_nm,area_frac,P_line_margin,CD_final_nm,CD_pitch_frac,LER_after_PEB_P_nm,LER_design_initial_nm,P_space_center_mean,P_line_center_mean,contrast,psd_locked_mid,psd_design_mid,H_min,P_min,P_max,prefilter_score,roughness_trigger,source_recipe_id,rank_surrogate,variation_idx,phase,yield_score_surrogate,yield_score_06a_rescore,score_gap
D_1243__mc001,robust_valid,24.0,12.517512174602693,0.5215630072751122,120.0,54.90627346279368,0.6437648474064049,0.4748303792264251,34.210800052647734,0.21058859247002834,0.4906858271919191,0.011567768374108856,1.5573461670428514,50.0,12.580167723617564,2.5136688398736946,0.67921875,0.21634481278610795,16.3085707397617,0.6795237808234041,2.6108085461277923,2.772973954657809,0.2693236862674776,0.866344812786108,0.5970211265186304,1.586023248315948,4.6149532684755945,0.022345763842827167,0.1547120870765432,0.8813063172906304,,,D_1243,1,1,mc,1.0,0.5487685920315793,nan
D_1243__mc002,robust_valid,24.0,12.643278160485039,0.5268032566868767,120.0,50.54539044994717,0.6419455730341159,0.43730632467746916,32.117172094725724,0.21115620019682668,0.4906858271919191,0.011871631564316459,1.5573461670428514,50.0,12.690522910667948,2.522132625838239,0.6446527777777777,0.19549362005488635,15.473123735376106,0.6447134889740044,2.563487598948052,2.780234345741083,0.21907428493784523,0.8454936200548864,0.6264193351170412,1.7049752829202365,4.549848678871721,0.018370546790385703,0.11612638645894764,0.859787038663485,,,D_1243,1,2,mc,1.0,0.5487685920315793,nan
D_1243__mc003,robust_valid,24.0,12.703917452304811,0.5293298938460338,120.0,51.66484429682768,0.7985639314937325,0.47735976494053134,35.07408789308896,0.21177064545460544,0.4906858271919191,0.011445743204670466,1.5573461670428514,50.0,12.830255535878923,2.5219172360415487,0.6969618055555555,0.21584768510689212,16.7342102137175,0.6972587589048959,2.6676795335958774,2.7753495372265777,0.29097552890394973,0.8658476851068921,0.5748721562029424,1.5043556221514742,4.632903555185069,0.023612392746401586,0.17191870895292383,0.8802722553084642,,,D_1243,1,3,mc,1.0,0.5487685920315793,nan
D_1243__mc004,robust_valid,24.0,12.059606258615407,0.5024835941089753,120.0,51.459228439968214,0.7276201028279596,0.43012072363996157,32.35881790332313,0.20723434532191232,0.4906858271919191,0.01013325524300613,1.5573461670428514,50.0,12.258718788129991,2.5516661668664726,0.6270138888888889,0.19391657568832388,15.047417414996422,0.6269757256248509,2.580258014968806,2.813867652197853,0.20498979669649792,0.8439165756883239,0.638926778991826,1.6388651816711104,4.537405128499068,0.017422358555923053,0.10823291044626611,0.8603330844346654,,,D_1243,1,4,mc,1.0,0.5487685920315793,nan
D_1243__mc005,robust_valid,24.0,12.650450962639521,0.5271021234433134,120.0,54.63273147923484,0.6754047708217172,0.5117294191594648,34.889618524315964,0.2080227619364762,0.4906858271919191,0.011411577260381701,1.5573461670428514,50.0,12.75591797796435,2.530862150601517,0.6980034722222223,0.21383584543690703,16.75831334369459,0.6982630559872746,2.688848684700113,2.778614203108872,0.3003402855430598,0.8638358454369071,0.5634955598938473,1.4705096702213634,4.54570233337324,0.025192335786414513,0.18362920910779393,0.8792316261875794,,,D_1243,1,5,mc,1.0,0.5487685920315793,nan
D_1243__mc006,robust_valid,24.0,12.002695970921213,0.5001123321217172,120.0,50.945044143055014,0.6215454974964607,0.4334024645627643,32.79359656713398,0.21107468369628932,0.4906858271919191,0.010814547916389706,1.5573461670428514,50.0,11.854752881552173,2.552281425823323,0.6242881944444445,0.1984588708746562,14.983692584882018,0.6243205243700841,2.5750758977548776,2.814537727474371,0.2028666310925977,0.8484588708746562,0.6455922397820585,1.7003016197401153,4.601977324925082,0.017272529851517667,0.10866969429385522,0.8652381059267583,,,D_1243,1,6,mc,1.0,0.5487685920315793,nan
D_1243__mc007,robust_valid,24.0,12.16233719530393,0.5067640498043304,120.0,54.79436651097776,0.6132273011560146,0.512168425251438,33.047420047618175,0.19584722202377686,0.4906858271919191,0.012012704822772042,1.5573461670428514,50.0,12.063616656923104,2.5363414679647667,0.6312847222222222,0.17855604408823755,15.148575951703004,0.6311906646542919,2.5793748155616028,2.7984264212878975,0.23724071377185035,0.8285560440882376,0.5913153303163872,1.5524644527038394,4.660321911701115,0.020479464509961205,0.13955651064515298,0.8476144120364268,,,D_1243,1,7,mc,1.0,0.5487685920315793,nan
D_1243__mc008,robust_valid,24.0,12.857946065099668,0.5357477527124862,120.0,53.65672068637346,0.8268546022480501,0.4872270247402108,33.022877270295965,0.21182055118163468,0.4906858271919191,0.011716516794808203,1.5573461670428514,50.0,12.73410791123423,2.5554766169883267,0.6943402777777777,0.20889106366139565,16.65495640832041,0.6939565170133504,2.697647449601662,2.8094461827046535,0.28543330555419666,0.8588910636613957,0.573457758107199,1.4790122324929875,4.5627891779330705,0.02420848271260729,0.1660713292645785,0.8727492718243254,,,D_1243,1,8,mc,1.0,0.5487685920315793,nan
D_1243__mc009,robust_valid,24.0,12.285450375886228,0.5118937656619261,120.0,52.647744025164734,0.8406441747363053,0.4644250570339431,34.97621024266042,0.19874021147439344,0.4906858271919191,0.011824815523746262,1.5573461670428514,50.0,12.328928836013477,2.5117749935576295,0.6575868055555556,0.19650400948456193,15.789276697909497,0.6578865290795624,2.587124177825401,2.7821100091587327,0.2525876774942299,0.846504009484562,0.593916331990332,1.4849096562397612,4.587966662348539,0.02019312130410966,0.14664545095913542,0.8633321501647553,,,D_1243,1,9,mc,1.0,0.5487685920315793,nan
D_1243__mc010,robust_valid,24.0,12.651094784552395,0.5271289493563498,120.0,53.57002295130054,0.5441758581898017,0.4462618973853107,33.314170476107364,0.2031321540319599,0.4906858271919191,0.010626366284905105,1.5573461670428514,50.0,12.50257560741492,2.523556375640224,0.6550173611111111,0.20174691747827034,15.713212479443637,0.6547171866434849,2.5773203658918646,2.779603546007288,0.23675526639143019,0.8517469174782704,0.6149916510868402,1.6817000065269412,4.546929093248989,0.019853790802575173,0.13080407265628896,0.8662588055869439,,,D_1243,1,10,mc,1.0,0.5487685920315793,nan
