_id,label,pitch_nm,line_cd_nm,line_cd_ratio,domain_x_nm,dose_mJ_cm2,sigma_nm,DH_nm2_s,time_s,Hmax_mol_dm3,kdep_s_inv,Q0_mol_dm3,kq_s_inv,abs_len_nm,CD_locked_nm,LER_CD_locked_nm,area_frac,P_line_margin,CD_final_nm,CD_pitch_frac,LER_after_PEB_P_nm,LER_design_initial_nm,P_space_center_mean,P_line_center_mean,contrast,psd_locked_mid,psd_design_mid,H_min,P_min,P_max,prefilter_score,roughness_trigger,source_recipe_id,rank_06l,variation_idx,phase,rep_kind,strict_score_06l_surrogate,yield_score_06l_surrogate
J_1453__mc001_06jb,robust_valid,24.0,10.8,0.45,120.0,51.175747016392364,0.3758969312568025,0.4233974800894858,37.2359664555606,0.2104783905302878,0.49473905460909007,0.007602576091774766,1.532070079818368,90.36870668642223,10.72848467933618,2.5583911050597328,0.60609375,0.22070950917519683,14.54806483965335,0.6061693683188896,2.5340318067027043,2.8001199482964156,0.1997609093675629,0.8707095091751968,0.6709485998076339,1.6824714871291229,4.539811637792289,0.016099065963865702,0.10968008221984771,0.8912307598016297,,,J_1453,1,1,mc_top10,,0.8570752201761371,0.9984750000000003
J_1453__mc002_06jb,robust_valid,24.0,10.883700155414084,0.45348750647558683,120.0,51.050771698038936,0.21803940824137857,0.42912440074834335,40.044437067288534,0.21335112982516521,0.49473905460909007,0.007491092451086591,1.532070079818368,90.36870668642223,10.86372907354601,2.5792725766904496,0.6312326388888889,0.2362721393681314,15.156451690802678,0.6315188204501115,2.5694921515283924,2.8146023574141745,0.2315523302646082,0.8862721393681314,0.6547198091035232,1.6579219702706705,4.577896142809563,0.017816501823755642,0.13361034078837974,0.9066363582942951,,,J_1453,1,2,mc_top10,,0.8570752201761371,0.9984750000000003
J_1453__mc003_06jb,robust_valid,24.0,10.8,0.45,120.0,53.61912202193211,0.43063222989899463,0.36455789368459607,38.170610336741774,0.22,0.49473905460909007,0.007181304603983524,1.532070079818368,90.36870668642223,10.754811467238804,2.555360413078051,0.6235416666666667,0.2507988960640023,14.954814303702756,0.6231172626542815,2.5300334288510617,2.8001199482964156,0.19008490381860732,0.9007988960640023,0.710713992245395,1.786450924686355,4.539811637792289,0.014638572720737321,0.0970974769393858,0.9172097156721768,,,J_1453,1,3,mc_top10,,0.8570752201761371,0.9984750000000003
J_1453__mc004_06jb,robust_valid,24.0,10.849582382807828,0.4520659326169928,120.0,51.7253857245791,0.15082859337537502,0.41858558217103037,36.84031623497716,0.20954774284391972,0.49473905460909007,0.006592198134001193,1.532070079818368,90.36870668642223,10.992444984467253,2.5685432155054686,0.5977256944444445,0.22037913927657915,14.365502558010201,0.5985626065837584,2.5387404642073346,2.8085532708983854,0.19157169489130244,0.8703791392765792,0.6788074443852767,1.7432567520674234,4.571009154051959,0.01575750149328096,0.10377124111660263,0.8910658753345758,,,J_1453,1,4,mc_top10,,0.8570752201761371,0.9984750000000003
J_1453__mc005_06jb,robust_valid,24.0,11.058177949458065,0.4607574145607527,120.0,52.028998429792956,0.5300760653578129,0.39712436442093985,39.83536572080818,0.21720777728077176,0.49473905460909007,0.006663377318580016,1.532070079818368,90.36870668642223,11.19696514326168,2.5620589487392365,0.6564236111111111,0.250912525178123,15.763795222221612,0.6568248009259005,2.58843773488499,2.813744990798354,0.24203080121556086,0.900912525178123,0.6588817239625622,1.6183574799626907,4.5530019212621236,0.018548001706321388,0.1368750875399856,0.917933998727632,,,J_1453,1,5,mc_top10,,0.8570752201761371,0.9984750000000003
J_1453__mc006_06jb,robust_valid,24.0,11.215531664948976,0.467313819372874,120.0,52.650028390558234,0.3107254752910804,0.3817865301146353,38.78546584093245,0.22,0.49473905460909007,0.007063447791363485,1.532070079818368,90.36870668642223,11.144266760185163,2.541973712499525,0.6450520833333333,0.25261048245644113,15.475040036548851,0.6447933348562022,2.5406036581981533,2.7912483638081134,0.21928363876884868,0.9026104824564412,0.6833268436875924,1.7764360140056255,4.613446822037432,0.017133238658205756,0.11989511802796857,0.9188907032818933,,,J_1453,1,6,mc_top10,,0.8570752201761371,0.9984750000000003
J_1453__mc007_06jb,robust_valid,24.0,10.8,0.45,120.0,52.479106265111774,0.35989226585064127,0.4278343846527172,40.58828778990454,0.21866879231581043,0.49473905460909007,0.006501400201125849,1.532070079818368,90.36870668642223,10.521970970405679,2.5657729617914193,0.6540451388888889,0.2499805200084294,15.700278632971333,0.6541782763738055,2.575396339060006,2.8001199482964156,0.2525735615403114,0.8999805200084294,0.647406958468118,1.6030758922207327,4.539811637792289,0.019580899845685486,0.14813135637789857,0.9183865291571504,,,J_1453,1,7,mc_top10,,0.8570752201761371,0.9984750000000003
J_1453__mc008_06jb,robust_valid,24.0,10.8,0.45,120.0,51.44069434813876,0.2918792365355146,0.41521522104165054,39.02870034554371,0.20931182394422795,0.49473905460909007,0.006905553953253931,1.532070079818368,90.36870668642223,10.593877256870774,2.563459535264319,0.6172222222222222,0.2301988789778886,14.8112976522293,0.6171374021762208,2.5389513129269496,2.8001199482964156,0.21207481151636212,0.8801988789778886,0.6681240674615265,1.6861136719663268,4.539811637792289,0.016589956897082026,0.11853639917688433,0.9002618422318943,,,J_1453,1,8,mc_top10,,0.8570752201761371,0.9984750000000003
J_1453__mc009_06jb,robust_valid,24.0,10.95513192029929,0.4564638300124705,120.0,50.42637336692471,0.5343499129791636,0.3850866733988067,40.143174732924464,0.22,0.49473905460909007,0.00722060727091811,1.532070079818368,90.36870668642223,11.054660436162585,2.5685296074313846,0.6470138888888889,0.25090295858923295,15.52950982767899,0.6470629094866246,2.575043684313715,2.8205503485849945,0.22814438627846478,0.900902958589233,0.6727585723107682,1.6741769693392534,4.6082442946089355,0.017165386186454846,0.1266171040225248,0.9181414705085333,,,J_1453,1,9,mc_top10,,0.8570752201761371,0.9984750000000003
J_1453__mc010_06jb,robust_valid,24.0,10.8,0.45,120.0,55.1080383206909,0.5388728399382724,0.4203259596850022,39.735481940177685,0.21286734492798728,0.49473905460909007,0.006647610120709685,1.532070079818368,90.36870668642223,10.49543085739506,2.55695820472143,0.65265625,0.24735032945220914,15.65802355959788,0.6524176483165783,2.569234742690502,2.8001199482964156,0.24618425813331996,0.8973503294522092,0.6511660713188892,1.574574358656972,4.539811637792289,0.01917342046334283,0.141984682925501,0.9153371733169066,,,J_1453,1,10,mc_top10,,0.8570752201761371,0.9984750000000003
