_id,label,pitch_nm,line_cd_nm,line_cd_ratio,domain_x_nm,dose_mJ_cm2,sigma_nm,DH_nm2_s,time_s,Hmax_mol_dm3,kdep_s_inv,Q0_mol_dm3,kq_s_inv,abs_len_nm,CD_locked_nm,LER_CD_locked_nm,area_frac,P_line_margin,CD_final_nm,CD_pitch_frac,LER_after_PEB_P_nm,LER_design_initial_nm,P_space_center_mean,P_line_center_mean,contrast,psd_locked_mid,psd_design_mid,H_min,P_min,P_max,prefilter_score,roughness_trigger,source_recipe_id,role,phase,variation_idx,strict_score_surrogate,yield_score_surrogate,strict_pass_prob_proxy_surrogate
J_1453__mode_b_strict_best_mc001,robust_valid,24.0,10.8,0.45,120.0,53.82923059134851,0.1476490058755341,0.3806669971298508,37.34556245585595,0.21299012797961164,0.49473905460909007,0.006771206635876244,1.532070079818368,90.36870668642223,10.543153237929332,2.5651741511113686,0.6008506944444445,0.2364366909074742,14.431697723759743,0.6013207384899893,2.5239310529164625,2.8001199482964156,0.17758540721726507,0.8864366909074742,0.7088512836902092,1.8432950147281837,4.539811637792289,0.014174474122293688,0.09121343130371617,0.9051207560408083,,,J_1453,mode_b_strict_best,mc,1,0.8981508092418597,0.9502416666666669,0.9803166965003477
J_1453__mode_b_strict_best_mc002,robust_valid,24.0,11.144262979960038,0.4643442908316682,120.0,50.34619597660078,0.19316392338917424,0.36487672577712715,37.48636146298394,0.22,0.49473905460909007,0.006645581882992165,1.532070079818368,90.36870668642223,11.009660347148554,2.5515908997002446,0.6171875,0.24283148368017438,14.821690507497749,0.6175704378124062,2.5254777893667,2.7961854117664577,0.18523416718339564,0.8928314836801744,0.7075973164967788,1.8943882380475692,4.615839646310796,0.014662238138749048,0.09534455069449337,0.9096822222635679,,,J_1453,mode_b_strict_best,mc,2,0.8981508092418597,0.9502416666666669,0.9803166965003477
J_1453__mode_b_strict_best_mc003,robust_valid,24.0,10.8,0.45,120.0,50.13718481583158,0.14886581955602707,0.39949380269194057,37.200324376566805,0.22,0.49473905460909007,0.00712288826080098,1.532070079818368,90.36870668642223,10.841394079693982,2.5616590818558196,0.6017534722222222,0.23213255093786334,14.452750024958728,0.6021979177066137,2.5259193469853725,2.8001199482964156,0.18544247556829466,0.8821325509378634,0.6966900753695687,1.7811368699555536,4.539811637792289,0.014972299821457206,0.09786059656957871,0.9016772824982489,,,J_1453,mode_b_strict_best,mc,3,0.8981508092418597,0.9502416666666669,0.9803166965003477
J_1453__mode_b_strict_best_mc004,robust_valid,24.0,10.8,0.45,120.0,52.19761748468567,0.5088130091422445,0.43433013768280115,39.93651634113481,0.22,0.49473905460909007,0.006655233018340791,1.532070079818368,90.36870668642223,10.53451872863059,2.5604934273254476,0.65765625,0.24799788062642292,15.78611958922159,0.657754982884233,2.581665273811895,2.8001199482964156,0.25644345754241393,0.8979978806264229,0.641554423084009,1.5534011512090413,4.539811637792289,0.02009706809271146,0.1509083145739165,0.9163360636511857,,,J_1453,mode_b_strict_best,mc,4,0.8981508092418597,0.9502416666666669,0.9803166965003477
J_1453__mode_b_strict_best_mc005,robust_valid,24.0,11.149238746255998,0.4645516144273332,120.0,54.95632204299764,0.24525676321638495,0.37446981479369734,39.60158404921872,0.22,0.49473905460909007,0.00739783868391739,1.532070079818368,90.36870668642223,10.899823969785254,2.551056908912199,0.6477083333333333,0.2601960202681528,15.555590431166962,0.6481496012986234,2.5441254495017174,2.797820198795912,0.22009450211536627,0.9101960202681528,0.6901015181527865,1.8112370689587536,4.6229706325925095,0.016798042725699718,0.11917397013543238,0.9258672107207226,,,J_1453,mode_b_strict_best,mc,5,0.8981508092418597,0.9502416666666669,0.9803166965003477
J_1453__mode_b_strict_best_mc006,robust_valid,24.0,10.8,0.45,120.0,50.01933182215731,0.42446271548576175,0.42582076433484606,39.69186523845394,0.20769698185135718,0.49473905460909007,0.006952712544385201,1.532070079818368,90.36870668642223,10.60820832593976,2.561350504489895,0.6241319444444444,0.2266411821214308,14.978662834416696,0.624110951434029,2.549349335488613,2.8001199482964156,0.22535346453682992,0.8766411821214308,0.6512877175846009,1.6099218526441035,4.539811637792289,0.017380150095832304,0.12937338819189292,0.897109401741473,,,J_1453,mode_b_strict_best,mc,6,0.8981508092418597,0.9502416666666669,0.9803166965003477
J_1453__mode_b_strict_best_mc007,robust_valid,24.0,10.8,0.45,120.0,54.44334478608569,0.16684937859189453,0.4067524811443686,37.82272363376112,0.22,0.49473905460909007,0.007545656388728233,1.532070079818368,90.36870668642223,10.863743253158997,2.5614278625627116,0.6190972222222222,0.2439430611966369,14.861510514918487,0.6192296047882703,2.5317390399847572,2.8001199482964156,0.2023704491300778,0.8939430611966369,0.6915726120665591,1.7436105390833792,4.539811637792289,0.016223747395583146,0.10918821467364505,0.9125927410733491,,,J_1453,mode_b_strict_best,mc,7,0.8981508092418597,0.9502416666666669,0.9803166965003477
J_1453__mode_b_strict_best_mc008,robust_valid,24.0,10.8,0.45,120.0,50.372070559739015,0.4943387154045885,0.4366389104731951,37.266558760289435,0.20863618961303715,0.49473905460909007,0.00647912677734265,1.532070079818368,90.36870668642223,10.754687917036545,2.555116975006002,0.6134895833333334,0.21712853462684822,14.7237287867574,0.613488699448225,2.541547138371717,2.8001199482964156,0.21392815859818867,0.8671285346268482,0.6532003760286595,1.6085983305605738,4.539811637792289,0.017496230216876955,0.12091375056416033,0.8879313633366838,,,J_1453,mode_b_strict_best,mc,8,0.8981508092418597,0.9502416666666669,0.9803166965003477
J_1453__mode_b_strict_best_mc009,robust_valid,24.0,10.8,0.45,120.0,52.04627535554532,0.3451331006499092,0.3671889910571206,37.15421288290079,0.22,0.49473905460909007,0.0073409115347506226,1.532070079818368,90.36870668642223,10.774696631495464,2.5585005720184695,0.6075520833333333,0.2416693912241824,14.58226511290558,0.6075943797043991,2.525626114109346,2.8001199482964156,0.17518073154360939,0.8916693912241824,0.7164886596805731,1.830737113852512,4.539811637792289,0.013756825553555178,0.08780806405316124,0.9089951291666166,,,J_1453,mode_b_strict_best,mc,9,0.8981508092418597,0.9502416666666669,0.9803166965003477
J_1453__mode_b_strict_best_mc010,robust_valid,24.0,10.812122744013365,0.4505051143338902,120.0,53.77643939019478,0.18690189928352963,0.4310627849087869,40.43331135014858,0.22,0.49473905460909007,0.0063922113720783795,1.532070079818368,90.36870668642223,10.521856525849543,2.5794869960661457,0.6525347222222222,0.2524483491701782,15.653503096851182,0.6522292957021326,2.5809310389989077,2.807640182780566,0.2508258359162963,0.9024483491701782,0.651622513253882,1.6453010419678216,4.553449655976607,0.019672148441804576,0.14710253461328088,0.9211109346239683,,,J_1453,mode_b_strict_best,mc,10,0.8981508092418597,0.9502416666666669,0.9803166965003477
