_id,label,pitch_nm,line_cd_nm,line_cd_ratio,domain_x_nm,dose_mJ_cm2,sigma_nm,DH_nm2_s,time_s,Hmax_mol_dm3,kdep_s_inv,Q0_mol_dm3,kq_s_inv,abs_len_nm,CD_locked_nm,LER_CD_locked_nm,area_frac,P_line_margin,CD_final_nm,CD_pitch_frac,LER_after_PEB_P_nm,LER_design_initial_nm,P_space_center_mean,P_line_center_mean,contrast,psd_locked_mid,psd_design_mid,H_min,P_min,P_max,prefilter_score,roughness_trigger,source_recipe_id,rank_surrogate,variation_idx,phase,yield_score_surrogate
A_4856__nom,robust_valid,24.0,12.48,0.52,120.0,56.541881969198585,0.5219200719147921,0.4308592199347913,31.574545060284436,0.19789295235648752,0.5405204690992832,0.021717926692217587,0.8034077300690114,50.0,12.310041595178475,2.5171925610446224,0.6380208333333334,0.20414685467382165,15.317540734264744,0.6382308639276977,2.5465105169293567,2.7701829575093893,0.20770885228848604,0.8541468546738217,0.6464380023853357,1.8167241502337887,4.586725975482864,0.01573566970905136,0.10849523309833303,0.8682084626186833,,,A_4856,1.0,0,nominal,0.9521500000000006
A_279__nom,robust_valid,24.0,12.48,0.52,120.0,53.85738447122276,0.5980408117175102,0.39193872986361383,31.485285474918783,0.2007675371039659,0.4750808044336736,0.007712785536423326,0.8387198289856315,50.0,12.400431793387648,2.515772530844478,0.6299305555555555,0.18912014000887245,15.114659179207331,0.6297774658003055,2.541946982024908,2.7701829575093893,0.1985614432876231,0.8391201400088725,0.6405586967212493,1.837553830741821,4.586725975482864,0.01816143037174578,0.10089609254298355,0.8525450522815872,,,A_279,2.0,0,nominal,0.9027166666666664
A_94__nom,robust_valid,24.0,12.48,0.52,120.0,55.04910111799836,0.82006567530334,0.4944622164592147,36.411108803004026,0.20230519387871027,0.4876966988667846,0.020931895365938542,1.7947755130007863,50.0,12.309755085451384,2.5064929602481545,0.6566666666666666,0.1944629336362319,15.759577651561107,0.6566490688150461,2.582368909710156,2.7701829575093893,0.24670386474539693,0.8444629336362319,0.597759068890835,1.4384466605702915,4.586725975482864,0.017185688306066885,0.13913655060414068,0.862136092705029,,,A_94,3.0,0,nominal,0.8953916666666665
A_1933__nom,robust_valid,24.0,12.48,0.52,120.0,53.29488435946405,0.26006496883928776,0.3814832053147256,33.28145917505026,0.17607268276624383,0.5074028577655554,0.021553762201219795,0.5759152085520327,50.0,12.510011184993578,2.53039650868489,0.5888020833333333,0.1597174030797709,14.126852815705334,0.5886188673210556,2.534005894551862,2.7701829575093893,0.16449993344361644,0.8097174030797709,0.6452174696361545,1.9840936544206116,4.586725975482864,0.012614806955779505,0.08188979654849396,0.8250079196165974,,,A_1933,4.0,0,nominal,0.8891666666666664
A_3686__nom,robust_valid,24.0,12.48,0.52,120.0,54.838243301957846,0.6158111561089754,0.358237224817276,31.887353332713246,0.2167640049289912,0.5679253607988357,0.022555042030289768,1.2688129567541182,50.0,12.402732206785915,2.5222894446354673,0.6493923611111111,0.24226087629899762,15.594815840699832,0.649783993362493,2.5421866492555116,2.7701829575093893,0.1749164155903537,0.8922608762989976,0.7173444607086439,1.973956797704003,4.586725975482864,0.01104164208863576,0.07788245308692837,0.9028510884873145,,,A_3686,5.0,0,nominal,0.8844773835442628
A_2660__nom,robust_valid,24.0,12.48,0.52,120.0,55.62852766737342,0.11125491186976433,0.5248686635866762,29.750298759900033,0.2011951678339392,0.6165286357514561,0.021653335634618995,1.711529969703406,50.0,12.557517642405154,2.519031972941315,0.6303993055555556,0.21293254449695054,15.131263870748006,0.6304693279478336,2.532488994191171,2.7701829575093893,0.2022863706421162,0.8629325444969506,0.6606461738548344,1.7725591911452643,4.586725975482864,0.013801609843809846,0.10636308346064263,0.8794741100031597,,,A_2660,6.0,0,nominal,0.8750083333333338
A_2002__nom,robust_valid,24.0,12.48,0.52,120.0,55.20945693645626,0.6254295045509934,0.48275244859978556,28.544243685901165,0.19362234549596907,0.4997185407206416,0.011035740869119763,1.7199379922822118,50.0,12.33857034204247,2.5085410312089644,0.6045486111111111,0.15497219746240665,14.515364252795171,0.6048068438664654,2.5317771406970873,2.7701829575093893,0.1894236331082832,0.8049721974624067,0.6155485643541234,1.7117974714476063,4.586725975482864,0.017425211801918358,0.09880429006424503,0.8212060871883973,,,A_2002,7.0,0,nominal,0.8735666666666668
A_3267__nom,robust_valid,24.0,12.48,0.52,120.0,58.803409977816045,0.3377859955653548,0.4950014308094978,24.956813529133797,0.19573678893037139,0.5399106982164085,0.00963913424871862,1.3746571112424135,50.0,12.276173779980919,2.520774538977798,0.5952777777777778,0.16188119143255053,14.285911616562112,0.5952463173567547,2.530630985963625,2.7701829575093893,0.16876914143481986,0.8118811914325506,0.6431120499977308,1.9060273945985695,4.586725975482864,0.016777937403009646,0.08329735707371828,0.8269539614834575,,,A_3267,8.0,0,nominal,0.8715833333333333
A_844__nom,robust_valid,24.0,12.48,0.52,120.0,49.072251761332154,0.04757462628185749,0.4373628657311201,32.016535364091396,0.19896537955850363,0.5305151860229671,0.01117321883328259,1.3491828618571162,50.0,12.497348160664956,2.5229069234005097,0.6157986111111111,0.19327110887468835,14.785065742183686,0.6160444059243203,2.5292231059779144,2.7701829575093893,0.19430047053748112,0.8432711088746884,0.6489706383372073,1.8656813053520196,4.586725975482864,0.015601764522605272,0.10167278987280413,0.8592199044338252,,,A_844,9.0,0,nominal,0.8701749999999995
A_838__nom,robust_valid,24.0,12.48,0.52,120.0,38.28480394463986,0.5765205323696136,0.41741227004677056,35.02380163874477,0.1904482499975711,0.5636970432475209,0.014769594781100749,1.0378799056634307,50.0,12.633947900758237,2.5155774330267806,0.6141145833333334,0.17127148184319896,14.744271957127904,0.6143446648803293,2.537055177747718,2.7701829575093893,0.20266258134916715,0.821271481843199,0.6186089004940318,1.7301777820426587,4.586725975482864,0.013427315783248331,0.10971334080513166,0.8378931556341076,,,A_838,10.0,0,nominal,0.8652666666666676
