_id,label,pitch_nm,line_cd_nm,line_cd_ratio,domain_x_nm,dose_mJ_cm2,sigma_nm,DH_nm2_s,time_s,Hmax_mol_dm3,kdep_s_inv,Q0_mol_dm3,kq_s_inv,abs_len_nm,CD_locked_nm,LER_CD_locked_nm,area_frac,P_line_margin,CD_final_nm,CD_pitch_frac,LER_after_PEB_P_nm,LER_design_initial_nm,P_space_center_mean,P_line_center_mean,contrast,psd_locked_mid,psd_design_mid,H_min,P_min,P_max,prefilter_score,roughness_trigger,source_recipe_id,role,phase,variation_idx,strict_score_surrogate,yield_score_surrogate
K_base__nom,robust_valid,24.0,12.48,0.52,120.0,52.676753897219896,0.6776348277926445,0.5002588990144432,29.275345294736326,0.1706448632106185,0.6455813481472432,0.019664063360542057,1.0673484671860933,50.0,12.48350499225868,2.510559542416033,0.6254861111111111,0.17582805281672076,15.00294885997412,0.6251228691655883,2.543871732676261,2.7701829575093893,0.21092197876191138,0.8258280528167208,0.6149060740548093,1.678824118948136,4.586725975482864,0.014277585070230994,0.11465923514166565,0.8419521970805947,,,K_base,baseline,nominal,0,0.6452632750603119,0.9998000000000001
K_lh_0656__nom,robust_valid,24.0,12.48,0.52,120.0,49.83992264369099,0.4243698156740987,0.4622120579840878,32.30668922345463,0.1768723489788533,0.6382615511364931,0.021560000328535618,1.3475844261192935,50.0,12.214009241370302,2.5168210213786706,0.6201736111111111,0.19181586403914785,14.890406866705405,0.6204336194460586,2.536260896119977,2.7701829575093893,0.19504887164370407,0.8418158640391479,0.6467669923954438,1.7798543390429775,4.586725975482864,0.01153606748661245,0.10243029851828547,0.8581528859241917,,,K_lh_0656,top,nominal,0,0.8604483210603597,0.9999
K_lh_1386__nom,robust_valid,24.0,12.48,0.52,120.0,49.270568068884636,0.4539025096831325,0.43323155419280757,33.54144525604987,0.17082109749932442,0.6288702714981415,0.015819017751416958,1.375137596812252,50.0,12.448600186791415,2.5172834446431556,0.6301388888888889,0.19801472975898338,15.12352403920948,0.6301468349670617,2.540504158166425,2.7701829575093893,0.20493830771269286,0.8480147297589834,0.6430764220462906,1.781960252083659,4.586725975482864,0.01242236955909436,0.1083445915494762,0.863511088941805,,,K_lh_1386,top,nominal,0,0.8433498229950587,0.998825
K_lh_1960__nom,robust_valid,24.0,12.48,0.52,120.0,47.98497431655325,0.4201796289661458,0.4576685619377626,32.14069564715881,0.16533105679379528,0.6431898510414341,0.015719844108758943,1.2384069602666261,50.0,12.376651719503625,2.5180074314236913,0.6160416666666667,0.17924002008297524,14.789536198789875,0.6162306749495782,2.5375456542240173,2.7701829575093893,0.20083145014834697,0.8292400200829753,0.6284085699346282,1.7744816203678855,4.586725975482864,0.012617063281681776,0.10791071835590349,0.845728228287839,,,K_lh_1960,top,nominal,0,0.8433136025266192,0.9868083333333342
K_lh_1456__nom,robust_valid,24.0,12.48,0.52,120.0,49.00436761937258,0.4926528786353777,0.4164331325619238,33.37537470348971,0.18604637661659137,0.6121621268275932,0.015506833757171212,1.161321148492616,50.0,12.259734511079934,2.5161644529709504,0.6485590277777777,0.21854991717678995,15.575218873924674,0.6489674530801948,2.54996459326888,2.7701829575093893,0.21635295277842612,0.86854991717679,0.6521969643983638,1.8010059539157457,4.586725975482864,0.013841616766700803,0.1135879075138902,0.8823658432839616,,,K_lh_1456,top,nominal,0,0.8394382545558781,0.9975833333333334
K_lh_0978__nom,robust_valid,24.0,12.48,0.52,120.0,48.562006907562775,0.5462510938177911,0.4152229958247815,32.84716917080843,0.16036792540226472,0.6471184939731186,0.015542091931757294,0.763621569844596,50.0,12.361357702591079,2.5168143329621553,0.6297569444444444,0.18963193328147288,15.114217595301664,0.6297590664709026,2.5439875552270252,2.7701829575093893,0.20789434511744548,0.8396319332814729,0.6317375881640275,1.7994715662608223,4.586725975482864,0.013045102182588017,0.11041768504039957,0.8542970625883691,,,K_lh_0978,top,nominal,0,0.8367351988249808,0.9884583333333338
K_lh_1138__nom,robust_valid,24.0,12.48,0.52,120.0,48.06403255546593,0.5430582899855315,0.5315305658506303,31.577309865290097,0.18182380829010267,0.6220577834117118,0.01936563745631538,0.9557420745960684,50.0,12.385643698750433,2.5168827687704862,0.6414409722222222,0.1853094880616496,15.406087453847277,0.6419203105769699,2.5672996358164992,2.7701829575093893,0.2449411795211766,0.8353094880616496,0.590368308540473,1.6034084453462463,4.586725975482864,0.016768746498494056,0.1435042015360379,0.852673047261368,,,K_lh_1138,top,nominal,0,0.8360531815076823,0.9861750000000006
K_lh_1558__nom,robust_valid,24.0,12.48,0.52,120.0,48.82441865609376,0.40994653582721907,0.4351183423867571,32.67626545059791,0.16890405554708865,0.642491875683548,0.017615819959891078,1.3528423215283487,50.0,12.522566491628027,2.5197638788027,0.6170659722222223,0.18935436701598674,14.81491453400317,0.6172881055834655,2.5348375034927337,2.7701829575093893,0.18998560747564663,0.8393543670159868,0.6493687595403401,1.8263021197188027,4.586725975482864,0.01130078742653204,0.09833553392005771,0.8551511990873968,,,K_lh_1558,top,nominal,0,0.8350533713725191,0.9948000000000001
K_lh_0843__nom,robust_valid,24.0,12.48,0.52,120.0,48.86217208983081,0.5020539355194582,0.43092809085844824,32.72399498875544,0.17444888321454627,0.6396369131826268,0.014364340647264724,0.8748069106458456,50.0,12.530210662126766,2.5175897345232934,0.6494270833333333,0.2108070656685449,15.59274228590015,0.6496975952458396,2.555933520017148,2.7701829575093893,0.22681141003040597,0.8608070656685449,0.633995655638139,1.776433256337293,4.586725975482864,0.01473759841903357,0.1228855618007293,0.8749710781772098,,,K_lh_0843,top,nominal,0,0.8343347318529162,0.9951500000000004
K_lh_1279__nom,robust_valid,24.0,12.48,0.52,120.0,48.26823195361078,0.5516826554632526,0.5530571710739056,33.252002672319335,0.1877014328104307,0.6147867286336962,0.015438538430318024,1.1683282988571655,50.0,12.265683346980747,2.520571545003364,0.6767534722222223,0.20642396444383804,16.246320092201074,0.6769300038417114,2.6291058573608312,2.7701829575093893,0.28581023014559687,0.8564239644438381,0.5706137342982411,1.5028224245190809,4.586725975482864,0.019610150671532094,0.1756206895648344,0.8735784542467766,,,K_lh_1279,top,nominal,0,0.8330533727244532,0.991875000000001
K_lh_1359__nom,robust_valid,24.0,12.48,0.52,120.0,49.361707609061696,0.42973798565349286,0.49702205851149567,31.841644378959824,0.173730735666123,0.6408250550271902,0.015614682570583049,1.094642749594873,50.0,12.514706726545,2.5183848211765527,0.6405381944444445,0.1945577254799924,15.378895152359217,0.6407872980149674,2.557260257726718,2.7701829575093893,0.23429241195919678,0.8445577254799924,0.6102653135207956,1.688378739357582,4.586725975482864,0.015582772036213218,0.13308488751431755,0.8610079174269241,,,K_lh_1359,top,nominal,0,0.828900403460598,0.9989083333333335
K_lh_0453__nom,robust_valid,24.0,12.48,0.52,120.0,49.146653733292034,0.5509128468614201,0.4918239655449655,33.33581236092047,0.17489897462056742,0.6421592000568233,0.025145250951676475,1.0511000161733368,50.0,12.29607075504307,2.515687031674918,0.63171875,0.18756127539699696,15.165380272552207,0.6318908446896753,2.5513506349536383,2.7701829575093893,0.2225402974599309,0.837561275396997,0.6150209779370661,1.6616998804826415,4.586725975482864,0.012862665807165826,0.1249972313602549,0.8547615911487492,,,K_lh_0453,top,nominal,0,0.8286856851524849,0.9835333333333341
K_lh_1733__nom,robust_valid,24.0,12.48,0.52,120.0,49.64380990860404,0.5755187015758183,0.5161646402212261,33.79370361470819,0.17654693716148348,0.6334975757568447,0.022677522178453837,1.3152064154772871,50.0,12.422442623412127,2.5158628341829328,0.6394444444444445,0.19025952070833685,15.351120160773252,0.6396300066988855,2.5612433837528905,2.7701829575093893,0.23450514409908166,0.8402595207083369,0.6057543766092552,1.5891836784433397,4.586725975482864,0.01361322109569981,0.13426280637403945,0.8581343444644982,,,K_lh_1733,top,nominal,0,0.8265832894068887,0.9964916666666674
K_lh_1061__nom,robust_valid,24.0,12.48,0.52,120.0,49.951159523344664,0.4479575747810537,0.4648514058333151,31.870191365797222,0.1748391706688731,0.63631432013317,0.02181862503793868,1.2510809903115498,50.0,12.447288830370555,2.517938768339825,0.6162152777777777,0.18487923768117964,14.79267200229549,0.6163613334289787,2.5361436828623365,2.7701829575093893,0.19366385286589968,0.8348792376811797,0.64121538481528,1.7835503555557684,4.586725975482864,0.011709783610569529,0.10205924980710017,0.8513408748702403,,,K_lh_1061,top,nominal,0,0.8246936774474258,0.9997916666666667
K_lh_0952__nom,robust_valid,24.0,12.48,0.52,120.0,57.91551254278919,0.39434084652616797,0.47281190838807874,33.51420817754053,0.15754878483855683,0.6397248631226041,0.01505685498545069,1.3303630352650522,50.0,12.615037169225804,2.5198302678047195,0.6416493055555555,0.19966504581217093,15.410068521213674,0.6420861883839031,2.5558639243977987,2.7701829575093893,0.23048506792266416,0.849665045812171,0.6191799778895068,1.7073659371722172,4.586725975482864,0.014298379277761817,0.12910953590869323,0.8658882557663535,,,K_lh_0952,top,nominal,0,0.8177899265595918,0.9687833333333338
K_lh_1682__nom,robust_valid,24.0,12.48,0.52,120.0,47.88666737770926,0.5881455881263963,0.551271687152635,32.73521853602184,0.17616139993780633,0.5977684394810167,0.01795611552271717,1.1903781497597659,50.0,12.403027681579875,2.5188627791959837,0.6318229166666667,0.16754793174953742,15.170668140404056,0.6321111725168357,2.5678526311059433,2.7701829575093893,0.246209647684044,0.8175479317495374,0.5713382840654935,1.5247942633254579,4.586725975482864,0.01671346269229457,0.1474142009806478,0.8365960404421734,,,K_lh_1682,top,nominal,0,0.8141557694210624,0.9803166666666672
K_lh_0894__nom,robust_valid,24.0,12.48,0.52,120.0,48.622504789160324,0.4684805148851703,0.4084153414250524,30.117941561311365,0.18403328820136522,0.5707432505585596,0.01487656912748057,1.0848453390289945,50.0,12.532716423070013,2.522840183733762,0.60265625,0.1739691835135917,14.466496680775455,0.6027706950323106,2.53325438003566,2.7701829575093893,0.16766973501003443,0.8239691835135917,0.6562994485035573,1.9258064277060996,4.586725975482864,0.012410455969418494,0.08156710242766116,0.8384260978171519,,,K_lh_0894,top,nominal,0,0.8121429761599026,0.9952083333333339
K_lh_0446__nom,robust_valid,24.0,12.48,0.52,120.0,49.81821114963231,0.6697641700417147,0.48708981557066744,33.11845425301049,0.17457851996975626,0.6406459758037116,0.015512532803420815,1.3506017671521393,50.0,12.533027503836092,2.5115339028380683,0.6593923611111111,0.2052200918674767,15.824889693995706,0.6593704039164877,2.576644130228141,2.7701829575093893,0.24868238693933145,0.8552200918674767,0.6065377049281453,1.59186673026046,4.586725975482864,0.015523668030385272,0.1417641821896076,0.8711162834522471,,,K_lh_0446,top,nominal,0,0.8106787265962129,0.9998250000000001
K_lh_0223__nom,robust_valid,24.0,12.48,0.52,120.0,48.37764632309795,0.41316756017545836,0.5065010691780042,33.59513384841037,0.18428324162444595,0.565888903407277,0.020182303395827342,0.959647974581725,50.0,12.444936370655679,2.5211018132583862,0.6270833333333333,0.17550648776969635,15.043710611504157,0.6268212754793399,2.5544556792258155,2.7701829575093893,0.23222163880289046,0.8255064877696964,0.5932848489668059,1.6468097463938292,4.586725975482864,0.01620695827409698,0.13520269153937595,0.8437067168639046,,,K_lh_0223,top,nominal,0,0.8104286356674562,0.9906833333333336
K_lh_1662__nom,robust_valid,24.0,12.48,0.52,120.0,50.69152789236868,0.5593847245673951,0.43053565664065896,31.506429597802132,0.17931180105854594,0.6291674301365617,0.01602560248224697,1.349487362423881,50.0,12.648485597469783,2.5160616677672896,0.6357118055555555,0.2049651527965196,15.255430421965338,0.6356429342485558,2.5413872484791065,2.7701829575093893,0.20051774991923824,0.8549651527965196,0.6544474028772814,1.8014128415675046,4.586725975482864,0.012817282396430369,0.1026997071076103,0.8692266298759025,,,K_lh_1662,top,nominal,0,0.8092777885296822,1.0
K_lh_1155__nom,robust_valid,24.0,12.48,0.52,120.0,49.297505833072215,0.40052370651232777,0.5906243752312335,32.434553775812894,0.18444265123718084,0.6000640368123679,0.02136926277148352,0.9037510285702293,50.0,12.309615144198483,2.5279255960416824,0.6460590277777778,0.17964842317624086,15.520521344290234,0.6466883893454264,2.5924219057288895,2.7701829575093893,0.2677805419107609,0.8296484231762409,0.56186788126548,1.5316538561269613,4.586725975482864,0.018827866362076274,0.16620360707938978,0.848844401325585,,,K_lh_1155,top,nominal,0,0.8081881194144885,0.9799666666666668
K_lh_0165__nom,robust_valid,24.0,12.48,0.52,120.0,47.802528696089325,0.631004388711707,0.5265794738813159,31.780005501697822,0.1810965825243618,0.6279893526924183,0.01943833196744552,1.3717299741099962,50.0,12.252798219899399,2.511233161441982,0.6348611111111111,0.1827246795259574,15.240794581726107,0.6350331075719211,2.556052145256195,2.7701829575093893,0.23075713700349532,0.8327246795259574,0.6019675425224621,1.5768951298819467,4.586725975482864,0.01476280440936177,0.13133771094826935,0.8504368810741508,,,K_lh_0165,top,nominal,0,0.8072678809765621,0.9854333333333333
K_lh_1922__nom,robust_valid,24.0,12.48,0.52,120.0,49.430745067890115,0.49556772055523507,0.4133172105569243,31.586083540600455,0.18580724165521245,0.5775405516205525,0.020173488155938328,1.1517874339996865,50.0,12.345903237253427,2.5197235263195497,0.6085590277777778,0.1823864327939232,14.611915952003434,0.6088298313334765,2.5332687782667183,2.7701829575093893,0.17277821917102928,0.8323864327939232,0.6596082136228939,1.8841960861363538,4.586725975482864,0.011543636552086615,0.08529549336248626,0.847333393475114,,,K_lh_1922,top,nominal,0,0.8068524773869864,0.9990000000000003
