recipe_id,rank_strict,strict_score_06g,yield_score_06g,p_robust_valid_06g,mean_cd_fixed_06g,mean_ler_locked_06g,mean_p_line_margin_06g,fd_label,FD_CD_final_nm,FD_CD_locked_nm,FD_LER_CD_locked_nm,FD_area_frac,FD_P_line_margin,FD_contrast,FD_psd_locked_mid,FD_CD_error_nm,yield_score_fd_nominal,strict_score_fd_nominal,FD_pass_strict,dose_mJ_cm2,sigma_nm,DH_nm2_s,time_s,Hmax_mol_dm3,kdep_s_inv,Q0_mol_dm3,kq_s_inv,line_cd_ratio
G_3691,1,0.7712882024965764,0.9909500000000024,0.9958500000000025,14.67235644718304,2.5395883186197286,0.17437234374506627,robust_valid,15.629857444992311,12.249096160085799,2.521759482324201,0.6509548611111111,0.22066422852000522,0.6394277423603616,1.8043325402869546,0.6298574449923109,1.0,0.6655937221530687,False,59.27794052939862,0.19737313874065876,0.48414958752691745,30.64856923185289,0.18177000988274813,0.6312138759531081,0.017799156624823807,0.9048012448474765,0.52
G_1500,2,0.7650266250777417,0.9954500000000012,0.9980166666666678,14.702071529791061,2.5373358119758045,0.17312579158105598,robust_valid,15.574173168998474,12.422067521883182,2.514399109223191,0.6485243055555555,0.22217485887999633,0.6789951510080338,1.857223076675036,0.5741731689984739,1.0,0.8330242077245773,False,59.61064776778221,0.6692313132807612,0.3649552927352488,33.2558043114841,0.17694425912573933,0.5755714560858906,0.012893415167927741,1.6178962769918144,0.52
G_4867,3,0.744115080370199,0.9538499999999983,0.9832333333333316,14.497590653526062,2.535144012913744,0.16228540927967888,robust_valid,15.00294885997412,12.48350499225868,2.510559542416033,0.6254861111111111,0.17582805281672076,0.6149060740548093,1.678824118948136,0.0029488599741203103,1.0,1.0439570132041802,True,52.676753897219896,0.6776348277926445,0.5002588990144432,29.275345294736326,0.1706448632106185,0.6455813481472432,0.019664063360542057,1.0673484671860933,0.52
G_3185,4,0.7367785111141446,0.9544166666666674,0.9820166666666674,14.690764913233988,2.541714016699912,0.1743424589070509,robust_valid,16.01154852478405,12.598548538641632,2.50519328108185,0.6677083333333333,0.21899561114324229,0.6449485540931874,1.716301174269033,1.0115485247840503,0.9884514752159497,-0.4798966715663404,False,54.13421825878322,0.9893885711207986,0.35959234619513153,34.245778415352106,0.16786820678040384,0.6302088879980148,0.02199883854947984,0.6212781914509833,0.52
G_1226,5,0.7363568021215621,0.9996500000000001,0.9998833333333335,15.516171123538001,2.535420141488495,0.21511723010374995,robust_valid,15.762255253396367,12.336879119711556,2.5133638187161247,0.6566145833333333,0.23203934824878047,0.6921554424914763,1.881504118285802,0.7622552533963667,1.0,0.27124407687309504,False,53.86767695378512,0.7991772992536426,0.33591859573498367,33.01915261428803,0.21817502029240132,0.4995112420059741,0.013306531207635999,1.3187890541739762,0.52
G_1679,6,0.7280005609143199,0.9261250000000005,0.9614000000000005,15.020730523833127,2.5416361252226056,0.17095589400086053,robust_valid,15.44453455000866,12.388097973958127,2.513573377950679,0.6429513888888889,0.20862518168318145,0.6412944152412511,1.6663986556931563,0.44453455000865993,1.0,1.0521562954207955,True,53.04285152815282,0.6175816683098674,0.4185003099963069,39.61149072740227,0.17210849289782346,0.5973837855271995,0.027088020052760838,1.238976410124451,0.52
G_3366,7,0.7067064085465492,0.9811250000000016,0.9929166666666682,15.504900819918904,2.537538172584018,0.20934263326941757,robust_valid,15.824293258681845,12.298194079962824,2.5170657629554682,0.6590104166666667,0.2474666512144741,0.726723861209013,1.9567057527140037,0.8242932586818448,1.0,0.0889868867580842,False,49.695911639370024,0.8923498978838325,0.33149425657466053,30.056207608431578,0.21137582533061505,0.6334934700280428,0.017279921416193247,1.4183912025764585,0.52
G_715,8,0.7013104203929961,0.99995,0.9999833333333333,14.511820872206776,2.537254990122144,0.1825564212347998,robust_valid,14.951426754334392,12.536096388438626,2.5093765406102233,0.6234722222222222,0.17621553293701842,0.6404684927493443,1.7984347850145084,0.048573245665608056,1.0,1.0440538832342545,True,53.13488420192152,0.8119138386100531,0.4316944188438356,26.48560533300042,0.20470118842087687,0.5199363170191645,0.006908052619546651,1.1299748960882425,0.52
G_1096,9,0.6990312374985798,0.9407333333333343,0.9743000000000009,15.47221832928494,2.5514944318892763,0.1678266425871885,robust_valid,15.122597148840944,12.364785451330336,2.522261038653208,0.6300694444444445,0.19503621537005422,0.6272882461756972,1.718957350809284,0.12259714884094386,1.0,1.0487590538425136,True,54.77498465683311,0.2990975473076105,0.3910854572430253,43.31817008089274,0.1618718133959919,0.519607218913734,0.01730798020027578,1.4007178884930909,0.52
G_1553,10,0.6897324852945307,0.8847249999999994,0.9574666666666662,14.552898264109196,2.5415354090171474,0.15650570942848316,robust_valid,14.63773173003133,12.200058151003518,2.5013368198198727,0.6102256944444444,0.14082576488982002,0.5752796336214241,1.5253653463793329,0.3622682699686699,1.0,1.035206441222455,True,55.33272649627179,0.8260480631142855,0.6297292487695814,24.14402368478477,0.17299987352453172,0.6490463101305068,0.014940116945654154,1.3684112299233675,0.52
G_3521,11,0.68707289012927,0.9936750000000013,0.997316666666668,14.769042056342636,2.5394746495389042,0.19610366797103473,robust_valid,16.405369918174692,12.335436676876387,2.5067067772987444,0.6830729166666667,0.2411755044877848,0.6476706093249605,1.7236523193370068,1.4053699181746921,0.5946300818253079,-1.6558158784021302,False,55.578329463489354,0.7054919404909015,0.5026414149440825,25.733013339340687,0.21830558368936182,0.6405440014787018,0.010224496582522988,1.5059860050678253,0.52
G_12,12,0.6814970565156633,0.9739583333333346,0.9898833333333346,15.244767658908227,2.5329037630020905,0.1812092987681353,robust_valid,17.083972720974067,12.407660057260726,2.488472062351388,0.71171875,0.23086457004351812,0.5941879103021925,1.4367007590017273,2.0839727209740673,-0.08397272097406727,-3.694202020411322,False,54.67347263172269,1.2245240723714232,0.45896324021741747,29.81324869208038,0.19914712610654534,0.5968339773826301,0.009187169959768652,1.321106232702732,0.52
G_2699,13,0.6787353801667958,0.9568333333333336,0.983916666666667,15.425565225772136,2.542227628397638,0.19224954436388042,robust_valid,16.84996394019582,12.279052859884548,2.5318574050499656,0.7019791666666667,0.22235900574900636,0.5526928696004281,1.5300909756700176,1.8499639401958206,0.15003605980417944,-2.9943020691502102,False,49.572847441770136,0.12272468581795692,0.5828643824905158,32.865665555000305,0.20229601241648199,0.5803779413923621,0.009248145008459687,0.8495554770343006,0.52
G_1163,14,0.6779297467790131,0.9664500000000018,0.9884000000000018,15.168430524121222,2.5412402598637307,0.19455597928793764,robust_valid,15.655445170794795,12.499750732307886,2.524176163314066,0.6521701388888889,0.22909960026138265,0.6693326276684914,1.9324749753991248,0.6554451707947955,1.0,0.5909393876809592,False,44.20521835517138,0.39055242855101824,0.3935302157886326,31.000253353267908,0.20349605422466993,0.6107894139364363,0.008296383926644921,0.8209384735673666,0.52
