_id,label,pitch_nm,line_cd_nm,line_cd_ratio,domain_x_nm,dose_mJ_cm2,sigma_nm,DH_nm2_s,time_s,Hmax_mol_dm3,kdep_s_inv,Q0_mol_dm3,kq_s_inv,abs_len_nm,CD_locked_nm,LER_CD_locked_nm,area_frac,P_line_margin,CD_final_nm,CD_pitch_frac,LER_after_PEB_P_nm,LER_design_initial_nm,P_space_center_mean,P_line_center_mean,contrast,psd_locked_mid,H_min,P_min,P_max,prefilter_score
8889,robust_valid,24,10.8,0.45,120.0,43.67910854425281,0.3247801708057523,0.4063955849967897,35.92107464093715,0.15209400373511014,0.5884287294931709,0.017927388735115526,0.7695128754712641,54.834476043470204,10.672313400835208,2.564578458369149,0.5056944444444444,0.11963704195813818,12.13729306007781,0.5057205441699087,2.5502164582041433,2.8001199482964156,0.127704334887837,0.7696370419581382,0.6419327070703011,1.8324822748434921,0.008171370870016865,0.06590388070736644,0.7953816253336613,0.9998925621499368
2163,robust_valid,32,14.4,0.45,160.0,46.04161003790796,1.0068160481750965,0.75838085655123,34.227599021978676,0.15861493772827087,0.5574182193726301,0.0009556393045932055,1.8123876112513244,96.90060424152762,14.351558097781474,2.339050558972681,0.5601432291666667,0.15340713353358126,17.91934865891477,0.5599796455910866,2.3231592858069696,2.777139811468949,0.17282461158580198,0.8034071335335813,0.6305825219477793,0.8805306867184786,0.016334971004445836,0.11871366695503692,0.8194294815912826,0.9998750669151188
57,robust_valid,24,10.8,0.45,120.0,29.129834390245378,0.3164787283167243,0.3605326513759792,40.52025934681296,0.16989660513587296,0.5942438284866511,0.00956599839963019,1.2113345307298005,67.5758962938562,10.699779276211126,2.564453218148834,0.5063194444444444,0.12284905057512363,12.152493069506846,0.5063538778961186,2.548444452015884,2.8001199482964156,0.1272928156825156,0.7728490505751237,0.645556234892608,1.8276414841663216,0.007254324311228493,0.06540794267831561,0.7989259609059222,0.9998292437214236
9351,robust_valid,28,12.6,0.45,140.0,57.49018376972526,1.1916306288912892,0.6790249335579575,29.290445456281304,0.21381146530620754,0.4660525931045413,0.005848525436595082,1.1978770764544606,66.48989691399038,12.40757161900942,2.4079281079937163,0.5911160714285715,0.17367302518340744,16.54742645504874,0.5909795162517407,2.4086589695155283,2.7751431839943566,0.1934066286416891,0.8236730251834075,0.6302663965417183,1.0626916704734426,0.02295177953660824,0.1220616650463722,0.8414152296257327,0.9998091001970026
9639,robust_valid,28,12.6,0.45,140.0,59.340254922397435,2.5586849246174097,0.5260867324657739,37.86069357767701,0.16522142831236122,0.6370833014138043,0.020289533520117402,0.6392246717587113,62.376080197282135,12.669954946261985,2.344366012007426,0.7241666666666666,0.23255385232809234,20.273559314346805,0.7240556897981002,2.568689969561172,2.7751431839943566,0.31591226690658775,0.8825538523280924,0.5666415854215046,0.5911886555878364,0.0178045875549064,0.21274347444812705,0.8970068335329991,0.9996829218464709
8583,robust_valid,28,12.6,0.45,140.0,39.66761776059866,0.8442015247419477,0.5698093848302961,34.97733565047383,0.19585299939848483,0.605780149716884,0.02776695728302002,1.7300196615979075,22.214804510585964,12.679882871301398,2.4443210612497404,0.5200892857142857,0.15336884097062764,14.561069366766365,0.5200381916702274,2.4329862454879576,2.7751431839943566,0.10067228635284292,0.8033688409706277,0.7026965546177848,1.354079374808082,0.005737635744298709,0.05525376675561427,0.8247240681363825,0.9996290899771954
2039,robust_valid,28,12.6,0.45,140.0,56.67675899807364,1.5802370477467775,0.45753680234774946,43.585951584391296,0.21314533325843513,0.43676801016554234,0.018550568763166665,1.687404837924987,35.06225031334907,12.704038209115023,2.3905420792161256,0.6316666666666667,0.22907489431617933,17.696090485621824,0.6320032316293508,2.4042266446393237,2.7751431839943566,0.18693787075061857,0.8790748943161794,0.6921370235655608,0.976515274125398,0.013059175972890526,0.10859425544997618,0.8942954292363103,0.9995780593689105
3587,robust_valid,32,14.4,0.45,160.0,34.51843755505979,0.5248295394703746,0.7103585863485933,36.69886459130794,0.1792175888083875,0.5326017118990422,0.022922284305095672,1.4748047832399607,55.14800996519625,14.317069180880162,2.3857483570491893,0.4574479166666667,0.07269608599748356,14.632163667864777,0.4572551146207743,2.3847198534736287,2.777139811468949,0.08515254286855704,0.7226960859974836,0.6375435431289266,1.161486024894431,0.0061778361200072,0.053580100793887225,0.7426511910915838,0.999503583761475
4899,robust_valid,32,14.4,0.45,160.0,35.61286859214306,2.5340985506772995,0.6790316861122847,38.42544092796743,0.2199070939887315,0.40878274207934734,0.0217091391608119,1.7887968425638974,71.11638568341732,14.567517691378544,2.260230750727154,0.5004166666666666,0.07793743254485341,16.007961970479634,0.5002488115774886,2.2557438003926356,2.777139811468949,0.12987348847825378,0.7279374325448534,0.5980639440665997,0.46468486497766043,0.010212866097941524,0.08391574054091765,0.7490352764432808,0.9994281054422476
7659,robust_valid,32,14.4,0.45,160.0,27.416410580277443,0.04953682702034712,0.6468493265099824,39.73194018937647,0.18888080158270895,0.5679117033258081,0.02803527032956481,0.6899294666945934,65.84646026138216,14.336801837166814,2.4018943749168047,0.46815104166666666,0.08770987456318624,14.978130032547691,0.46806656351711534,2.397565035986771,2.777139811468949,0.09778658391574352,0.7377098745631863,0.6399232906474428,1.2742769220881394,0.006603702878431356,0.063131918010146,0.756668949019687,0.9992679893892796
