mode,recipe_id,yield_score,p_robust_valid,p_margin_risk,p_roughness_degraded,p_under_exposed,p_merged,p_numerical_invalid,cd_error_penalty,ler_penalty,mean_cd_fixed,std_cd_fixed,mean_cd_locked,std_cd_locked,mean_ler_locked,std_ler_locked,mean_area_frac,std_area_frac,mean_p_line_margin,std_p_line_margin,pitch_nm,line_cd_ratio,dose_mJ_cm2,sigma_nm,DH_nm2_s,time_s,Hmax_mol_dm3,kdep_s_inv,Q0_mol_dm3,kq_s_inv,abs_len_nm
fixed_design,A_4856,0.9521500000000006,0.9788166666666672,0.009983333333333339,0.001449999999999999,0.0027000000000000006,0.007050000000000004,0.0,0.0,0.0,15.618163040674974,1.2488528825704572,12.486663085773252,0.387214034841873,2.5160009900577593,0.03076062856687015,0.6371203608217594,0.027123142541622073,0.1379359709808775,0.028746491061268902,24.0,0.52,56.541881969198585,0.5219200719147921,0.4308592199347913,31.574545060284436,0.19789295235648752,0.5405204690992832,0.021717926692217587,0.8034077300690114,50.0
fixed_design,A_279,0.9027166666666664,0.9617166666666662,0.010649999999999993,0.0033166666666666696,0.002766666666666667,0.0214833333333333,6.666666666666667e-05,0.0,0.0,15.89047910798462,1.4064664598850087,12.401781693028589,0.3961949577477136,2.5247497940582386,0.027305599923614778,0.6339340361689813,0.051419588836327856,0.12841084234394362,0.05309185149777337,24.0,0.52,53.85738447122276,0.5980408117175102,0.39193872986361383,31.485285474918783,0.2007675371039659,0.4750808044336736,0.007712785536423326,0.8387198289856315,50.0
fixed_design,A_94,0.8953916666666665,0.9565499999999999,0.016749999999999977,0.0015999999999999994,0.011083333333333327,0.013833333333333349,0.00018333333333333334,0.0,0.0,15.8358031707759,1.3436120138319687,12.422054019767318,0.3909765147590823,2.538653005050297,0.050777358091243584,0.6388181090856485,0.07517515250131315,0.12929898000556203,0.040033143241047495,24.0,0.52,55.04910111799836,0.82006567530334,0.4944622164592147,36.411108803004026,0.20230519387871027,0.4876966988667846,0.020931895365938542,1.7947755130007863,50.0
fixed_design,A_1933,0.8891666666666664,0.9533666666666666,0.018583333333333323,0.002816666666666668,0.012049999999999995,0.012966666666666677,0.00021666666666666668,0.0,0.0,14.889937110586711,1.3019959169486754,12.405673730504258,0.3802626852714212,2.522576253552011,0.022160871607553357,0.6022233451967597,0.026637549741591538,0.10680701239259523,0.03138619925731316,24.0,0.52,53.29488435946405,0.26006496883928776,0.3814832053147256,33.28145917505026,0.17607268276624383,0.5074028577655554,0.021553762201219795,0.5759152085520327,50.0
fixed_design,A_3686,0.8844773835442628,0.9496833333333323,0.028583333333333325,0.001333333333333332,0.006366666666666674,0.014033333333333358,0.0,0.00811428312240281,0.0,16.008114283122403,1.4748649794670865,12.484904265834789,0.4105030929116206,2.5298854997344566,0.044726989387079974,0.6642750358796298,0.03479390225678184,0.14111867274168166,0.030939810358581128,24.0,0.52,54.838243301957846,0.6158111561089754,0.358237224817276,31.887353332713246,0.2167640049289912,0.5679253607988357,0.022555042030289768,1.2688129567541182,50.0
fixed_design,A_2660,0.8750083333333338,0.9417666666666671,0.03234999999999998,0.002633333333333335,0.00966666666666667,0.013450000000000017,0.00013333333333333334,0.0,0.0,15.66801344649585,1.678907277484245,12.453919528055817,0.36352909310903436,2.593128080144319,0.0339003453783799,0.7013255972222221,0.020782670155719992,0.15628510294357992,0.014040135917632736,24.0,0.52,55.62852766737342,0.11125491186976433,0.5248686635866762,29.750298759900033,0.2011951678339392,0.6165286357514561,0.021653335634618995,1.711529969703406,50.0
fixed_design,A_2002,0.8735666666666668,0.9461833333333335,0.01959999999999999,0.011233333333333338,0.005283333333333334,0.01769999999999999,0.0,0.0,0.0,15.792568858326181,1.4640807990913691,12.417838878433704,0.37779481862428155,2.5243769927298643,0.026533528999829664,0.628591627604167,0.03546593213827275,0.1325410366653234,0.04439036104334782,24.0,0.52,55.20945693645626,0.6254295045509934,0.48275244859978556,28.544243685901165,0.19362234549596907,0.4997185407206416,0.011035740869119763,1.7199379922822118,50.0
fixed_design,A_3267,0.8715833333333333,0.9502666666666666,0.0111,0.008533333333333337,0.0037666666666666647,0.026199999999999987,0.00013333333333333334,0.0,0.0,15.356879714100362,1.467518691130585,12.421023501815121,0.39535329661835683,2.524862570264321,0.02836343352732753,0.6405036464120372,0.0337860945185116,0.13937921029695638,0.03451611377650898,24.0,0.52,58.803409977816045,0.3377859955653548,0.4950014308094978,24.956813529133797,0.19573678893037139,0.5399106982164085,0.00963913424871862,1.3746571112424135,50.0
fixed_design,A_844,0.8701749999999995,0.9408499999999995,0.03036666666666665,0.004149999999999999,0.006883333333333341,0.01774999999999999,0.0,0.0,0.0,15.888212704962184,1.5046985409143516,12.40003785869176,0.37260791445589664,2.525619094782537,0.025066806189633983,0.6395354988425926,0.033009835289035394,0.1370457734589971,0.03243079562774854,24.0,0.52,49.072251761332154,0.04757462628185749,0.4373628657311201,32.016535364091396,0.19896537955850363,0.5305151860229671,0.01117321883328259,1.3491828618571162,50.0
fixed_design,A_838,0.8652666666666676,0.937900000000001,0.03286666666666669,0.004533333333333337,0.008833333333333335,0.01586666666666666,0.0,0.0,0.0,14.849814881223715,1.4874469905713854,12.431056337566938,0.4219120299389212,2.52941605557381,0.036348698075558274,0.613606322627315,0.03412964614580342,0.10453407456465819,0.02474593322562247,24.0,0.52,38.28480394463986,0.5765205323696136,0.41741227004677056,35.02380163874477,0.1904482499975711,0.5636970432475209,0.014769594781100749,1.0378799056634307,50.0
