recipe_id,rank_strict,strict_score,yield_score,strict_pass_prob_proxy,p_robust_valid,p_margin_risk,p_under_exposed,p_merged,p_roughness_degraded,p_numerical_invalid,mean_cd_fixed,std_cd_fixed,mean_cd_error,mean_cd_locked,std_cd_locked,mean_ler_locked,std_ler_locked,mean_p_line_margin,std_p_line_margin,balanced_score_06j,geometry_distance_to_modeA,strict_cd_pen,strict_ler_pen,strict_cd_std_pen,strict_ler_std_pen,strict_margin_bonus,cd_error_penalty,ler_penalty,pitch_nm,line_cd_ratio,dose_mJ_cm2,sigma_nm,DH_nm2_s,time_s,Hmax_mol_dm3,kdep_s_inv,Q0_mol_dm3,kq_s_inv,abs_len_nm,mean_area_frac,std_area_frac
J_1453,1,0.8981508092418597,0.9502416666666669,0.9803166965003477,0.9804666666666669,0.005550000000000004,0.004499999999999995,0.008450000000000006,0.001033333333333332,0.0,14.855311466368812,0.09841773254126401,0.1446885336311876,10.686031793714106,0.006964915520553555,2.545349260112043,0.001980589343090923,0.18926867915200973,0.002674716603784769,-4.766565502498052,0.46666666666666684,0.0,0.0,0.19683546508252803,0.001980589343090923,0.18926867915200973,0.0,0.0,24.0,0.45,52.48814922384918,0.34199510235339403,0.40357725620269774,38.63432072568685,0.21585012060590086,0.49473905460909007,0.00692776383832097,1.532070079818368,90.36870668642223,0.607066930121528,0.004765755415715248
J_3413,2,0.8415704890152449,0.9565000000000007,0.9465652190079192,0.9800500000000006,0.010250000000000006,0.004533333333333331,0.003216666666666666,0.0019500000000000012,0.0,14.792841042377434,0.16064775352985242,0.20715895762256586,12.559991439455287,0.01768854369683386,2.4425471840483475,0.0022827726805222494,0.18743851554143098,0.0051537538121826255,-4.743953989097353,0.5471840922751706,0.0,0.0,0.32129550705970483,0.0022827726805222494,0.18743851554143098,0.0,0.0,28.0,0.45,54.25802861060947,0.18963659182190895,0.6108089515008033,32.69826397765428,0.1732291967049241,0.5954775451682508,0.006451839068904519,0.7088749594986439,73.21205128915608,0.5953934914434525,0.008447253931893245
J_3097,3,0.8123425854487579,0.9335416666666668,0.7716323066076656,0.9672666666666668,0.020599999999999983,0.008916666666666675,0.0015333333333333332,0.001683333333333332,0.0,15.36246162374297,0.16499433242259764,0.36246162374296986,12.61781164005805,0.013955593021885399,2.454643559535967,0.004511957210424448,0.18420491923960394,0.005568983593449751,-4.573599592002562,0.5471840922751706,0.0,0.0,0.3299886648451953,0.004511957210424448,0.18420491923960394,0.0,0.0,28.0,0.45,55.20931324828416,0.3358887014910579,0.4607528324238956,34.29629251360893,0.19076959015801548,0.5560683809220791,0.025271243015304208,1.6389677990227938,27.12440658826381,0.5549003229166669,0.00625885767240586
J_1603,4,0.804682592476153,0.8953416666666674,0.9584230006383319,0.9588833333333341,0.011650000000000011,0.01204999999999999,0.014983333333333335,0.002433333333333338,0.0,14.930767789580555,0.13031318097477307,0.06923221041944494,10.79516989866544,0.0167758307797752,2.576392206360717,0.013614101131307135,0.18584462939964919,0.009604379616895836,-4.452509924747177,0.46666666666666684,0.0,0.0,0.26062636194954614,0.013614101131307135,0.18584462939964919,0.0,0.0,24.0,0.45,49.671109666116536,0.20341934636235237,0.585356367006898,37.500420194119215,0.20327750555239618,0.6180648648180067,0.017489912817254663,1.6473220740444958,84.63056175969541,0.626503584201389,0.02274781235809867
J_2780,5,0.7885934517988519,0.9226083333333337,0.8223422649102222,0.9678833333333337,0.011849999999999986,0.0071333333333333275,0.010766666666666667,0.0023666666666666723,0.0,14.682316141776159,0.17617584866101849,0.31768385822384104,12.403546322242828,0.30072528840421,2.54548807993688,0.018678547691278146,0.2060009638887031,0.006122058980182646,-4.532638464583413,0.0,0.0,0.0,0.35235169732203697,0.018678547691278146,0.2060009638887031,0.0,0.0,24.0,0.52,51.142227636650205,0.2961369641125202,0.30267869839444755,37.42677637375891,0.19964606017805636,0.570398694742471,0.02265207951888442,0.5530166327953339,26.523145218379796,0.6314480199652777,0.013648897733384074
J_4013,6,0.7820022438197392,0.8915750000000002,0.5530916716228162,0.9472166666666669,0.03245,0.015683333333333313,0.0020500000000000006,0.002566666666666668,3.3333333333333335e-05,14.530536550886222,0.1440995130212999,0.46946344911377835,10.727203404003943,0.019395432829844902,2.5311023036018185,0.0043844609763585216,0.1468759493168725,0.011644396090156552,-3.906206218310954,0.46666666666666684,0.0,0.0,0.2881990260425998,0.0043844609763585216,0.1468759493168725,0.0,0.0,24.0,0.45,40.807860262691975,1.1980212461203337,0.30710686156526207,33.85420311708003,0.20116724454797805,0.5582197852432728,0.016230081310495734,1.1962148416787386,96.01444595493376,0.5651737317708333,0.013566851500166174
J_4793,7,0.7704067832677522,0.8768250000000007,0.3242051162251217,0.9441333333333342,0.02765,0.01635000000000001,0.005966666666666675,0.005900000000000001,0.0,14.471492655129177,0.07069729212631183,0.5285073448708228,12.62795575913039,0.009277998053217338,2.4598449910598252,0.0012482662840095438,0.20170097259414696,0.005576820853291458,-5.003820053112583,0.5471840922751706,0.0570146897416457,0.0,0.14139458425262366,0.0012482662840095438,0.20170097259414696,0.0,0.0,28.0,0.45,58.78397037740797,0.09168760478496552,0.3509858881123364,38.66186414845288,0.17470966765657067,0.6255642804317176,0.018038093699142336,1.903185164090246,76.92620038520545,0.5724453225446426,0.005618011709482545
J_1717,8,0.7145959810545208,0.9026666666666663,0.9224084159680187,0.9454499999999997,0.043966666666666626,0.009316666666666678,0.0005333333333333329,0.0007333333333333327,0.0,15.017253234566951,0.2214311466614681,0.017253234566950937,12.57021307825604,0.012410980299602097,2.43854591233406,0.004601649492650633,0.1426451431825918,0.004057037750704195,-4.007971286146439,0.5471840922751706,0.0,0.0,0.4428622933229362,0.004601649492650633,0.1426451431825918,0.0,0.0,28.0,0.45,37.86264035850763,0.9991807322949171,0.42823082087561487,32.97462359070778,0.21115490527823566,0.5507289295084774,0.017427831385284663,0.7525441497564316,80.94252660404891,0.5285143664434527,0.004682553615803778
J_2933,9,0.6938541602237882,0.7576000000000004,0.8943951483640608,0.8944000000000003,0.049416666666666643,0.04586666666666667,0.009766666666666672,0.0005499999999999996,0.0,15.033825311051064,0.10574174800837,0.03382531105106423,12.598900935584751,0.0020740927835735776,2.4449420456506714,0.0013694174357358514,0.170722467800103,0.0018943475328086219,-4.64406215171952,0.5471840922751706,0.0,0.0,0.21148349601674,0.0013694174357358514,0.170722467800103,0.0,0.0,28.0,0.45,58.687789524905384,0.33374173287302256,0.3321890031918883,30.72632148861885,0.1536402834020555,0.4609891513362527,0.00212391153909266,1.1022598426789045,78.89835243113339,0.565861210565476,0.0021754063886933192
J_1785,10,0.683414479325329,0.9371999999999999,0.8170495284875179,0.9703999999999999,0.017133333333333316,0.0072833333333333404,0.004583333333333333,0.0005999999999999996,0.0,14.807915649810207,0.2952429987364505,0.19208435018979308,13.803851159624456,0.9023962992504035,2.4436268952994213,0.005193862084832388,0.17621763641678292,0.005988516858660203,-4.182881340857692,0.28571428571428575,0.0,0.0,0.590485997472901,0.005193862084832388,0.17621763641678292,0.0,0.0,28.0,0.52,43.58954301383346,0.4863320142030716,0.34905219841748475,33.202678062953055,0.17627769674174487,0.5365379111841321,0.005721099665388465,1.5111720715649426,25.56224969215691,0.6120760607018846,0.03589070775619024
