recipe_id,rank_strict,strict_score,yield_score,p_robust_valid,p_margin_risk,p_under_exposed,p_merged,p_roughness_degraded,p_numerical_invalid,mean_cd_fixed,std_cd_fixed,mean_cd_locked,std_cd_locked,mean_ler_locked,std_ler_locked,mean_area_frac,std_area_frac,mean_p_line_margin,std_p_line_margin,strict_cd_pen,strict_ler_pen,strict_cd_std_pen,strict_ler_std_pen,strict_margin_bonus,cd_error_penalty,ler_penalty,pitch_nm,line_cd_ratio,dose_mJ_cm2,sigma_nm,DH_nm2_s,time_s,Hmax_mol_dm3,kdep_s_inv,Q0_mol_dm3,kq_s_inv,abs_len_nm
G_1888,50,0.6090846283192528,0.8895833333333338,0.9516000000000006,0.021900000000000003,0.01150000000000001,0.011133333333333342,0.0038666666666666637,0.0,14.974381569546845,0.30964450333344995,12.391685249739147,0.2999087482403917,2.539037021075293,0.028035520492778323,0.634131131365741,0.04164502046887117,0.17265423426303222,0.012140719396894139,0.0,0.0,0.6192890066668999,0.028035520492778323,0.17265423426303222,0.0,0.0,24.0,0.52,52.385372263379395,1.2285606432706118,0.3857823882251978,40.59887733776122,0.1819080433063209,0.47130478667095305,0.020779535751789806,1.0924215405248106,50.0
G_4817,51,0.6054913511501986,0.9428833333333336,0.9708000000000002,0.02055,0.006166666666666671,0.00016666666666666666,0.0013166666666666652,0.0009999999999999987,15.2544054293195,0.37697954851955606,12.431156320692162,0.2716064827320862,2.536531276916889,0.01944778374404428,0.6401099308449075,0.014082912656828137,0.1972458328337727,0.00951738725242929,0.0,0.0,0.7539590970391121,0.01944778374404428,0.1972458328337727,0.0,0.0,24.0,0.52,50.473531250841916,0.7732260162010789,0.5119583203457296,36.381612280383706,0.2038451361749321,0.5579574096016586,0.027398034799844026,0.7712589222937822,50.0
G_2135,52,0.6042314051700547,0.9664000000000008,0.9849166666666674,0.007766666666666675,0.0030666666666666663,0.004250000000000001,0.0,0.0,14.788292954871775,0.40696297011993654,12.423196510818839,0.3010498967063962,2.542538924705924,0.01838894002771741,0.6360209693287037,0.01419226983007104,0.21595538121539679,0.006788376430305816,0.0,0.0,0.8139259402398731,0.01838894002771741,0.21595538121539679,0.0,0.0,24.0,0.52,57.0824144622311,0.6313586113974452,0.335250810906291,27.15735498815775,0.2151988068316132,0.6414810135960579,0.023077053995803,1.9103419152088463,50.0
G_3178,53,0.603885511084687,0.8338500000000001,0.9314166666666667,0.02239999999999998,0.0189,0.013683333333333342,0.013066666666666664,0.000533333333333333,14.562672615338654,0.2611274600756191,12.466506926763046,0.2654943834660468,2.5354676780903054,0.018510340746774535,0.6142533506944448,0.011196935815308036,0.16167256613477332,0.009467795121315818,0.0,0.0,0.5222549201512382,0.018510340746774535,0.16167256613477332,0.0,0.0,24.0,0.52,40.77536926511675,0.8292809380218387,0.5779830773361028,32.20741583965719,0.17949000089429318,0.5194190574809909,0.008104345668107272,0.8284591319970787,50.0
G_2918,54,0.6034982328819445,0.9054499999999994,0.9530333333333328,0.03198333333333332,0.011550000000000003,0.0007833333333333328,0.0006833333333333333,0.0019666666666666695,14.970366839443502,0.34490202104383527,12.469209838803208,0.2849813059078744,2.5403209041710193,0.018642785524636052,0.6367034594907408,0.014544693863510049,0.20908658675239333,0.008518495949859742,0.0,0.0,0.6898040420876705,0.018642785524636052,0.20908658675239333,0.0,0.0,24.0,0.52,58.610700021497905,0.4716150239109993,0.5435169755481184,28.223199378699064,0.21449448849074543,0.5731111750006675,0.02804349903948605,1.636698574759066,50.0
G_829,55,0.603344985614801,0.9410416666666678,0.978200000000001,0.0035166666666666666,0.0006333333333333331,0.015316666666666666,0.002333333333333334,0.0,15.158700703416498,0.372266327706695,12.426534877114841,0.3165146300571492,2.53241601007468,0.020154933714858235,0.6299699363425926,0.019583532854687325,0.1785884540490295,0.014237121276797495,0.0,0.0,0.74453265541339,0.020154933714858235,0.1785884540490295,0.0,0.0,24.0,0.52,51.34562652558088,1.3784426115453243,0.4245232820510864,31.817496502771974,0.19978442125953733,0.523987567704171,0.011926030134782195,1.6099729086272418,50.0
G_475,56,0.6022681624205743,0.9248416666666668,0.9693833333333334,0.006300000000000005,0.004616666666666665,0.005216666666666667,0.014483333333333355,0.0,14.484436595579496,0.3105399489228733,12.454226249202991,0.26477233379603166,2.535448157895561,0.017802908891694842,0.6231290500578704,0.01678060234205127,0.17423244953656636,0.01196895327073137,0.031126808841008824,0.0,0.6210798978457466,0.017802908891694842,0.17423244953656636,0.0,0.0,24.0,0.52,55.59640115685761,0.9801104413345456,0.5973178890533746,25.20179714076221,0.19822691451758145,0.6278362349607051,0.01350834958255291,1.9500758703798056,50.0
G_1477,57,0.5966714834359454,0.951758333333333,0.982283333333333,0.002933333333333334,0.006250000000000005,0.007516666666666672,0.0010166666666666655,0.0,14.669954454059082,0.38621780096823155,12.448782603854061,0.2669877760671491,2.533801243537048,0.02015400292238544,0.6162704898726854,0.015029085296326712,0.1648318101281468,0.010585769438410459,0.0,0.0,0.7724356019364631,0.02015400292238544,0.1648318101281468,0.0,0.0,24.0,0.52,58.32304389216006,1.0029852837324142,0.4458329949527979,36.30051168613136,0.1655849633272737,0.4831423666328192,0.012102900417521595,1.1747385477647185,50.0
G_891,58,0.594655647127547,0.9315583333333339,0.9667000000000006,0.020916666666666653,0.005816666666666667,0.0062,0.00030000000000000003,6.666666666666667e-05,14.921776850430854,0.366886129126475,12.414772037490867,0.288234092429651,2.546312699847158,0.029217521303225833,0.637488886863426,0.0530937667776346,0.1783688142892039,0.011785791721137133,0.0,0.0,0.73377225825295,0.029217521303225833,0.1783688142892039,0.0,0.0,24.0,0.52,56.558641182258725,0.528383418917656,0.41364023899659513,42.777205891907215,0.18078926685266197,0.5116545440629124,0.02513130750507116,1.745267339516431,50.0
G_3663,59,0.5935277848132239,0.9803583333333353,0.9924166666666686,0.001966666666666666,0.0006999999999999998,0.004600000000000002,0.0003166666666666667,0.0,15.394397117923411,0.420971444697465,12.418407943581283,0.2834580658035514,2.534325097879896,0.020609029418477514,0.6250136021412037,0.014446784926334007,0.17778164354636894,0.007248376406470549,0.0,0.0,0.84194288939493,0.020609029418477514,0.17778164354636894,0.0,0.0,24.0,0.52,55.128630886785686,1.0323446849361062,0.37990804826840757,37.10367996711284,0.18646292052231728,0.5466429743915796,0.015800141310319305,1.7972527970559895,50.0
