_id,label,pitch_nm,line_cd_nm,line_cd_ratio,domain_x_nm,dose_mJ_cm2,sigma_nm,DH_nm2_s,time_s,Hmax_mol_dm3,kdep_s_inv,Q0_mol_dm3,kq_s_inv,abs_len_nm,CD_locked_nm,LER_CD_locked_nm,area_frac,P_line_margin,CD_final_nm,CD_pitch_frac,LER_after_PEB_P_nm,LER_design_initial_nm,P_space_center_mean,P_line_center_mean,contrast,psd_locked_mid,psd_design_mid,H_min,P_min,P_max,prefilter_score,roughness_trigger,source_recipe_id,scenario,time_offset_s,sigma_time_s,variation_idx
G_4299__det_t-5_mc001,robust_valid,24.0,12.208254664632523,0.5086772776930218,120.0,54.14163903412428,0.031313334745091126,0.36333219379933585,23.919346518814564,0.20949757548647968,0.5580831694416701,0.021932293422379286,1.249629085417837,50.0,12.037369779588754,2.584310436094434,0.5460590277777778,0.15893198023253796,13.092304880152474,0.5455127033396864,2.580672287344154,2.792465108456999,0.07789151700205939,0.808931980232538,0.7310404632304786,2.4300806484181776,4.610393923209016,0.006440244917609676,0.027632533163993857,0.8216554436585694,,,G_4299,det_offset,-5.0,0.0,1
G_4299__det_t-5_mc002,robust_valid,24.0,12.29499622707326,0.5122915094613858,120.0,55.588598812871965,0.02132586724675295,0.348188090415239,23.919346518814564,0.22,0.5580831694416701,0.022671580845790722,1.249629085417837,50.0,12.45137163255128,2.579998650229249,0.5589930555555556,0.18049647772050958,13.443388680163514,0.560141195006813,2.5755847878413816,2.7874548922018416,0.07858182535179742,0.8304964777205096,0.7519146523687121,2.483459872321469,4.637067748616399,0.006267355655019862,0.026407859201566925,0.8415488200417183,,,G_4299,det_offset,-5.0,0.0,2
G_4299__det_t-5_mc003,robust_valid,24.0,12.637213445676107,0.5265505602365045,120.0,56.40252809077129,0.05484386286521886,0.40057334929837196,23.919346518814564,0.20888507090726938,0.5580831694416701,0.02457447892839133,1.249629085417837,50.0,12.445136320041064,2.5603258150745947,0.56515625,0.15895086981112205,13.545785752924976,0.5644077397052073,2.5585269213771262,2.7766517694049284,0.09853074238376983,0.8089508698111221,0.7104201274273523,2.316388719731964,4.546769769298616,0.008124354898877854,0.03771946028795103,0.8212224428706657,,,G_4299,det_offset,-5.0,0.0,3
G_4299__det_t-5_mc004,robust_valid,24.0,12.759120136377108,0.5316300056823795,120.0,58.21602217824434,0.027769246918463913,0.3653033336704135,23.919346518814564,0.21025014922543522,0.5580831694416701,0.021720106663611134,1.249629085417837,50.0,12.79886461859148,2.5775646385707955,0.5756944444444444,0.17480645314529697,13.83170716157682,0.5763211317323674,2.5750152497129886,2.7856546785725125,0.09524471769634055,0.824806453145297,0.7295617354489564,2.370263529709863,4.542439466323229,0.007669979050624978,0.03383388114609273,0.8349937466402427,,,G_4299,det_offset,-5.0,0.0,4
G_4299__det_t-5_mc005,robust_valid,24.0,12.005185080859945,0.5002160450358311,120.0,56.178852581134606,0.0,0.39796318636034533,23.919346518814564,0.2153376072393778,0.5580831694416701,0.025203057945278926,1.249629085417837,50.0,11.946011069093574,2.5973667547276653,0.5422916666666666,0.16377249372771607,13.020099966677389,0.5425041652782245,2.592657016373818,2.815140792266174,0.08389545920500413,0.8137724937277161,0.7298770345227119,2.3450600934879047,4.624299355709237,0.007074388952359128,0.03170304499199873,0.8285210006986499,,,G_4299,det_offset,-5.0,0.0,5
G_4299__det_t-5_mc006,robust_valid,24.0,12.687696276518897,0.5286540115216207,120.0,55.778790498177294,0.07399493800971202,0.4061298282102773,23.919346518814564,0.21813978015745691,0.5580831694416701,0.02170837511059953,1.249629085417837,50.0,12.859029363724266,2.552597358435274,0.5797048611111111,0.17704140858640616,13.939183489372255,0.5807993120571773,2.550515862978494,2.771938794958505,0.11122057299628516,0.8270414085864062,0.715820835590121,2.2655360618324574,4.566427509963236,0.009458991774134453,0.043648684749036,0.8386834969807625,,,G_4299,det_offset,-5.0,0.0,6
G_4299__det_t-5_mc007,robust_valid,24.0,12.328966744831813,0.5137069477013255,120.0,57.93396587253751,0.07163434158954035,0.35798313460385933,23.919346518814564,0.22,0.5580831694416701,0.023067060521852444,1.249629085417837,50.0,12.063142703508072,2.5739788704553037,0.5653993055555555,0.1854963791432902,13.596557536325175,0.5665232306802156,2.567829305634248,2.7831627715176714,0.0845773048751753,0.8354963791432902,0.7509190742681149,2.426801847070725,4.558945098029795,0.006783663466574553,0.02906332249663809,0.846575367821194,,,G_4299,det_offset,-5.0,0.0,7
G_4299__det_t-5_mc008,robust_valid,24.0,12.763726536102325,0.5318219390042636,120.0,55.830441033595655,0.02480870548074718,0.41895507680622573,23.919346518814564,0.22,0.5580831694416701,0.02119047958910902,1.249629085417837,50.0,12.711457717399123,2.56448445812678,0.5865798611111112,0.1801581471874656,14.092213078646747,0.5871755449436145,2.561720974727396,2.787652865762331,0.12027512777452623,0.8301581471874656,0.7098830194129394,2.225397322117038,4.574621898934141,0.010375289305471418,0.0485544890850833,0.8418419110714258,,,G_4299,det_offset,-5.0,0.0,8
G_4299__det_t-5_mc009,robust_valid,24.0,12.242602170279532,0.5101084237616472,120.0,57.52022544396125,0.002004411563501479,0.4240263574099154,23.919346518814564,0.21146068645320454,0.5580831694416701,0.024907667506543926,1.249629085417837,50.0,12.17239086622794,2.553464139587756,0.5534375,0.161089645160582,13.287982204712472,0.553665925196353,2.550203520609513,2.779234852869479,0.09852550206382,0.811089645160582,0.712564143096762,2.233057466276978,4.572113738862293,0.008498988141188149,0.03979440999550277,0.8257509570164029,,,G_4299,det_offset,-5.0,0.0,9
G_4299__det_t-5_mc010,robust_valid,24.0,12.95628218083634,0.5398450908681808,120.0,57.7269739103075,0.2265611765748871,0.37212863531274093,23.919346518814564,0.20843028131145871,0.5580831694416701,0.022231762828376467,1.249629085417837,50.0,13.062373294182958,2.6094643883503066,0.5875520833333333,0.1707155917045946,14.12651065227474,0.5886046105114475,2.610217684742391,2.8203643961516,0.10719899971890764,0.8207155917045946,0.713516591985687,2.3535437636121648,4.594133552450589,0.008606017703926317,0.03953663109052278,0.8306343174753819,,,G_4299,det_offset,-5.0,0.0,10
