recipe_id,mode,tags,strict_score_06l_direct_mean,mean_cd_fixed_06l,mean_ler_locked_06l,mean_p_line_margin_06l,g4867_normalised_distance
J_1453,mode_b,mode_b_far_from_G4867,0.8570752201761371,15.098463230273799,2.5592830047550463,0.24042265689713582,0.378932524964803
G_4299,mode_a,cd_boundary,0.5001576486071306,14.548026383873239,2.5555606135069393,0.2109870599774886,0.2401104469765232
J_4164,mode_b,mode_b_low_margin,0.4790090570363353,14.569191264661914,2.714204397957584,0.1774575584401012,0.26708353617778136
G_1500,mode_a,cd_boundary,0.41070925516106754,15.543840519392393,2.5366612842144605,0.21657662624174,0.185472986924716
J_4793,mode_b,mode_b_far_from_G4867,0.28852814348069655,15.680107637024134,2.517755631022759,0.2543325477827962,0.3035832551248342
G_383,mode_a,cd_boundary,0.22481916431464577,14.540721817317927,2.5400206287322526,0.2013909041030028,0.2616865234221668
G_3730,mode_a,cd_boundary,0.18303884238521537,15.497366800065661,2.5385997065928145,0.1978739327177173,0.17075560113505012
G_3904,mode_a,cd_boundary,0.11049881423018945,15.452685955058454,2.53195542543104,0.18766749163492275,0.13660394288854807
G_1744,mode_a,cd_boundary,0.011094553534490525,15.51546805261869,2.5394316093861757,0.2072574519421763,0.28389487720866025
G_2699,mode_a,cd_boundary,-0.31044129252550684,15.512014084943926,2.5385949720461567,0.19401584582100093,0.2092805257778749
J_1603,mode_b,mode_b_low_margin,-0.3784562467838258,15.315696185073307,2.575437801049747,0.21589853357969332,0.2911403605116117
J_461,mode_b,mode_b_low_margin,-0.3968885929284634,15.298493619488527,2.539764919145111,0.19866198937270824,0.24313938502676447
G_1577,mode_a,cd_boundary,-0.6697672370085884,14.461297270427526,2.5370361880356267,0.17088879086253583,0.2996985709854293
J_2796,mode_b,mode_b_low_margin,-0.690236685144924,15.5950151940851,2.537824014661945,0.19428870261872133,0.26651292362251533
G_2628,mode_a,cd_boundary,-0.7946557015053733,15.548028545012585,2.5123730785179306,0.18311600379947876,0.19638016623875781
G_3384,mode_a,cd_boundary,-0.9523910220093496,14.5017272128496,2.5391350579553347,0.16785455121215279,0.18946888986693539
J_3413,mode_b,mode_b_low_margin,-0.9769346569446467,15.220113015120377,2.481930671162794,0.21358846928300487,0.2611248271512689
G_4478,mode_a,cd_boundary,-0.978472255801706,15.455432663195278,2.53617910623487,0.18397186447994887,0.2553931878214172
J_1634,mode_b,mode_b_low_margin,-1.078473012817632,15.762186305726427,2.540166283709864,0.19133663886223196,0.230702592270917
G_259,mode_a,cd_boundary,-1.3481952518624256,15.471895385451758,2.5279475951238455,0.19734527521560302,0.1845391196503326
J_4665,mode_b,mode_b_low_margin,-1.4153719727268634,14.71732683000761,2.458021441799503,0.18143280709937884,0.24952237408932618
J_1657,mode_b,"mode_b_far_from_G4867,mode_b_low_margin",-1.7594321666031427,15.118465683040672,2.4823543075430132,0.20881194000227182,0.3174225207814054
J_1996,mode_b,mode_b_low_margin,-1.7898234019740857,15.116958341892259,2.5397007633776205,0.18322878929349606,0.19132745030332965
J_2243,mode_b,mode_b_low_margin,-1.8656334406746782,15.40425059582828,2.610634847174922,0.2016605343395959,0.24139313732265624
J_3097,mode_b,mode_b_low_margin,-1.902830667829042,14.389225837634992,2.4931374947006884,0.21394402302959925,0.2675560952060557
