recipe_id,rank_strict,strict_score,yield_score,strict_pass_prob_proxy,p_robust_valid,p_margin_risk,p_under_exposed,p_merged,p_roughness_degraded,p_numerical_invalid,mean_cd_fixed,std_cd_fixed,mean_cd_error,mean_cd_locked,std_cd_locked,mean_ler_locked,std_ler_locked,mean_p_line_margin,std_p_line_margin,balanced_score_06j,geometry_distance_to_modeA,strict_cd_pen,strict_ler_pen,strict_cd_std_pen,strict_ler_std_pen,strict_margin_bonus,cd_error_penalty,ler_penalty,pitch_nm,line_cd_ratio,dose_mJ_cm2,sigma_nm,DH_nm2_s,time_s,Hmax_mol_dm3,kdep_s_inv,Q0_mol_dm3,kq_s_inv,abs_len_nm,mean_area_frac,std_area_frac
J_697,746,-1.7310850608947521,0.34858466833791096,0.07241179071429035,0.7414833333333332,0.1368,0.09314999999999996,0.014449999999999996,0.009916666666666666,0.004199999999999998,16.081823664995422,0.4497188781159979,1.0818236649954223,13.68451077615017,0.9357727078828516,2.4170618653850786,0.008094391291960662,0.15097469808063915,0.016937851049910614,-2.8455615923469773,0.28571428571428575,1.1636473299908445,0.0,0.8994377562319958,0.008094391291960662,0.15097469808063915,0.08182366499542226,0.0,28.0,0.52,35.04808570537716,1.506631719879806,0.3714349467307329,29.4603180186823,0.21400468496605754,0.4664728044532239,0.006704942900687456,1.1619110368192196,35.02156138420105,0.6035673882068447,0.055275112070517704
J_2856,747,-1.7328890108754083,-1.2542150718530918,0.0,0.3703166666666665,0.1406500000000001,0.10878333333333337,0.1265499999999999,0.21571666666666656,0.0379833333333334,14.573623647570582,0.1496644551925688,0.4263763524294184,12.01095644941161,0.004793224205122344,3.6460150718530917,0.022193364118801608,0.02037893662479576,0.0045190261904293405,1.095510324252308,0.605043054257851,0.0,0.6460150718530917,0.2993289103851376,0.022193364118801608,0.02037893662479576,0.0,0.6460150718530917,20.0,0.6,43.123123434372246,0.9888756321743131,0.7143438711762429,23.51049448363483,0.20127752992324532,0.3920516815967858,0.00933735229074955,0.7631208514794707,99.69711983576417,0.7244111239583324,0.01486736718476322
J_3362,748,-1.733445326830492,0.5366374256884678,0.08476910752072817,0.8802666666666674,0.029066666666666664,0.03451666666666665,0.04129999999999999,0.013349999999999987,0.0015,16.152937574311533,0.5022550910655413,1.152937574311533,12.433281372626343,0.2933222658001189,2.521380094353662,0.017645328944279944,0.1874806065671504,0.01846647412346788,-2.9486516348170597,0.0,1.3058751486230662,0.0,1.0045101821310827,0.017645328944279944,0.1874806065671504,0.1529375743115331,0.0,24.0,0.52,49.040490246377885,2.669558923691511,0.39868766367435454,33.19827623665333,0.16509289507754146,0.49175163730978966,0.01976482858881354,1.4273677612654865,57.86637285724282,0.6657066861979166,0.022847147150920476
J_3716,749,-1.7345168375159559,-0.37123133342146225,0.0546452777710326,0.49365000000000026,0.06826666666666664,0.009083333333333339,0.14958333333333332,0.2794166666666665,0.0,14.280396535090626,0.5725837952326844,0.7196034649093743,10.403872258289269,0.24242257726145572,3.094289666754796,0.21616673750993534,0.09334755199471818,0.015421756794013634,2.188758322640972,0.2857142857142857,0.43920692981874865,0.09428966675479611,1.1451675904653689,0.21616673750993534,0.09334755199471818,0.0,0.09428966675479611,20.0,0.52,58.89282909594476,0.8818053184077144,0.6536114660091699,37.347905854694545,0.215432334151119,0.49126406032592057,0.008300678674131631,1.5020988835021853,84.38913617283106,0.7698027921874998,0.05756442769957801
J_1894,750,-1.7360072287058046,0.45075217296309733,0.0028355592152083976,0.8641500000000002,0.056216666666666686,0.019016666666666647,0.05378333333333333,0.004833333333333334,0.002000000000000003,16.22643949370357,0.26724445262414437,1.2264394937035696,13.735130315747579,0.9456518230436672,2.394145398913503,0.007676552133620808,0.14880925771676887,0.008564534107037529,-3.3947027242411094,0.28571428571428575,1.4528789874071393,0.0,0.5344889052482887,0.007676552133620808,0.14880925771676887,0.22643949370356964,0.0,28.0,0.52,45.25831899326295,2.114245274104178,0.5817206270992756,40.22712188772857,0.18742415962740777,0.41870933305472136,0.00888441109098494,1.3192783603444695,59.52163109090179,0.6596641950024805,0.029784938943521497
J_4389,751,-1.7378435600336328,0.7603333333333337,0.20391730828939933,0.8834500000000003,0.07248333333333332,0.019183333333333323,0.022366666666666663,0.0025166666666666692,0.0,15.878334907347675,1.402436857415178,0.8783349073476749,12.53210625990931,0.006810476580142273,2.3751256522692152,0.0028685693553196076,0.16279588307558449,0.004301937310722841,-0.7401291696747443,0.5471840922751706,0.7566698146953499,0.0,2.804873714830356,0.0028685693553196076,0.16279588307558449,0.0,0.0,28.0,0.45,54.02256452199072,2.247112146578729,0.6459247727878392,29.20424945652485,0.2058512852806598,0.5694743177853525,0.024084895206615328,0.5437082778662443,90.98428252153099,0.6031754951636908,0.005808525154173527
J_3896,752,-1.7437886386623647,-1.1017214920922205,0.005240033814483272,0.3298166666666668,0.13909999999999997,0.16311666666666672,0.12884999999999996,0.1808,0.05831666666666669,14.677055938776341,0.4131914277030936,0.3229440612236587,10.708577665154897,0.21380573044353118,3.331904825425554,0.16893034017249386,0.08616745572789362,0.013194059081848768,1.8442400913120425,0.6841914306918784,0.0,0.3319048254255539,0.8263828554061872,0.16893034017249386,0.08616745572789362,0.0,0.3319048254255539,18.0,0.6,45.12810583692044,1.9057272858917713,0.42682262482121586,22.662378293462098,0.15304224220104515,0.4908976074308157,0.015986809423193336,1.673396471887827,52.17150610405952,0.7654689484953704,0.0387936598448697
J_1751,753,-1.7511604242961893,0.23917200627282642,0.02676764487240086,0.7360333333333335,0.058383333333333315,0.03715000000000001,0.09690000000000004,0.07141666666666664,0.00011666666666666667,13.90790533960616,0.32995296792281775,1.0920946603938404,8.96309028192731,0.012907455725712037,2.710763003526493,0.006431672179611983,0.10810277692515498,0.005994262805650587,-1.8655837705257703,0.5471840922751706,1.1841893207876808,0.0,0.6599059358456355,0.006431672179611983,0.10810277692515498,0.0920946603938404,0.0,20.0,0.45,34.49395107105374,0.870084598660469,0.31712376670911907,43.90121372882277,0.21146870265714823,0.6134597796015442,0.002693634023889899,1.4050946948118508,75.13433401938528,0.5686197583333329,0.010406883039422452
J_3160,754,-1.7545404439602614,-1.0503672449707786,0.00018238206798133037,0.34998333333333326,0.11604999999999994,0.24379999999999996,0.08375,0.15473333333333328,0.051683333333333366,14.561472745993413,0.5346828007377709,0.438527254006587,10.71900055938438,0.16362893163453687,3.300075578304112,0.09737736601062273,0.1169442956226208,0.01734651985881979,1.0150615060083026,0.6841914306918784,0.0,0.3000755783041118,1.0693656014755417,0.09737736601062273,0.1169442956226208,0.0,0.3000755783041118,18.0,0.6,49.49358667060733,1.4018392553552985,0.503000073786825,20.09246114641428,0.19562589635141192,0.42673988193273543,0.026287164157256484,0.8224400691688061,52.79376166407019,0.8166162280092596,0.04279398336905125
J_2108,755,-1.7621324171305983,0.38829347918717283,0.14133605877387037,0.7248166666666672,0.15879999999999997,0.0922333333333333,0.016283333333333327,0.007050000000000002,0.000816666666666666,13.972935145853839,0.6343808795140397,1.027064854146161,12.447272165073215,0.2783226458011329,2.5223247599390475,0.01810488588470055,0.18854853772376384,0.029002267180446687,-2.590188302524063,0.0,1.0541297082923222,0.0,1.2687617590280793,0.01810488588470055,0.18854853772376384,0.02706485414616111,0.0,24.0,0.52,36.920046421699226,1.7370354998856783,0.3390860210172832,28.747704117558897,0.18789095858111976,0.6172732703387738,0.028389916950836775,0.6996813486330211,73.38261653669178,0.6391644210069445,0.02257194586578352
