time_offset_s,G4867_strict_pass_prob,G4299_strict_pass_prob,G4867_robust_valid_prob,G4299_robust_valid_prob,G4867_defect_prob,G4299_defect_prob,G4867_mean_cd_error,G4299_mean_cd_error,G4867_mean_ler,G4299_mean_ler,G4867_mean_margin,G4299_mean_margin,G4867_mean_strict_score,G4299_mean_strict_score
-5.0,0.05,0.0,1.0,1.0,0.0,0.0,1.1729309961444132,1.377567409034773,2.536204043567725,2.5715376284047355,0.13030515935729473,0.1692290540521345,-0.9944389368009426,-1.5903949635912846
-4.0,0.19,0.01,1.0,1.0,0.0,0.0,0.8948396535012967,1.2513592091342407,2.5339871286710056,2.5729435181423814,0.14068188088271352,0.17794374344395572,-0.21903849754727278,-1.211050491733264
-3.0,0.39,0.01,1.0,1.0,0.0,0.0,0.6678425779166226,1.0815969283976283,2.5363852812776697,2.568404758468678,0.15164272668413717,0.18701787304452197,0.3085228874992496,-0.7010263809748103
-2.0,0.5,0.19,1.0,1.0,0.0,0.0,0.5183800905110408,0.8450609943871172,2.5336981036210817,2.5643064016901245,0.1577590721471613,0.19746517565608707,0.6381355050161087,-0.03803843734574079
-1.0,0.76,0.39,1.0,1.0,0.0,0.0,0.3310890732370779,0.6335869148951524,2.531404152981315,2.5662801980409466,0.16656661268946926,0.20569843283565145,0.8370630771098836,0.4008129412114302
0.0,0.78,0.46,1.0,1.0,0.0,0.0,0.33042613268894827,0.5437530504414775,2.5335293842594844,2.55978145971855,0.17479964777161228,0.21295186906814398,0.9209157638135623,0.558514425825056
1.0,0.68,0.66,1.0,1.0,0.0,0.0,0.4047311824989292,0.415740173402652,2.535613534158855,2.5559356705603777,0.18281093782922564,0.2186591331231908,0.7905329643532544,0.7773967727368207
2.0,0.48,0.86,1.0,1.0,0.0,0.0,0.5587629603785176,0.2854238254074364,2.5316710236092828,2.5573185464268904,0.1905554692125716,0.22647279727682496,0.45594228541192455,0.9925787442771004
3.0,0.34,0.81,1.0,1.0,0.0,0.0,0.6877526166721711,0.30776269918553895,2.529013017639593,2.5566368941409774,0.19711174427119954,0.23086105908559013,0.27911438070482003,0.976682345980795
4.0,0.22,0.76,1.0,1.0,0.0,0.0,0.8216653574909997,0.3545328192183463,2.5305448032863684,2.55343548488402,0.20056988149138205,0.23751566139114416,-0.049195751105102124,0.9190548689907952
5.0,0.16,0.59,1.0,1.0,0.0,0.0,1.0984443244985023,0.42863019421251963,2.5393707387738527,2.546628702797833,0.20720179773180508,0.24271754649204041,-0.8387344322868566,0.7647409905789081
