recipe_id,rank_strict_06j,strict_score_06j,yield_score_06j,p_robust_06j_surrogate,pitch_nm,line_cd_ratio,dose_mJ_cm2,sigma_nm,DH_nm2_s,time_s,Hmax_mol_dm3,kdep_s_inv,Q0_mol_dm3,kq_s_inv,abs_len_nm,predicted_strict_score_06p,predicted_p_robust_06p,predicted_CD_06p,predicted_LER_06p,predicted_margin_06p,fd_label,fd_CD_final_nm,fd_LER,fd_margin,fd_strict_pass,diffusion_length_nm,reaction_budget,quencher_budget,blur_to_pitch,chemistry_knob_signature
J_2780,5,0.7885934517988519,0.9226083333333337,0.9678833333333337,24.0,0.52,51.142227636650205,0.2961369641125202,0.30267869839444755,37.42677637375891,0.19964606017805636,0.570398694742471,0.02265207951888442,0.5530166327953339,26.523145218379796,0.10076668691976191,0.9933333333333333,15.982496604630018,2.535483001271021,0.24115114905456067,robust_valid,15.737977937050825,2.539144763515619,0.2540611430282941,False,4.759892426916686,4.262080905819558,0.46884435713762124,0.012339040171355009,high_Hmax_mol_dm3:+0.41;low_DH_nm2_s:-0.40;low_kq_s_inv:-0.34
J_1996,13,0.6706300256464076,0.9684083333333336,0.9850833333333336,24.0,0.52,53.169382547959685,0.4648453602567315,0.48417503871023654,30.153898247517645,0.19850198483094572,0.582012394350022,0.017606109688058494,1.707342027220875,43.876536721363664,0.7571024154153725,0.9966666666666667,15.383850450963648,2.5156924416812614,0.1990661773324141,robust_valid,15.188299949312253,2.5142104205044076,0.2021000814412114,True,5.403658918039959,3.4836984234969037,0.9064156577993453,0.019368556677363813,high_kq_s_inv:+0.43;high_Hmax_mol_dm3:+0.40;low_kdep_s_inv:-0.21
J_3027,19,0.6256858168523632,0.9321333333333331,0.9719833333333332,24.0,0.52,55.54759337939322,0.08861079532653093,0.508023694343865,33.02584509830922,0.16163456331938506,0.5642537077888846,0.02598247244954109,1.5715272100642323,48.2802808098495,-2.3869837040819557,1.0,13.348639078178842,2.522804365433134,0.1255216263381716,robust_valid,13.3035673685835,2.5230171851097447,0.12234069550509619,False,5.7927388747761235,3.012052902732892,1.3485166717459562,0.003692116471938789,high_kq_s_inv:+0.34;low_kdep_s_inv:-0.27;high_Q0_mol_dm3:+0.21
J_461,30,0.6005772815795494,0.9417250000000003,0.9706166666666669,24.0,0.52,53.59712051600218,0.45479705929756165,0.422612664476037,41.79929951671511,0.18756334083154796,0.48802818469703196,0.02404881125316024,1.0864175399765372,59.833939261734486,0.8908621120130656,1.0,15.44477443423963,2.5212617703416065,0.20199379762931452,,nan,nan,nan,,5.943889861360303,3.826148904228578,1.0920924035285082,0.018949877470731735,low_kdep_s_inv:-0.53;high_time_s:+0.50;high_Hmax_mol_dm3:+0.24
J_1229,32,0.5771630038808309,0.8981666666666672,0.9505166666666672,24.0,0.52,40.34632978588343,0.13389893621206284,0.5396061383187771,30.23966008797288,0.21039402591995895,0.6126292056404055,0.006356992330402136,1.6982215764001012,45.53336846642196,-0.22395218467011058,0.98,15.718658558344975,2.520476736613792,0.19820182689491134,,nan,nan,nan,,5.712706224574041,3.897696382658584,0.32645471611572174,0.005579122342169285,high_Hmax_mol_dm3:+0.57;low_Q0_mol_dm3:-0.44;high_kq_s_inv:+0.42
J_3347,34,0.5735704679206803,0.9476749999999999,0.9779833333333332,24.0,0.52,58.71800693683326,0.8192130737006664,0.5971470174379647,27.510475791059434,0.206291672764346,0.5794016189873219,0.020471613323315978,1.0372818778268993,26.062893173657358,-0.5512052787750436,0.9833333333333333,15.844019740682905,2.5101560261473685,0.1900637015031917,,nan,nan,nan,,5.731980210525935,3.288209679104935,0.5841803732083068,0.0341338780708611,high_Hmax_mol_dm3:+0.51;low_abs_len_nm:-0.28;low_kdep_s_inv:-0.22
J_2115,36,0.5729060928485986,0.8724666666666672,0.9381666666666671,24.0,0.52,44.72232045046985,0.6522444952279329,0.528617281652987,23.54881987441331,0.1945545243564993,0.6330206896178425,0.018233744585886596,1.6900450214743614,41.15511515177786,-1.3374969103007393,0.99,13.9789541968426,2.514053946383216,0.1354403482837274,,nan,nan,nan,,4.9896519213564785,2.900202931831638,0.7256768835058224,0.02717685396783054,high_kq_s_inv:+0.42;high_Hmax_mol_dm3:+0.34;low_time_s:-0.23
J_2796,37,0.5641612376666477,0.9428833333333331,0.9747499999999997,24.0,0.52,38.44655040744692,0.3830195087939501,0.5234545596875251,36.470482386648655,0.21053715362213551,0.5877373839728535,0.008263418013229966,0.7569924090057611,55.62535159289837,-3.88445716839769,1.0,17.090918025373657,2.530762135276344,0.2222372777748546,,nan,nan,nan,,6.179100306564834,4.512877764427305,0.22813543901218056,0.01595914619974792,high_Hmax_mol_dm3:+0.57;low_Q0_mol_dm3:-0.38;low_dose_mJ_cm2:-0.36
J_2141,38,0.562785887965337,0.9397916666666652,0.9769666666666653,24.0,0.52,55.16176056303084,1.2889319993555546,0.3466596786864102,27.520206249319017,0.17045712298713625,0.6414443343877793,0.006852746810764074,1.8074498306959867,77.74463997222483,-0.17407293027329931,0.9933333333333333,15.500530525187441,2.4964758909601303,0.19046071347601573,,nan,nan,nan,,4.368099324825997,3.0090251105536825,0.3408651662547564,0.05370549997314811,high_kq_s_inv:+0.49;low_Q0_mol_dm3:-0.43;high_abs_len_nm:+0.33
J_2274,44,0.5295331048976439,0.7788,0.9049166666666667,24.0,0.52,58.826599854044616,0.21835833974182606,0.4197832589969039,34.121372904628515,0.16306346061639487,0.6195307761430741,0.029352810457348822,1.381773714441806,31.549887252040207,-0.27192587156517967,0.9766666666666667,14.315989519041613,2.5240493472916232,0.1688473948545108,,nan,nan,nan,,5.352304385842347,3.4470377333445468,1.3839267823798487,0.009098264155909419,high_Q0_mol_dm3:+0.32;low_abs_len_nm:-0.22;high_kq_s_inv:+0.21
J_3923,45,0.5253698079530381,0.7615333333333332,0.8950166666666665,24.0,0.52,50.546286318451166,1.3396987728774548,0.3560755534097552,39.02498076669872,0.2150644683279097,0.4276690661907196,0.014712487114593387,1.6889461860992014,29.454404511488974,-1.9308381026123982,0.9666666666666667,16.31002617627615,2.4875457314285354,0.20481885569556932,,nan,nan,nan,,5.27178179049689,3.58937803478174,0.9697160980632343,0.05582078220322728,low_kdep_s_inv:-0.73;high_Hmax_mol_dm3:+0.63;high_kq_s_inv:+0.41
J_2002,46,0.520481683065919,0.7563666666666667,0.8754000000000002,24.0,0.52,46.6908906865865,1.4765585688874125,0.4184283751063049,21.433976809494197,0.1744056875631213,0.5899954281747342,0.006547434758394957,1.778604515362531,69.70877290703356,-1.9732337439737384,0.9633333333333334,13.722371140556085,2.490128194008146,0.1027350314706658,,nan,nan,nan,,4.235229412549662,2.2055253125450545,0.24960502638044177,0.06152327370364219,high_kq_s_inv:+0.47;low_Q0_mol_dm3:-0.44;low_time_s:-0.31
J_3170,47,0.5165648150796448,0.7350000000000005,0.891883333333334,24.0,0.52,54.43704598490149,1.2128701871261,0.44724542293697594,41.01171633694321,0.2136359362397343,0.3704190364107489,0.010579049913212657,1.8728143898770213,56.97577252984047,-1.9846638458933947,0.9466666666666667,16.28068562396401,2.5061001220954413,0.1881552115655491,,nan,nan,nan,,6.056781722744754,3.245454693617317,0.8125486043174708,0.050536257796920836,low_kdep_s_inv:-0.92;high_Hmax_mol_dm3:+0.61;high_kq_s_inv:+0.54
J_4828,50,0.49323337861723854,0.836108333333333,0.9266333333333331,24.0,0.52,49.102788149379194,0.4490546453744173,0.4911141867749393,34.356277720071375,0.20683677635155617,0.45854970123618843,0.021319633182138205,1.7387529131956398,21.08448731712997,-0.8360853182807648,0.9666666666666667,14.620859759035717,2.5168000563346244,0.1602462211277518,,nan,nan,nan,,5.8091058508357065,3.2585191677188194,1.2735725897429186,0.018710610223934054,low_kdep_s_inv:-0.62;high_Hmax_mol_dm3:+0.52;high_kq_s_inv:+0.45
J_3235,51,0.49031169496094257,0.7602250000000003,0.9020833333333337,24.0,0.52,51.61701966729015,0.42710771318525076,0.7243876193650067,36.24854498077184,0.1652693989686668,0.5987770847044885,0.01339393182657659,1.5151323545724154,93.02528908941895,-2.9405632873375014,0.96,16.158054843726987,2.5710291628471427,0.16501128977557386,,nan,nan,nan,,7.246792008063523,3.5871389348005307,0.735612728071818,0.017796154716052115,high_abs_len_nm:+0.51;high_DH_nm2_s:+0.45;high_kq_s_inv:+0.30
J_3437,53,0.4859306205088082,0.6869500000000001,0.8570833333333333,24.0,0.52,59.451686770655215,1.4262548480182886,0.3639557340182364,41.89701069146395,0.1827156814560294,0.3824194108135998,0.008290048772469163,1.0015434864908457,33.89055690262467,-2.1535783074110464,0.97,15.97626145354532,2.4947338388594593,0.18687711324677173,,nan,nan,nan,,5.522437374815881,2.927512699111418,0.34786435853326564,0.05942728533409536,low_kdep_s_inv:-0.88;high_time_s:+0.50;low_Q0_mol_dm3:-0.38
J_668,58,0.476295074270175,0.8150000000000006,0.915383333333334,24.0,0.52,50.10435198806226,1.0065864874050021,0.650362918805331,21.491766492836177,0.21078440606594084,0.6402988031506538,0.019111606171354652,1.0545917442068458,34.066335312090814,-0.21615693392093063,0.99,14.893485925487177,2.5007535391432727,0.14760678785695422,,nan,nan,nan,,5.287238974467401,2.900636327608668,0.43316530900707073,0.04194110364187509,high_Hmax_mol_dm3:+0.57;low_time_s:-0.31;high_DH_nm2_s:+0.30
J_1634,62,0.46414646150440664,0.7758083333333329,0.9017499999999995,24.0,0.52,44.127468961291015,0.3329942598938942,0.5456690738908947,42.2800292307511,0.1946506539452821,0.6069355911575258,0.027555771823972463,0.7620910061523318,51.99416162446141,-3.985431880829091,1.0,17.219342990100845,2.5496827573766243,0.22312893566505113,robust_valid,17.218393404554114,2.5528131558830642,0.22561963154508402,False,6.79277622101949,4.994979976357034,0.8878808622255232,0.013874760828912258,high_time_s:+0.52;high_Hmax_mol_dm3:+0.34;high_Q0_mol_dm3:+0.26
J_2563,72,0.4265556042727663,0.5779666666666664,0.8144666666666663,24.0,0.52,47.481263894587755,0.00135873444378376,0.771886491868645,36.64414135739207,0.18578599277883767,0.48126969216391446,0.00851221893914044,1.0288588097319007,37.615718599408865,-1.9616521839350431,0.91,15.687640589441278,2.58904393820115,0.14667163124389707,,nan,nan,nan,,7.5213187301026,3.276468751025723,0.3209246792534777,5.661393515765667e-05,low_kdep_s_inv:-0.55;high_DH_nm2_s:+0.54;low_Q0_mol_dm3:-0.37
J_3885,82,0.38180038641952585,0.9057583333333338,0.9638666666666671,24.0,0.52,51.775083049200475,0.9141000900417566,0.6206216813996435,30.742631019093096,0.17393827573396264,0.530673558730632,0.017522684829309583,1.652904369868338,31.681720702908933,0.23272411569383025,0.9866666666666667,14.540030953823312,2.5171452949435533,0.12432088494725119,,nan,nan,nan,,6.177304161803657,2.837681456649905,0.8904087313611647,0.03808750375173986,high_kq_s_inv:+0.39;low_kdep_s_inv:-0.38;high_DH_nm2_s:+0.24
J_188,86,0.3748703658396523,0.6892416666666669,0.8622166666666667,24.0,0.52,58.94714275281876,0.050870354287326336,0.7639239828102291,26.73569531645626,0.19709510404616593,0.5461683401837945,0.006768401507288217,1.7534914198331535,86.7981140455231,-1.2442003672606932,0.9333333333333333,15.300488934732549,2.53417513007418,0.16713546223003348,,nan,nan,nan,,6.391250088886846,2.8780202233094765,0.317308160909551,0.002119598095305264,high_DH_nm2_s:+0.53;high_kq_s_inv:+0.46;high_abs_len_nm:+0.43
