list,rank_within_list,recipe_id,rank_strict,strict_score,yield_score,strict_pass_prob_proxy,p_robust_valid,p_margin_risk,p_under_exposed,p_merged,p_roughness_degraded,p_numerical_invalid,mean_cd_fixed,std_cd_fixed,mean_cd_error,mean_cd_locked,std_cd_locked,mean_ler_locked,std_ler_locked,mean_p_line_margin,std_p_line_margin,balanced_score_06j,geometry_distance_to_modeA,strict_cd_pen,strict_ler_pen,strict_cd_std_pen,strict_ler_std_pen,strict_margin_bonus,cd_error_penalty,ler_penalty,pitch_nm,line_cd_ratio,dose_mJ_cm2,sigma_nm,DH_nm2_s,time_s,Hmax_mol_dm3,kdep_s_inv,Q0_mol_dm3,kq_s_inv,abs_len_nm,mean_area_frac,std_area_frac
margin_top,38,J_1669,2669,-8.803755396121822,-1.527664461868584,0.00023705785647664174,0.985700000000001,0.0013166666666666656,0.0006666666666666661,0.012266666666666662,5e-05,0.0,18.486764461868585,0.855965315882196,3.486764461868585,12.564143803861679,0.007858293460690946,2.4308351473953764,0.0035636568074401704,0.2207405350793904,0.0040993659721631145,-1.9629936391933303,0.5471840922751706,5.97352892373717,0.0,1.711930631764392,0.0035636568074401704,0.2207405350793904,2.486764461868585,0.0,28.0,0.45,54.2003493597731,1.273380160331726,0.39876062674447893,35.43251951225102,0.20012709647417068,0.609596439730376,0.002281556697562337,0.5573503617197275,67.61213122867048,0.6388815159970239,0.005297255101474942
margin_top,39,J_442,4984,-34.814959240289696,-12.025427632976927,0.0,0.16948333333333335,0.005316666666666665,0.0016666666666666672,0.8224499999999998,0.001083333333333332,0.0,26.542394299643593,0.257330153912167,11.542394299643593,16.803844043062607,0.018054396834068235,2.5632820571564254,0.005149778746920734,0.22064814104017466,0.0025227836029499146,1.517977546022823,0.605043054257851,22.084788599287187,0.0,0.514660307824334,0.005149778746920734,0.22064814104017466,10.542394299643593,0.0,28.0,0.6,48.98851431906223,2.4981527253985405,0.5878608410246671,41.29833651706576,0.21415360144339501,0.6081411401741207,0.009676098832860589,1.7770758070982993,71.21595601551235,0.8943893173363083,0.004420101494776973
margin_top,40,J_3446,3686,-13.47322495893836,-3.4660053168539404,9.215591253071885e-17,0.8300666666666668,0.02943333333333331,0.022016666666666664,0.10333333333333326,0.01358333333333332,0.0015666666666666659,20.00558031685394,0.5501900065938687,5.005580316853941,19.10893882582212,0.005796634367242791,2.418046449136634,0.001991217746751215,0.22050642836282297,0.006618530187504611,-1.980319601420829,0.7816489344260262,9.011160633707881,0.0,1.1003800131877375,0.001991217746751215,0.22050642836282297,4.005580316853941,0.0,32.0,0.6,49.01763064227998,1.1764852311462164,0.7450741442851723,29.46756759658456,0.17416081679984927,0.486255228612572,0.015315531212836504,1.1072203577496111,60.65882005728781,0.8228695729166661,0.011463791606828078
margin_top,41,J_4454,4405,-18.842775883846738,-5.984828170560256,0.0,0.49758333333333327,0.002916666666666668,0.00034999999999999994,0.49190000000000017,0.007250000000000007,0.0,21.485578170560256,0.4371605114939038,6.485578170560256,16.771781696348732,0.009558826760709231,2.5300414458274316,0.009405872709413716,0.22028830273056976,0.004177827919854179,-0.688023620482074,0.605043054257851,11.971156341120512,0.0,0.8743210229878076,0.009405872709413716,0.22028830273056976,5.485578170560256,0.0,28.0,0.6,51.028727238066494,2.0338128888979554,0.3462373401969671,31.835586186498404,0.19011782160028814,0.5927952512167394,0.005840359786525368,1.0237257154658437,28.781744576990604,0.8207752912946424,0.016482193518076955
margin_top,42,J_2638,4696,-23.56161045205828,-7.692777203292642,0.0,0.4019333333333332,0.0071333333333333335,0.006433333333333342,0.5740833333333333,0.010416666666666668,0.0,22.914485536625975,0.5933428787666407,7.914485536625975,19.115834466225532,0.03496803994567195,2.409355923933718,0.003100604756566155,0.2201240225249515,0.013233114005227043,0.2127904785790331,0.7816489344260262,14.82897107325195,0.0,1.1866857575332814,0.003100604756566155,0.2201240225249515,6.914485536625975,0.0,32.0,0.6,47.79396840278059,2.661543371155858,0.5201085914857686,31.775508895516396,0.1979838872049004,0.5112598100677133,0.012782112266868352,0.8452955815009773,48.8413519738242,0.8280905397135405,0.023901152369880094
margin_top,43,J_4066,4819,-26.89217306543639,-9.35743456727253,0.0,0.20358333333333345,0.014416666666666654,0.0038833333333333363,0.7634000000000003,0.014716666666666642,0.0,23.997167900605863,0.07665712302020893,8.997167900605863,14.299444869672786,0.015626932081333762,2.774927776225945,0.03742553945884222,0.21986878318999759,0.004112275433507458,0.6457230010492438,0.5333333333333332,16.994335801211726,0.0,0.15331424604041785,0.03742553945884222,0.21986878318999759,7.997167900605863,0.0,24.0,0.6,51.228500397875905,2.9562050253152847,0.33438175842165946,42.92565137613565,0.2188282822817564,0.597203551698476,0.011767346821725368,1.607776917051524,39.57255398388952,0.9500525490451384,0.006370832752412766
margin_top,44,J_3849,4489,-20.10439983044282,-5.660631676187814,0.0,0.8596000000000004,0.061450000000000005,0.015966666666666664,0.05805,0.004933333333333331,0.0,22.33407334285448,0.3280661974845881,7.334073342854481,16.566145401256495,0.006745428017456193,2.3817365966019017,0.005043942900944944,0.21986680155608113,0.004964098136227477,-1.8095045893785657,0.5714285714285714,13.668146685708962,0.0,0.6561323949691762,0.005043942900944944,0.21986680155608113,6.334073342854481,0.0,32.0,0.52,52.98929361440241,0.055189747363328934,0.7575992450118065,40.36647261120379,0.21612008373253047,0.5785711120814085,0.01669358504936099,0.580317284911871,83.96951946429908,0.6478973876953126,0.005811945098775851
margin_top,45,J_3198,3551,-12.68059642993165,-3.3735644196709367,0.0,0.814183333333333,0.02826666666666664,0.026183333333333354,0.12878333333333336,0.0012999999999999986,0.0012833333333333319,19.857881086337603,0.14478601682939482,4.857881086337603,19.114706862173783,0.018978569830225916,2.4241180055794644,0.002852585675221152,0.2197698883259827,0.002557633028303974,-3.0988857111881742,0.7816489344260262,8.715762172675205,0.0,0.28957203365878964,0.002852585675221152,0.2197698883259827,3.8578810863376027,0.0,32.0,0.6,56.14122951216996,0.8005978083238006,0.664483941346407,21.133225089870393,0.17998782369308172,0.5030737833119929,0.005625332258641719,0.9980525635182858,21.755615854635835,0.8334446630859378,0.004800439703000883
margin_top,46,J_1446,4741,-24.542421650446972,-7.826164257922111,0.0,0.5114166666666666,0.005150000000000001,0.016083333333333324,0.4556166666666667,0.010916666666666663,0.0008166666666666658,23.372780924588778,0.5238658022769344,8.372780924588778,19.078373786126317,0.021321823879019472,2.410364952837491,0.0034715915341089272,0.21962421878673433,0.00774588083783644,0.0026135364935964134,0.7816489344260262,15.745561849177555,0.0,1.0477316045538687,0.0034715915341089272,0.21962421878673433,7.372780924588778,0.0,32.0,0.6,55.32979247532785,2.0143568264320493,0.6498602882027626,35.89523970615119,0.16868877111934125,0.5195082931779325,0.015828807642683386,1.487854235805571,40.58385333046317,0.8243891783854161,0.012638593011803133
margin_top,47,J_3534,4492,-20.146597056399102,-5.966778375437285,0.0,0.7122333333333334,0.09011666666666661,0.04319999999999999,0.14046666666666668,0.01326666666666666,0.000716666666666666,22.244570042103952,0.2443805603036878,7.244570042103952,19.114954801313065,0.012052402635786863,2.4192145086635524,0.0023650074576903263,0.21953786911448922,0.0039020765009677317,-1.791637687573182,0.7816489344260262,13.489140084207904,0.0,0.4887611206073756,0.0023650074576903263,0.21953786911448922,6.244570042103952,0.0,32.0,0.6,54.177128973416984,0.4426073245704174,0.7921212568879128,41.97894074488431,0.1914610938541591,0.5247048074379563,0.027771233953535555,1.4583229287527502,89.36379471793771,0.8065364934895831,0.0057578166506168475
