recipe_id,rank_strict_06g,strict_score_06g,yield_score_06g,strict_score_06h,yield_score_06h,p_robust_valid_06h,mean_cd_fixed_06h,std_cd_fixed_06h,mean_ler_locked_06h,std_ler_locked_06h,mean_p_line_margin_06h,rank_strict_06h
G_3691,1,0.7712882024965764,0.9909500000000024,0.4469161479623408,0.99995,0.9999666666666667,15.574726864971671,0.3732904182021715,2.542695762059095,0.018294274065615013,0.21433719244933433,65
G_1500,2,0.7650266250777417,0.9954500000000012,0.5189386447618699,1.0,1.0,15.561283469732848,0.34268205456577816,2.5355552869243057,0.018025216682745215,0.21793486747025526,57
G_4867,3,0.744115080370199,0.9538499999999983,0.6330110652935987,0.9998083333333333,0.9999333333333333,15.015406646552506,0.4032368615493555,2.5357890945475092,0.01920410223037077,0.18416657849922533,24
G_3185,4,0.7367785111141446,0.9544166666666674,-0.6926458118835654,0.9999,0.99995,15.951160729500529,0.383299350938068,2.5279055284736716,0.019165900635730097,0.2152747114958197,90
G_1226,5,0.7363568021215621,0.9996500000000001,0.022338077933650793,1.0,1.0,15.720190617712683,0.36477813320148594,2.5363738370517535,0.018560926060252687,0.22787410921325232,77
G_1679,6,0.7280005609143199,0.9261250000000005,0.7070251830106902,0.9986000000000005,0.9992000000000004,15.394213022532362,0.3329564134678543,2.535862953341286,0.01853106086227754,0.20258850763873099,11
G_3366,7,0.7067064085465492,0.9811250000000016,0.1310643863793835,0.999975,0.9999833333333333,15.695583481100789,0.32951453395791447,2.536369050144151,0.018478033557311483,0.22637352167327834,74
G_715,8,0.7013104203929961,0.99995,0.6587044107213273,1.0,1.0,14.9053104446814,0.3767516930451229,2.5348596726347905,0.018737668098478176,0.179299751262757,20
G_1096,9,0.6990312374985798,0.9407333333333343,0.6651939277808381,0.9991250000000003,0.9996666666666669,15.120779494677137,0.3738043125176864,2.543377931903921,0.01933002222825576,0.1981530056506086,18
G_1553,10,0.6897324852945307,0.8847249999999994,0.617822944656289,0.9987250000000005,0.9994000000000005,14.598426370926118,0.4083292139014462,2.5278772195359256,0.020185199515974337,0.1500790332628875,26
G_3521,11,0.68707289012927,0.9936750000000013,0.5517349761843914,0.99995,0.9999833333333333,15.31379698850872,0.48395266897615896,2.536743189031201,0.018960718284879118,0.18087201721195964,48
G_12,12,0.6814970565156633,0.9739583333333346,-0.6865734011735187,0.9998416666666666,0.9999333333333333,15.936924456933117,0.4137338856527365,2.520212585052116,0.020283427308836702,0.1929356090652767,89
G_2699,13,0.6787353801667958,0.9568333333333336,0.6779338551739993,0.987883333333334,0.9942833333333341,15.516272906185327,0.3011529176308875,2.5379755581002175,0.01772591555541797,0.19554046322096624,17
