recipe_id,mode,strict_score_06l_eval,strict_score_06l_direct_mean,strict_score_06l_direct_std,yield_score_06l,p_robust_valid_06l,mean_cd_fixed_06l,std_cd_fixed_06l,mean_ler_locked_06l,std_ler_locked_06l,mean_p_line_margin_06l,pitch_nm,line_cd_ratio,dose_mJ_cm2,sigma_nm,DH_nm2_s,time_s,Hmax_mol_dm3,kdep_s_inv,Q0_mol_dm3,kq_s_inv,abs_len_nm
G_3691,mode_a,0.3815947964632287,0.3154543934038847,0.7269442064430441,0.9999583333333333,0.9999833333333333,15.576069214234213,0.43448492545892653,2.544331249675781,0.018278316403425244,0.21387275797269403,24.0,0.52,59.27794052939862,0.19737313874065876,0.48414958752691745,30.64856923185289,0.18177000988274813,0.6312138759531081,0.017799156624823807,0.9048012448474765,50.0
G_1500,mode_a,0.5760180269786386,0.41070925516106754,0.5746047731463902,0.9999,0.9999666666666667,15.543840519392393,0.33720749097777913,2.5366612842144605,0.018594160853674192,0.21657662624174,24.0,0.52,59.61064776778221,0.6692313132807612,0.3649552927352488,33.2558043114841,0.17694425912573933,0.5755714560858906,0.012893415167927741,1.6178962769918144,50.0
G_4867,mode_a,0.667274690519635,0.795112162081661,0.24215583521789433,0.9997500000000001,0.9998833333333335,14.992983388620042,0.36842866690398074,2.534017332663486,0.019252063996088323,0.18231755768663857,24.0,0.52,52.676753897219896,0.6776348277926445,0.5002588990144432,29.275345294736326,0.1706448632106185,0.6455813481472432,0.019664063360542057,1.0673484671860933,50.0
G_3185,mode_a,-0.5822527211344549,-0.5588958353521394,0.9673452288631477,0.999825,0.9999333333333333,15.932290300042617,0.32915417289997173,2.5261990711432962,0.019599031706150995,0.21498747098576843,24.0,0.52,54.13421825878322,0.9893885711207986,0.35959234619513153,34.245778415352106,0.16786820678040384,0.6302088879980148,0.02199883854947984,0.6212781914509833,50.0
G_1226,mode_a,-0.003458549680646801,0.11220600990012378,0.7864023656036734,0.99995,0.9999833333333333,15.723414410318151,0.38029339058633377,2.5383624462499634,0.019409293612542598,0.2273308746656452,24.0,0.52,53.86767695378512,0.7991772992536426,0.33591859573498367,33.01915261428803,0.21817502029240132,0.4995112420059741,0.013306531207635999,1.3187890541739762,50.0
G_1679,mode_a,0.7133283913614632,0.5844713967349293,0.45072586859511765,0.9988250000000003,0.9993833333333336,15.38310316638525,0.32569078400809504,2.539638473395088,0.01970003270136273,0.20017676688095754,24.0,0.52,53.04285152815282,0.6175816683098674,0.4185003099963069,39.61149072740227,0.17210849289782346,0.5973837855271995,0.027088020052760838,1.238976410124451,50.0
G_3366,mode_a,0.21457211659771686,0.06801967654861127,0.6581251754931098,1.0,1.0,15.667999853152997,0.32902836535686364,2.5354689938223816,0.018572299241308814,0.22754476413690536,24.0,0.52,49.695911639370024,0.8923498978838325,0.33149425657466053,30.056207608431578,0.21137582533061505,0.6334934700280428,0.017279921416193247,1.4183912025764585,50.0
G_715,mode_a,0.7050670478639148,0.7667990475378074,0.18630120160227212,1.0,1.0,14.940611071060808,0.33122838965730994,2.531420149316789,0.017904546707130094,0.18099084349915937,24.0,0.52,53.13488420192152,0.8119138386100531,0.4316944188438356,26.48560533300042,0.20470118842087687,0.5199363170191645,0.006908052619546651,1.1299748960882425,50.0
G_1096,mode_a,0.6810209070321906,0.7944341986931788,0.2326615151810052,0.9994500000000003,0.9997666666666669,15.137430797023253,0.35768500541662784,2.543756442884051,0.019927474060925654,0.19687859791712425,24.0,0.52,54.77498465683311,0.2990975473076105,0.3910854572430253,43.31817008089274,0.1618718133959919,0.519607218913734,0.01730798020027578,1.4007178884930909,50.0
G_1553,mode_a,0.5830968386595349,0.4141041900371833,0.5442971433085384,0.9968333333333342,0.9984833333333343,14.653969948556545,0.441608143874126,2.530250004489991,0.02017493253155152,0.15183646186440963,24.0,0.52,55.33272649627179,0.8260480631142855,0.6297292487695814,24.14402368478477,0.17299987352453172,0.6490463101305068,0.014940116945654154,1.3684112299233675,50.0
G_3521,mode_a,0.5484662769621131,0.13358878341749889,0.4247291309243562,0.9996000000000002,0.9998000000000001,15.13997661576502,0.48727893624856067,2.5377506056407593,0.01831759004590692,0.18121603293450833,24.0,0.52,55.578329463489354,0.7054919404909015,0.5026414149440825,25.733013339340687,0.21830558368936182,0.6405440014787018,0.010224496582522988,1.5059860050678253,50.0
G_12,mode_a,-0.5121749747951868,-0.5679830364064175,0.7214120282725793,0.9981083333333337,0.9993500000000004,15.86344609432301,0.45783296932177575,2.521785896523706,0.020312113287475037,0.19217600322408565,24.0,0.52,54.67347263172269,1.2245240723714232,0.45896324021741747,29.81324869208038,0.19914712610654534,0.5968339773826301,0.009187169959768652,1.321106232702732,50.0
G_2699,mode_a,0.6749553009519117,-0.31044129252550684,0.8595011303382197,0.9800666666666675,0.9917333333333341,15.512014084943926,0.308913798100838,2.5385949720461567,0.017318548474778126,0.19401584582100093,24.0,0.52,49.572847441770136,0.12272468581795692,0.5828643824905158,32.865665555000305,0.20229601241648199,0.5803779413923621,0.009248145008459687,0.8495554770343006,50.0
G_1163,mode_a,0.7794441374993378,0.4920667125511282,0.13178179670147738,0.9905916666666691,0.995066666666669,15.152728155913266,0.25126066838547484,2.5415258293990988,0.01752521020214801,0.19550297727687052,24.0,0.52,44.20521835517138,0.39055242855101824,0.3935302157886326,31.000253353267908,0.20349605422466993,0.6107894139364363,0.008296383926644921,0.8209384735673666,50.0
G_534,mode_a,-0.007653305766063226,-0.031620691177476234,0.6223275519252316,0.9995500000000003,0.9997166666666669,15.76882782467137,0.2469838810895344,2.538042425523678,0.01741349416510822,0.21988318568053217,24.0,0.52,59.87893563229591,0.5245988667011261,0.3344970440492034,34.901051577180624,0.18685821142978964,0.5964107426814735,0.01151288190856576,1.7979914913885295,50.0
G_1470,mode_a,0.7405788052798622,0.5921343923702463,0.3160697033765598,0.9995166666666668,0.9998166666666668,15.131143620732512,0.2973635782526857,2.5374702851207047,0.018582603685306096,0.19086807483413687,24.0,0.52,51.53363247402012,0.48550059646368027,0.4602647197432816,40.866520260460675,0.17337030767463146,0.5254896852187813,0.02396841360256076,0.9648023387417197,50.0
G_2374,mode_a,0.5524231108746469,-0.5520234086068664,1.4832907865210423,0.9254250000000007,0.9698833333333341,14.994376504365484,0.4107940608605133,2.5263943712243178,0.018367019629542725,0.18790272619972306,24.0,0.52,46.53822338394821,1.372474447824061,0.349316821154207,24.533610539510846,0.18768935919739305,0.6450454883277417,0.011199572822079062,0.6015458237379789,50.0
G_590,mode_a,0.6611310960939193,0.24412016758017038,0.5184728103231346,0.9983333333333337,0.9992333333333336,14.826831900830644,0.37602653187945595,2.538942506207357,0.01814914644556952,0.1915954714513052,24.0,0.52,49.234969208948314,0.43546577263623476,0.4401523142121732,27.442381256259978,0.21297040559351443,0.5782038944773376,0.010807048520073295,1.5141079421155155,50.0
G_295,mode_a,0.31895853488173553,-0.2262266716142399,0.4860408152416572,0.9902916666666673,0.9961000000000007,15.594333040091206,0.42600727665765625,2.5348045536879114,0.017974204456390586,0.18664146949814736,24.0,0.52,55.8942561680451,0.5754380179569125,0.5481364463455975,33.07686921209097,0.18593018031679093,0.5241544905118645,0.008627537358552217,1.8874763250350952,50.0
G_3475,mode_a,0.682840734734425,0.3472519995179762,0.319398489398183,0.989008333333335,0.9952500000000017,14.957454617902018,0.34489248955842394,2.537327241806447,0.017780934248471176,0.19046143233499804,24.0,0.52,38.158132541924715,0.27501923963427544,0.4667141690850258,32.259662337601185,0.2013138731569052,0.5935464720241725,0.009663899671286344,1.1133517744019628,50.0
G_599,mode_a,0.5430566778490552,0.5088573288629346,0.4370471907020047,0.9824666666666669,0.9910833333333336,15.268174205369002,0.4795115366130659,2.5279779659299026,0.01800567587678376,0.19641754293538433,24.0,0.52,47.94217657763511,0.8630671966820955,0.38625238854438065,30.682049463503063,0.20147072018124162,0.4851791176944971,0.010016533490270376,1.0683001456782222,50.0
G_4413,mode_a,0.5652127862587087,0.606697088541415,0.2824000117521847,1.0,1.0,15.00486067434424,0.4738219880818447,2.538956505929455,0.019894647266333804,0.1959283918948812,24.0,0.52,58.56522271502763,0.6288422271609306,0.4579819885082543,29.39901410602033,0.18923971072770654,0.5620154602453112,0.018122892435640095,1.4903425797820091,50.0
G_322,mode_a,0.750015534922582,0.4374757402710961,0.29234098936246167,0.9928250000000006,0.9966333333333339,14.62487781519285,0.2813441652788326,2.5376811547691918,0.01747202813323514,0.18908285707212627,24.0,0.52,48.063295246101916,0.33668836019933224,0.4018833862617612,37.40208650007844,0.1699347008764744,0.497319816891104,0.01311454209499061,1.6822075145319104,50.0
G_1744,mode_a,0.5183029359784057,0.011094553534490525,0.7400887206067683,0.99995,0.9999833333333333,15.51546805261869,0.4778961976781629,2.5394316093861757,0.018322142945810336,0.2072574519421763,24.0,0.52,58.401948457583785,0.006242763251066208,0.46145198233425616,31.887378455139697,0.2058198464848101,0.4993485749699175,0.010997036285698413,1.777933151461184,50.0
G_4924,mode_a,0.1129004636001637,-0.29484303101411086,0.4458719907298101,0.9563500000000011,0.9797500000000012,15.659662086727762,0.40028976782258746,2.52365915759639,0.019437385672363052,0.18218073776886817,24.0,0.52,42.34293523337692,1.168808181770146,0.5518927287310362,30.957867419347167,0.18950295073911547,0.5884824329055846,0.008487394955009222,1.7428321451880038,50.0
G_2041,mode_a,0.6840793891849242,0.2781294354055675,0.22348163059829204,0.9537000000000007,0.9769833333333338,14.923802544880852,0.30522089908790395,2.5376927233113635,0.019042565477474092,0.180486284046258,24.0,0.52,44.87577476911247,0.4665337884798646,0.5655918779782951,28.358783996663988,0.18829111898317932,0.6396164623089136,0.020389597797766328,1.036932282615453,50.0
G_3157,mode_a,0.4839194488904454,0.4007729261474886,0.5236485352606919,0.999875,0.9999333333333333,14.420098036821626,0.3137491651373921,2.540016493552072,0.01791678529834614,0.18583158484852993,24.0,0.52,50.590192353352904,0.3360791075974703,0.5033962206915021,28.184296800754964,0.19817508765496314,0.5458947274833917,0.019984139073640106,1.3247390585020185,50.0
G_1990,mode_a,-1.7505876412232806,-2.1997908262046555,1.2160235526242364,0.635018943828529,0.9727500000000017,16.29412272283814,0.3352804684582428,2.5195475855130773,0.018740385471865798,0.18915808727457895,24.0,0.52,55.017908544279635,1.4722480215132236,0.49052053801715373,32.045160634443164,0.17406113252043723,0.5756974662654102,0.007777382517233491,1.902887124568224,50.0
G_2530,mode_a,0.7336676170547886,0.42404915705143487,0.2788179575747121,0.9867583333333351,0.9946666666666684,14.769597819734615,0.2894626358265037,2.538177484707436,0.01747473900243525,0.1804371561966989,24.0,0.52,56.318099590949714,0.35498169623315334,0.6283247789368034,27.26448579225689,0.20972623563371598,0.5219066297635436,0.010699593722820281,1.2174192517995834,50.0
