recipe_id,mode,strict_score_06l_eval,strict_score_06l_direct_mean,strict_score_06p_eval,strict_score_06p_direct_mean,yield_score_06l,yield_score_06p,p_robust_valid_06l,p_robust_valid_06p,mean_cd_fixed_06l,mean_cd_fixed_06p,mean_ler_locked_06l,mean_ler_locked_06p,mean_p_line_margin_06l,mean_p_line_margin_06p,rank_06j,rank_06l,rank_06p,pitch_nm,line_cd_ratio,dose_mJ_cm2,sigma_nm,DH_nm2_s,time_s,Hmax_mol_dm3,kdep_s_inv,Q0_mol_dm3,kq_s_inv,abs_len_nm
J_1021,mode_b,0.45228656216947616,-6.207726095199142,0.45077936756013254,-2.936889379216278,0.6775333333333331,0.7429916666666668,0.8293166666666665,0.8734333333333335,15.375866739899134,15.021853358033077,2.412272536141557,2.4226310362257477,0.1771650847090374,0.15580473204527362,90,87,68,28.0,0.45,58.70726272277534,2.5828056447207928,0.3729091269895434,20.81542336847633,0.17634765261784197,0.5396880891174078,0.005610624672845006,1.6593705471605062,55.09650649968535
J_1229,mode_b,0.671744722451956,-3.450665214062669,0.39273118014012814,-1.045466357526851,0.9067833333333338,0.9419499999999984,0.9539666666666672,0.9707333333333317,15.259709857361967,15.533414626721031,2.5378939460027716,2.542296356309946,0.18182190130779452,0.18947385698309951,32,43,16,24.0,0.52,40.34632978588343,0.13389893621206284,0.5396061383187771,30.23966008797288,0.21039402591995895,0.6126292056404055,0.006356992330402136,1.6982215764001012,45.53336846642196
J_1277,mode_b,0.4486573287567598,-4.325186963375426,-0.30005155796901406,-1.6957321143403126,0.6911083333333327,0.8599916666666656,0.8853499999999993,0.9422833333333324,15.060244064877843,15.692151409427154,2.462132735617236,2.493549963623079,0.11947344965929321,0.14553220210041548,60,64,37,28.0,0.52,51.71859398391098,0.5921209808439016,0.3187539756298065,31.133565893396735,0.19926367518492044,0.5267353259958327,0.02085228064097464,1.8985458938404918,16.031694593839347
J_13,mode_b,0.22258921505467247,-7.180218978837343,0.38170251098456964,-5.295083414688466,0.3847333333333335,0.5223500000000005,0.7652333333333334,0.8164166666666671,14.653782276345805,14.712289898583572,2.561594694485069,2.5618118395386116,0.1700088311617599,0.16935019517735989,99,96,95,24.0,0.45,59.7782846102491,1.6203986322507262,0.7387884889729321,30.63684346154332,0.20099609283730388,0.4154087270610034,0.003764673555269837,1.449487226549536,76.65931521449238
J_1333,mode_b,-1.959676086303789,-3.7690646747980043,0.32651689351891294,-1.7739642765312396,0.4425518175433132,0.7914083333333333,0.8147833333333326,0.9056333333333331,16.14105651579002,15.09590091198023,2.3994387360114824,2.426104720313361,0.08519208041801074,0.14565491116705628,91,53,39,28.0,0.45,38.61927238013595,2.4199066506698728,0.3534574002958834,38.087384942919016,0.20596089786849917,0.4728594159707427,0.01999319569207728,1.2287022420205176,95.66298523917794
J_1357,mode_b,0.6395917454749246,-2.7144215108180783,0.9001499146143205,-1.5832888698543397,0.9524000000000004,0.9903750000000019,0.9836833333333337,0.9960666666666685,14.977869051571831,14.816778688356573,2.542903101023919,2.5498353566295613,0.19407495538919042,0.20037705223205282,18,30,33,24.0,0.45,58.59991763345897,0.9735089102759957,0.44246314391493796,34.896843675523996,0.17136279676109553,0.5015920402482152,0.012778513887897133,0.6414171610958874,81.64038971532136
J_1412,mode_b,0.07651671216135447,-3.3467827935044765,-0.6702895056548378,-5.512589892821813,0.6354166666666665,0.8307583333333344,0.8655666666666666,0.9343666666666676,15.092042841684068,15.929226522772737,2.7866033544150177,2.7228398567487897,0.1635217979641036,0.18797765717347528,61,39,96,20.0,0.6,38.70650875288993,0.7550712609663606,0.343833480682224,34.17393514420837,0.20986147933639587,0.6410755588673056,0.02103243665769696,0.5687366533093154,63.9657034445554
J_1418,mode_b,-1.9550086626252987,-3.8036691713456836,0.027762739259239298,-2.3628521062644374,0.5591424875924316,0.8570000000000003,0.8982333333333336,0.9325833333333337,16.210665845740902,15.606818825802161,2.450083093265269,2.4703495473971366,0.13520253705777782,0.1357964413430076,84,54,52,28.0,0.52,37.42837787233293,2.0757094686850905,0.3974824586883187,29.831784083507955,0.1964147830288857,0.48781471606343985,0.012493260679766536,0.810625396668911,57.438956196419895
J_1453,mode_b,0.8116059922248321,0.8570752201761371,0.7204236721221555,0.9042222963436217,0.9984750000000003,1.0,0.9994500000000004,1.0,15.0984632302738,15.09907227432084,2.5592830047550463,2.5590141583543344,0.24042265689713582,0.2405760740249642,1,1,1,24.0,0.45,52.48814922384918,0.34199510235339403,0.40357725620269774,38.63432072568685,0.21585012060590086,0.49473905460909007,0.00692776383832097,1.532070079818368,90.36870668642223
J_1469,mode_b,0.45268784326098277,-3.5495047032007414,0.5576586024026834,-1.8560980664092859,0.5904916666666666,0.7111416666666666,0.8172333333333333,0.8716333333333333,14.84839416524439,15.19676792475368,2.4032436848231113,2.4231901281832324,0.1634049651637076,0.15924122744753533,29,48,42,28.0,0.45,47.026764512993395,2.1352841863408685,0.5197184273973108,23.326202905736864,0.1794304517749697,0.6491711373440922,0.007865360230207443,1.4060311461798847,98.81045126821846
J_1603,mode_b,0.7832155957784029,-0.37845624678382583,0.7302266530698281,0.5023044457444749,0.9411250000000013,0.9986666666666669,0.9761666666666681,0.9994666666666668,15.315696185073309,15.496634383306958,2.575437801049747,2.5853106167230164,0.21589853357969332,0.22710319566787807,4,4,4,24.0,0.45,49.671109666116536,0.20341934636235237,0.585356367006898,37.500420194119215,0.20327750555239618,0.6180648648180067,0.017489912817254663,1.6473220740444958,84.63056175969541
J_1634,mode_b,-0.23307661529731366,-1.078473012817632,-4.5918293574656195,-4.013998245034535,0.8503833333333325,-0.22918800827537023,0.9254999999999992,0.9981666666666676,15.762186305726429,17.22498800827537,2.540166283709864,2.5649284320158174,0.191336638862232,0.21690146386985265,62,8,87,24.0,0.52,44.127468961291015,0.3329942598938942,0.5456690738908947,42.2800292307511,0.1946506539452821,0.6069355911575258,0.027555771823972463,0.7620910061523318,51.99416162446141
J_1637,mode_b,0.27739638631728114,-5.66813241766916,0.11532653666250497,-1.4108429228377515,0.5109416666666667,0.6069749999999998,0.7694833333333334,0.8355833333333331,14.653096255472128,15.054116271842135,2.4655798017768613,2.486513985805214,0.13799288806210616,0.13942745959450856,66,80,28,28.0,0.52,55.36333207692951,0.40526771172881126,0.4550920414738357,38.00404030364007,0.15263276160694658,0.3961278237402439,0.008136681821197271,1.4479574565775692,74.8463473143056
J_1657,mode_b,0.7201378296501378,-1.7594321666031425,0.4749337899145574,-2.4894738729120074,0.9119999999999999,0.8978166666666668,0.9599333333333333,0.9584833333333335,15.118465683040672,15.57169791804683,2.4823543075430132,2.4680044847453133,0.20881194000227182,0.19467877856831323,49,12,57,28.0,0.45,54.55379491299391,0.02032105252146721,0.6722408548928798,29.85673770774156,0.18847177851013838,0.561739297490567,0.005526198344305158,0.6788015975616872,88.72814638074487
J_1717,mode_b,0.6545836168552192,-3.202943991252647,0.8436357609415789,-1.1378431002871252,0.9129083333333338,0.9441166666666662,0.9620666666666671,0.9723499999999996,15.296569469765448,15.265486146783928,2.4400794191231263,2.4553069194407473,0.15964092720028328,0.1663378314440832,8,37,18,28.0,0.45,37.86264035850763,0.9991807322949171,0.42823082087561487,32.97462359070778,0.21115490527823566,0.5507289295084774,0.017427831385284663,0.7525441497564316,80.94252660404891
J_1725,mode_b,-0.3218731864522842,-7.823099735519052,-2.6631212826965625,-5.641747178687604,0.6434166666666667,0.2860129770653398,0.8422666666666668,0.9079166666666668,15.566001995539223,16.486795356267994,2.464775833977634,2.478716457306405,0.12612839609944856,0.14139726208837985,79,98,97,28.0,0.52,59.96641238126904,0.06091788969933987,0.5754847775213421,44.63126645889133,0.19047398574650287,0.3773512125946581,0.011577530549839139,1.2497377581894398,18.24042629916221
J_1741,mode_b,0.45381361163276235,-4.697691220721039,0.663521240990154,-1.9232327694550984,0.7462833333333334,0.8364833333333337,0.8921000000000001,0.9324166666666671,14.797711398618553,15.117328121760183,2.5369460713175647,2.5266649804798864,0.18050524069329044,0.18598333102987674,74,72,43,24.0,0.45,56.92989266384393,2.3458737898617983,0.3352273294702172,36.1506213247776,0.1754796085227281,0.42824616217985745,0.00974462667480111,0.965229706838727,98.96100734360516
J_1785,mode_b,0.7598961910746546,-2.515150957212909,0.16340442033331973,-1.3236007712694766,0.9486333333333324,0.9285500000000001,0.9737999999999991,0.9662833333333335,15.383510593222281,15.61981528827484,2.477426299483136,2.495569525734343,0.14195896853352252,0.14127696266160028,10,25,22,28.0,0.52,43.58954301383346,0.4863320142030716,0.34905219841748475,33.202678062953055,0.17627769674174487,0.5365379111841321,0.005721099665388465,1.5111720715649426,25.56224969215691
J_188,mode_b,0.23794847252075702,-3.5441767050191606,0.47355960234075395,-1.5261606417967828,0.6150333333333335,0.762475,0.8262500000000002,0.8882833333333333,15.034409024954707,14.94112086314809,2.563736167867788,2.5553257188973104,0.1625259541458673,0.17437770275798362,86,47,31,24.0,0.52,58.94714275281876,0.050870354287326336,0.7639239828102291,26.73569531645626,0.19709510404616593,0.5461683401837945,0.006768401507288217,1.7534914198331535,86.7981140455231
J_1898,mode_b,0.5920630499777386,-3.7310265216621006,-1.021735990781907,-0.7282201231444151,0.9161333333333331,0.9342739962158484,0.9578166666666665,0.9999166666666668,14.993613464837608,16.06557600378415,2.4715507621999393,2.4954861909498636,0.1312470066397864,0.14265000308053874,14,52,12,28.0,0.52,51.24801071640104,0.7075073467567563,0.37169507443904876,33.994511822238564,0.19121675949543715,0.40344157433137295,0.010498095452785492,0.6764004225842655,95.58143021538854
J_1913,mode_b,0.23300619026711092,-4.461411596112808,0.3897698407940379,-1.3656177302555768,0.4036833333333335,0.5900416666666659,0.7037833333333333,0.8084333333333324,14.62130535986987,14.59340120745005,2.416265595216485,2.4513807999282347,0.10002104739811561,0.14873383415237387,81,66,25,28.0,0.45,25.335399155505,1.3359211469069123,0.3844732718542218,31.659071245230734,0.2164186390861869,0.6481421402655543,0.012644333727657794,1.2078697802498937,61.66926904115826
J_1973,mode_b,0.5851045922182048,-2.0832457509384428,-0.23317427781478747,-2.429231246610771,0.8215166666666672,0.759766666666667,0.9071666666666672,0.871666666666667,15.36071698168168,15.767699261368637,2.4667704402526067,2.4742682779510035,0.1878290281999618,0.1910679032921886,17,16,55,28.0,0.45,47.587100584991276,0.4339200323447585,0.7149262458086014,34.7771424613893,0.19428365700878203,0.6143168286420405,0.024431048026308418,0.9531268463470042,64.17400312144309
J_1981,mode_b,0.5147445707296697,-5.953606677843563,0.09096866262418785,-3.281915260948488,0.6009416666666666,0.6694583333333334,0.8078166666666665,0.8446166666666667,15.4165718544375,15.663855594855924,2.4257820974361963,2.455973703156234,0.08848939056176365,0.16133626526525405,41,84,76,28.0,0.45,30.742014918476343,1.3765201410278678,0.34853897914290427,43.408588650636375,0.2140714311506599,0.4596616794355214,0.0044560391083359715,0.6507002362050116,45.299973036162555
J_1996,mode_b,0.7549972340112809,-1.7898234019740857,0.5957715092267722,0.1351885015743056,0.9830166666666692,0.9930000000000029,0.9933666666666693,0.9955333333333363,15.116958341892259,15.359989782002302,2.5397007633776205,2.5406918809218286,0.18322878929349606,0.18458265706971894,13,13,8,24.0,0.52,53.169382547959685,0.4648453602567315,0.48417503871023654,30.153898247517645,0.19850198483094572,0.582012394350022,0.017606109688058494,1.707342027220875,43.876536721363664
J_2002,mode_b,0.2706925342473426,-3.353726041952561,-0.9185677571831188,-1.9447046567199155,0.7484999999999993,0.7360183609798662,0.8767499999999993,0.8742,14.447533185234986,13.968793360979866,2.5212188611297917,2.522488254364843,0.1710449417814605,0.167119094863906,46,40,44,24.0,0.52,46.6908906865865,1.4765585688874125,0.4184283751063049,21.433976809494197,0.1744056875631213,0.5899954281747342,0.006547434758394957,1.778604515362531,69.70877290703356
J_2073,mode_b,0.4129452062980919,-1.508960959419627,0.6549058170013593,-1.2545297268893727,0.8197833333333335,0.8988083333333341,0.9212000000000002,0.9563500000000008,14.935364216881856,15.094343870387602,2.4654124844254457,2.479821993691488,0.12734866827437588,0.1388938360356428,85,11,21,28.0,0.52,42.288834638893604,0.7653791550546885,0.5577118445187808,25.277491570450366,0.20217263858765364,0.48217407828196884,0.012231622785329818,0.5718939402140677,71.76330611575395
J_2115,mode_b,0.5999421428695361,-2.697211348463861,0.5156942709736684,-1.107712003397471,0.8377916666666668,0.8981583333333336,0.9284833333333334,0.9585000000000002,14.549814934269653,14.445429031538893,2.5367270482563584,2.5386331494660768,0.16393641357715544,0.16649028125678597,36,28,17,24.0,0.52,44.72232045046985,0.6522444952279329,0.528617281652987,23.54881987441331,0.1945545243564993,0.6330206896178425,0.018233744585886596,1.6900450214743614,41.15511515177786
J_2141,mode_b,0.547405542238095,-2.680844003172851,0.5863902771378041,-0.7312038056769892,0.9710333333333343,0.9823083333333356,0.9877166666666676,0.9925166666666689,15.194151693626463,15.083798686439707,2.526991851107681,2.527674638603247,0.1915508060889861,0.1900862252662789,38,27,13,24.0,0.52,55.16176056303084,1.2889319993555546,0.3466596786864102,27.520206249319017,0.17045712298713625,0.6414443343877793,0.006852746810764074,1.8074498306959867,77.74463997222483
J_217,mode_b,0.2793129945704811,-5.884831667975061,-3.0398492835030755,-3.622998059368507,0.3904583333333336,-0.4233026851030605,0.7599666666666668,0.4820000000000001,14.874447947340004,13.536438981563606,2.3838887664628152,2.4053622991149153,0.1371865148444771,0.11086393583791945,94,83,81,32.0,0.45,49.246897797100246,0.4433002145960927,0.5934881676919759,30.24315869435668,0.16578472134657204,0.36978119229897854,0.0025490254070609807,1.8710487433709204,52.49855083413422
J_2212,mode_b,0.35041794625294087,-2.133835422853803,-0.6007489037175896,-2.7625076884494892,0.6899,0.8699416666666673,0.8867166666666668,0.9537333333333339,14.960624064178173,15.890554357375896,2.7567154008854278,2.743595982832811,0.17405554451077113,0.1908767655297092,75,18,64,20.0,0.6,53.538884745910764,0.8369428161531687,0.4139356354251504,29.22457384876907,0.2000138770416379,0.6397783285938203,0.011691562179476022,1.8969716103747487,78.7027995660901
J_2243,mode_b,0.6910113144136721,-1.8656334406746782,0.28643618524482595,-1.212906819316078,0.8917083333333329,0.910158333333334,0.9535166666666661,0.9567500000000007,15.40425059582828,15.640301222171466,2.610634847174922,2.591382863123532,0.2016605343395959,0.22246269955532533,12,14,19,24.0,0.45,53.249667515046895,0.37003358267247677,0.7111812063492835,39.48694477323443,0.17142502770759166,0.60546939317137,0.015513606844469905,1.2091877227649093,62.4898519506678
J_2246,mode_b,0.5490608299276112,-6.051128091953178,0.3896788373588874,-3.197068453064016,0.8516250000000001,0.8963666666666668,0.9368833333333335,0.9493,14.578104849301333,14.814765767195151,2.4625640075653066,2.482436266154748,0.11263588966212172,0.13505190326888525,52,85,73,28.0,0.52,55.690236216410995,1.032322358340025,0.5250275481492281,24.50058167334646,0.1876001387182623,0.5713345856405795,0.026432825764641166,1.0569035443477333,82.8558592312038
J_2274,mode_b,-0.22876510520565269,-2.913749790516679,0.5107500728175215,-0.7353947500474345,0.7600083333333338,0.8609916666666663,0.8849666666666672,0.9280499999999996,14.237114804879916,14.652687880936721,2.5442302199555717,2.544571144549974,0.17161220475932254,0.17186100128421508,44,32,14,24.0,0.52,58.826599854044616,0.21835833974182606,0.4197832589969039,34.121372904628515,0.16306346061639487,0.6195307761430741,0.029352810457348822,1.381773714441806,31.549887252040207
J_2323,mode_b,0.42251101185252704,-6.309627144913163,0.5395386991434431,-2.6809857528766217,0.5545333333333337,0.6965166666666665,0.8040333333333336,0.866133333333333,15.157791651887532,14.640680991367683,2.566711377779569,2.566876109911941,0.16999026551292976,0.17888007089553057,57,89,62,24.0,0.45,44.8643694659695,0.28132227156311274,0.44379382226616143,42.70745909772813,0.21290128626860677,0.38376467442139983,0.0020459029264748097,1.376467158086598,73.14792917575687
J_2330,mode_b,-0.14441482520057747,-6.711434272137024,-2.512479206104722,-5.742597695304092,0.6059666666666662,0.2555325958245712,0.8304999999999996,0.887666666666667,15.638183072810037,16.476109070842096,2.4431248043272777,2.4708680243773293,0.13506017264120893,0.13140357322225799,65,93,99,28.0,0.52,58.33755850419402,2.527617867104709,0.4809642440639436,26.39269044622779,0.16741541556082665,0.47797614457085724,0.012055184422060846,0.7248347317799926,65.75620797928423
J_2357,mode_b,0.5770071999889304,-3.426177354789074,-2.94965648200201,-3.6307368499152255,0.8424083333333336,0.24129852915019312,0.9350500000000003,0.9571500000000003,15.51072346908449,16.666226470849807,2.460519392062432,2.4763250090537205,0.12386032173161439,0.13804888583143332,67,41,82,28.0,0.52,50.4063107566908,0.5133994901552796,0.5908733938820661,42.25911917630583,0.16244011550210416,0.6115635575726628,0.022634013416245578,1.950625871308148,82.29272374883294
J_2361,mode_b,0.04322851939634029,-3.527769085688458,0.3998649664309879,-2.012971376263157,0.6777916666666661,0.8160249999999997,0.8591499999999993,0.9156499999999997,14.963462526146781,15.583073305621173,2.4103930483739013,2.4479350217443208,0.12736769015249766,0.1538524932658506,95,46,46,28.0,0.45,44.261187077499926,1.9216342018917203,0.3632763993926346,35.967977535910904,0.16397851266898214,0.5844155418686569,0.02477141607552767,1.0763033363036811,78.10273663606495
J_2374,mode_b,0.41016711439752124,-3.8548495903691355,0.4732841478484764,-2.491007739049077,0.7859250000000004,0.7908916666666665,0.8880666666666669,0.8919166666666665,14.754519555551255,15.279658886619156,2.4627801593831107,2.4733612858792338,0.11604374083924508,0.13407840635396828,97,56,58,28.0,0.52,37.38132508099079,0.004800145514309406,0.42777345068752765,41.70697485562414,0.15751604253426194,0.6096834614872932,0.0218826961889863,1.3164438493549824,46.580227888189256
J_2380,mode_b,-2.697990953825379,-5.662086995260636,-2.5112504024920863,-5.7106885917712455,0.1717758338562791,0.14753440887893643,0.791516666666666,0.8718499999999998,13.759092500522947,13.469784408878937,2.7255070631980804,2.701331234693786,0.1636161078276057,0.14670287211858196,88,79,98,20.0,0.6,49.741987561807036,0.4849979421123862,0.36018346035853027,21.882272493094206,0.1669335189834237,0.6444538298994302,0.01586589532904327,1.1843157159164548,17.753368909470737
J_2517,mode_b,0.385077231011358,-6.166614483244432,0.0766069716497513,-2.7359094368541252,0.6651250000000007,0.6799083333333331,0.8411833333333341,0.8513999999999997,14.818959236624138,15.5696558412255,2.4502456255367324,2.455710267172879,0.1613490384124281,0.16422541941900495,71,86,63,28.0,0.45,59.00552860368043,1.194728379137814,0.7552431819029153,39.3073695525527,0.19034537004306912,0.39443107144907114,0.01771830266341567,1.0600173375569284,89.66790752019733
J_2553,mode_b,0.017708724289980313,-5.216355420963646,-1.1377843864384167,-4.324066121692991,0.5535249999999998,0.28410833333333363,0.7798833333333333,0.6024166666666668,15.013958679106668,14.10960292997369,2.4572067542130194,2.474029279145126,0.12126461739547988,0.12409882654335236,93,77,91,28.0,0.52,38.66631877887994,1.490840113721788,0.5106664679013193,20.376928132027388,0.1845666885189712,0.5759781613945961,0.014382602144032716,1.6369228870607913,84.80475343763828
J_2563,mode_b,0.32519331999748563,-6.312826653942721,0.09041624660509226,-2.213160834164567,0.4787583333333331,0.6252083333333336,0.7837833333333332,0.8340000000000002,15.086555031914731,15.080217672037598,2.571688601999674,2.563816483704369,0.15576907854609803,0.17002964630037887,72,90,48,24.0,0.52,47.481263894587755,0.00135873444378376,0.771886491868645,36.64414135739207,0.18578599277883767,0.48126969216391446,0.00851221893914044,1.0288588097319007,37.615718599408865
J_2597,mode_b,0.14085756325206136,-2.270960384425727,0.5796843694795475,0.5046071479982953,0.9542749999999998,0.9997250000000001,0.9832666666666665,0.9998666666666668,15.713584982515668,15.578682190031223,2.4840524182241595,2.4918894992804557,0.2166257712876085,0.20994886805069846,25,21,3,28.0,0.45,57.629243010655046,0.6073309276252985,0.38771588560193776,35.725448611192405,0.17014138182625174,0.560823674313724,0.017923593018203975,0.829717262648046,26.153180128894746
J_26,mode_b,0.4607445922373473,-7.355566837444399,-1.1453371690333525,-2.7673933517900364,0.6401583333333335,0.7067078390100481,0.8296166666666669,0.8558499999999997,14.668333514825958,16.005358827656618,2.4592930338380685,2.477429736372757,0.11114274927706688,0.13847923551775174,64,97,65,28.0,0.52,57.05910606868565,0.37071129586547613,0.5958867228589952,36.82630879804492,0.18825504479929805,0.44259751345962284,0.028876474192366004,0.5350531288422644,56.32255757693201
J_2725,mode_b,0.48777394858885376,-2.1101640417504597,0.6356285806246916,-0.8953738234210756,0.9076499999999998,0.9664250000000003,0.9571499999999997,0.9853333333333336,14.786129939233708,15.010574440169954,2.461500138993911,2.4747515778095246,0.11143323573266553,0.14203482904252732,21,17,15,28.0,0.52,49.10247716400772,0.3270562123507261,0.5722329017706216,26.52906612958759,0.1951207966916263,0.5285910910926759,0.015825540013611316,1.3105320036411285,89.48638674803078
J_2773,mode_b,0.43392107519236367,-3.7194915957014882,0.23553609985206236,-2.536999449006416,0.6557750000000006,0.7552666666666672,0.8303500000000006,0.8858333333333338,14.981196240462033,14.581823246117278,2.392569193328721,2.4259896672697145,0.14644348837874324,0.14970263739967643,96,51,59,28.0,0.45,47.26548432279378,2.5189830902963877,0.33984911181032657,22.686714380979538,0.17957528947852552,0.5913605733774603,0.021434149285778404,1.594377739354968,22.067853254266083
J_2780,mode_b,0.7101067317041341,-2.6283955854382226,-1.4448639254048077,-0.4154753530442194,0.9442499999999989,0.7653910286999311,0.9735333333333321,0.9900500000000018,15.080121129790673,16.21238397130007,2.544002641244267,2.545505756012165,0.19750252117346961,0.19848874771943317,5,26,9,24.0,0.52,51.142227636650205,0.2961369641125202,0.30267869839444755,37.42677637375891,0.19964606017805636,0.570398694742471,0.02265207951888442,0.5530166327953339,26.523145218379796
