recipe_id,rank_surrogate,yield_score_06c,yield_score_06a,fd_label,CD_final_nm,CD_error_nm,LER_CD_locked_nm,P_line_margin_fd,area_frac_fd,defect_indicator,nominal_pareto_rank,nominal_crowding_distance,balanced_score,balanced_rank,cd_only_rank,ler_only_rank,yield_score_rank_06c,pitch_nm,line_cd_ratio,dose_mJ_cm2,sigma_nm,DH_nm2_s,time_s,Hmax_mol_dm3,kdep_s_inv,Q0_mol_dm3,kq_s_inv,abs_len_nm
D_1243,1,1.0,0.5487685920315793,robust_valid,15.68720942639349,0.6872094263934905,2.5088834665591966,0.19441948718053503,0.6538888888888889,0,2,inf,-0.7767651717048125,39,52,28,1,24.0,0.52,52.952189340256155,0.6573477387428284,0.47568279430270194,33.43297273851931,0.2021333150751889,0.4906858271919191,0.011134928120300173,1.5573461670428514,50.0
D_812,2,0.9999583333333333,0.29107409922489613,robust_valid,15.48359812955996,0.48359812955995984,2.519599509514687,0.21183317916431255,0.6446354166666667,0,2,0.13271331090439162,-0.786184169113868,38,35,60,2,24.0,0.52,52.489258121699095,0.1931153442710638,0.4951038148254156,29.144660155288875,0.20280318291857838,0.5752463086508215,0.008649151157587767,1.3841324714012444,50.0
D_1513,3,0.999925,-0.5017868237462524,robust_valid,16.71764533383603,1.7176453338360282,2.5268083951170364,0.2777248892332248,0.6965972222222222,0,1,inf,0.12777424644022028,67,93,81,3,24.0,0.52,57.739948318339884,0.2753005949780345,0.3883114458993077,31.595399980433285,0.21976879190653564,0.6074707061052322,0.009825902944430708,1.1671670558862388,50.0
D_3225,4,0.999925,0.5724648721053076,robust_valid,15.980155804347188,0.9801558043471879,2.5217918327530358,0.22527179935319808,0.6661111111111111,0,3,inf,-0.1468058105741208,58,69,66,4,24.0,0.52,59.955185344442725,0.19484605081379414,0.4984213786199689,32.54462571814656,0.20058580998331307,0.5513192222453653,0.016071795606985687,1.0864991042762995,50.0
D_29,5,0.99985,0.8472249999999996,robust_valid,13.901020792006273,1.098979207993727,2.5436481128846067,0.1774985907001,0.5788888888888889,0,6,inf,2.758700464669519,93,71,96,5,24.0,0.52,54.815631047822535,0.03002660907804966,0.3794054176658392,26.620803335681558,0.2037108673620969,0.5268380688503385,0.011666939109563828,1.5449687978252769,50.0
D_4593,6,0.9996250000000001,0.30472006852890754,robust_valid,15.897903239310631,0.8979032393106312,2.5163410307632375,0.22118572973647888,0.6623263888888888,0,2,0.12214073754206214,-0.5645378752007115,46,64,44,6,24.0,0.52,54.4862330686301,0.5168475955724716,0.4447053151205182,35.66634920891374,0.18961607231758534,0.5720053535886109,0.021670072115957735,1.0442101648077369,50.0
D_1752,7,0.998716666666667,0.7724273403520433,robust_valid,15.386677895323164,0.38667789532316377,2.5215400715887504,0.20978348696215976,0.6407465277777777,0,2,0.11221511475399507,-0.7586252561825434,42,31,63,7,24.0,0.52,55.48730645701289,0.06497154291719198,0.500106573291123,30.237314272671938,0.21844692035578192,0.5157025554217398,0.014249971406534313,1.000605819746852,50.0
D_2652,8,0.9983000000000006,-0.09898347445695777,robust_valid,15.205245250396782,0.2052452503967821,2.523350923566812,0.21524726181695308,0.6333333333333333,0,2,0.13440222429342802,-1.0636949940647547,29,12,69,8,24.0,0.52,50.27633666899055,0.27707752492278814,0.38451036922633647,36.74058944918215,0.18684964636340737,0.5565899247303605,0.017249463759362697,1.26831394713372,50.0
D_1963,9,0.998041666666667,0.8456661476764936,robust_valid,15.261649682270953,0.26164968227095287,2.5110200291859393,0.19444504099271465,0.6359895833333333,0,1,0.067257213613896,-1.3262708468844635,20,18,32,9,24.0,0.52,49.73868596646935,0.7941266912966967,0.4155564738437533,27.66520258039236,0.19111348493024707,0.5919772020541132,0.007932742070406675,0.9569138027727604,50.0
D_2899,10,0.9973250000000007,-0.24623404724989528,robust_valid,15.85618149951038,0.8561814995103791,2.5242703108108406,0.22719339068259348,0.6604861111111111,0,2,0.10203829524342964,-0.2235031974289563,54,61,71,10,24.0,0.52,59.393913810141385,0.11198273207992315,0.43516744785010814,35.399154857732356,0.17993396399542688,0.570628852583468,0.015809983648359775,0.7819570177234709,50.0
D_4350,11,0.9966666666666673,0.6951913714301111,robust_valid,14.988911865394346,0.011088134605653721,2.5156124875908836,0.20933032835986165,0.6249652777777778,0,1,inf,-1.7810047318415105,3,1,42,11,24.0,0.52,56.3290850892663,0.588140532374382,0.37109484542161225,34.71553212031722,0.18373005981557072,0.5580013302154839,0.02029613669961691,1.9054748849011958,50.0
D_3536,12,0.9949750000000009,0.6230583100869789,robust_valid,14.868895497797837,0.13110450220216308,2.5364403418216694,0.20486029563411567,0.6189583333333334,0,3,inf,-0.010269779716440441,61,8,94,12,24.0,0.52,58.21643159072846,0.7871274221688509,0.3263567278161645,26.05789413675666,0.20195914573036133,0.5717279964126647,0.014460683595389127,1.3070269306190312,50.0
D_2146,13,0.9934750000000017,-0.06749218834091442,robust_valid,15.379940023944641,0.3799400239446413,2.540001483927619,0.2379704999646033,0.6406597222222222,0,1,inf,-0.16516264639483147,55,30,95,13,24.0,0.52,57.45745566487312,0.3220409257337451,0.32825823239982127,32.86919340491295,0.1784540202561766,0.6249055511318147,0.020234021712094544,0.6211664425209165,50.0
D_1569,14,0.9931166666666686,0.8669583333333342,robust_valid,14.384578383413281,0.615421616586719,2.512341092692111,0.13995665543069002,0.5990451388888889,0,3,0.3203213262227934,0.6870837563432437,77,44,37,14,24.0,0.52,51.12789114564657,0.5926171643659472,0.4610137247480452,31.19447445962578,0.17164000878110527,0.5062200882472098,0.007242759279906749,1.1027166899293661,50.0
D_1457,15,0.9929000000000016,-0.10942664875767394,robust_valid,15.782879604835077,0.7828796048350775,2.519459315602829,0.21389144477054933,0.6574652777777777,0,3,0.20979105583274532,-0.3550293019859708,50,58,57,15,24.0,0.52,40.75216315314174,0.34242468047887087,0.4445094374939799,35.098092425614595,0.1991005108039826,0.5925591707229614,0.012905460242182016,0.8692088257521391,50.0
D_2564,16,0.9923583333333338,0.8886000000000003,robust_valid,13.63452107579955,1.3654789242004508,2.524719653774634,0.1449745765554158,0.5677951388888889,0,4,inf,2.6657124053320205,91,84,74,16,24.0,0.52,47.90880020521581,0.3502208227291703,0.4553877890110016,26.961977551691234,0.20535983414389192,0.5433812702074647,0.020483744340017436,1.7069888641126454,50.0
