recipe_id,rank_strict,strict_score,yield_score,p_robust_valid,p_margin_risk,p_under_exposed,p_merged,p_roughness_degraded,p_numerical_invalid,mean_cd_fixed,std_cd_fixed,mean_cd_locked,std_cd_locked,mean_ler_locked,std_ler_locked,mean_area_frac,std_area_frac,mean_p_line_margin,std_p_line_margin,strict_cd_pen,strict_ler_pen,strict_cd_std_pen,strict_ler_std_pen,strict_margin_bonus,cd_error_penalty,ler_penalty,pitch_nm,line_cd_ratio,dose_mJ_cm2,sigma_nm,DH_nm2_s,time_s,Hmax_mol_dm3,kdep_s_inv,Q0_mol_dm3,kq_s_inv,abs_len_nm
G_3691,1,0.7712882024965764,0.9909500000000024,0.9958500000000025,0.002266666666666671,0.0001,0.001783333333333335,0.0,0.0,14.67235644718304,0.25494015592407715,12.407055299374715,0.2509310684632505,2.5395883186197286,0.01662945503123095,0.6078503752893519,0.010927779219308743,0.17437234374506627,0.006852618339735076,0.0,0.0,0.5098803118481543,0.01662945503123095,0.17437234374506627,0.0,0.0,24.0,0.52,59.27794052939862,0.19737313874065876,0.48414958752691745,30.64856923185289,0.18177000988274813,0.6312138759531081,0.017799156624823807,0.9048012448474765,50.0
G_1500,2,0.7650266250777417,0.9954500000000012,0.9980166666666678,0.0009333333333333325,0.0007166666666666662,0.0003333333333333333,0.0,0.0,14.702071529791061,0.26427800130568135,12.41250564998401,0.25971069423355925,2.5373358119758045,0.018853643023684204,0.6112502531828704,0.011508855375500036,0.17312579158105598,0.007417336071182927,0.0,0.0,0.5285560026113627,0.018853643023684204,0.17312579158105598,0.0,0.0,24.0,0.52,59.61064776778221,0.6692313132807612,0.3649552927352488,33.2558043114841,0.17694425912573933,0.5755714560858906,0.012893415167927741,1.6178962769918144,50.0
G_4867,3,0.744115080370199,0.9538499999999983,0.9832333333333316,0.0032999999999999995,0.00825,0.0035666666666666624,0.0005666666666666663,0.001083333333333332,14.497590653526062,0.2344569717262572,12.40347732348244,0.2592133762384079,2.535144012913744,0.017242521603297718,0.6058511501736111,0.010678921096601337,0.16228540927967888,0.008420499342670229,0.0048186929478752916,0.0,0.4689139434525144,0.017242521603297718,0.16228540927967888,0.0,0.0,24.0,0.52,52.676753897219896,0.6776348277926445,0.5002588990144432,29.275345294736326,0.1706448632106185,0.6455813481472432,0.019664063360542057,1.0673484671860933,50.0
G_3185,4,0.7367785111141446,0.9544166666666674,0.9820166666666674,0.005483333333333333,0.007766666666666673,0.004450000000000001,0.00028333333333333335,0.0,14.690764913233988,0.2521219327324284,12.45471748435603,0.27628444409208985,2.541714016699912,0.018203675093713904,0.6135646400462962,0.012012710437656096,0.1743424589070509,0.006473679840398883,0.0,0.0,0.5042438654648568,0.018203675093713904,0.1743424589070509,0.0,0.0,24.0,0.52,54.13421825878322,0.9893885711207986,0.35959234619513153,34.245778415352106,0.16786820678040384,0.6302088879980148,0.02199883854947984,0.6212781914509833,50.0
G_1226,5,0.7363568021215621,0.9996500000000001,0.9998833333333335,0.0,0.0,0.00011666666666666667,0.0,0.0,15.516171123538001,0.2596220085987753,12.413265985424134,0.2742835812448117,2.535420141488495,0.017874252383194015,0.6446350260416667,0.012468751147069872,0.21511723010374995,0.005311759778902529,0.032342247076002195,0.0,0.5192440171975506,0.017874252383194015,0.21511723010374995,0.0,0.0,24.0,0.52,53.86767695378512,0.7991772992536426,0.33591859573498367,33.01915261428803,0.21817502029240132,0.4995112420059741,0.013306531207635999,1.3187890541739762,50.0
G_1679,6,0.7280005609143199,0.9261250000000005,0.9614000000000005,0.027916666666666656,0.01020000000000001,0.00038333333333333324,0.0001,0.0,15.020730523833127,0.2306679940251129,12.439613032034416,0.29329326646169857,2.5416361252226056,0.02039083712156597,0.6130722546296297,0.01778536536069067,0.17095589400086053,0.01555795759971393,0.0,0.0,0.4613359880502258,0.02039083712156597,0.17095589400086053,0.0,0.0,24.0,0.52,53.04285152815282,0.6175816683098674,0.4185003099963069,39.61149072740227,0.17210849289782346,0.5973837855271995,0.027088020052760838,1.238976410124451,50.0
G_3366,7,0.7067064085465492,0.9811250000000016,0.9929166666666682,0.0015833333333333324,0.0009333333333333328,0.004566666666666661,0.0,0.0,15.504900819918904,0.30265290209118967,12.45755034471731,0.28872217698328173,2.537538172584018,0.01879777584581299,0.6391331646412037,0.01272920685640408,0.20934263326941757,0.007996175658557047,0.00980163983780713,0.0,0.6053058041823793,0.01879777584581299,0.20934263326941757,0.0,0.0,24.0,0.52,49.695911639370024,0.8923498978838325,0.33149425657466053,30.056207608431578,0.21137582533061505,0.6334934700280428,0.017279921416193247,1.4183912025764585,50.0
G_715,8,0.7013104203929961,0.99995,0.9999833333333333,0.0,1.6666666666666667e-05,0.0,0.0,0.0,14.511820872206776,0.33506506092351207,12.369095882199469,0.30895582752592554,2.537254990122144,0.018427247984383752,0.6216502337962965,0.015039290836695822,0.1825564212347998,0.010151079367087415,0.0,0.0,0.6701301218470241,0.018427247984383752,0.1825564212347998,0.0,0.0,24.0,0.52,53.13488420192152,0.8119138386100531,0.4316944188438356,26.48560533300042,0.20470118842087687,0.5199363170191645,0.006908052619546651,1.1299748960882425,50.0
G_1096,9,0.6990312374985798,0.9407333333333343,0.9743000000000009,0.011433333333333334,0.0035499999999999993,0.009000000000000013,0.001600000000000001,0.00011666666666666667,15.47221832928494,0.2681664593140322,12.391193879911759,0.2964905111617942,2.5514944318892763,0.030984594335038772,0.6295459351851853,0.05377510180062076,0.1678266425871885,0.008994001165328329,0.0,0.0,0.5363329186280644,0.030984594335038772,0.1678266425871885,0.0,0.0,24.0,0.52,54.77498465683311,0.2990975473076105,0.3910854572430253,43.31817008089274,0.1618718133959919,0.519607218913734,0.01730798020027578,1.4007178884930909,50.0
G_1553,10,0.6897324852945307,0.8847249999999994,0.9574666666666662,0.00933333333333333,0.016416666666666666,0.007783333333333345,0.004883333333333334,0.004116666666666668,14.552898264109196,0.2224867468376731,12.455508491792688,0.2656901847232877,2.5415354090171474,0.023264390449832768,0.6133062945601853,0.02229302408520532,0.15650570942848316,0.008336489204333298,0.0,0.0,0.4449734936753462,0.023264390449832768,0.15650570942848316,0.0,0.0,24.0,0.52,55.33272649627179,0.8260480631142855,0.6297292487695814,24.14402368478477,0.17299987352453172,0.6490463101305068,0.014940116945654154,1.3684112299233675,50.0
G_3521,11,0.68707289012927,0.9936750000000013,0.997316666666668,0.001033333333333332,0.0001,0.001199999999999999,0.00034999999999999994,0.0,14.769042056342636,0.34623218886497353,12.378856288662268,0.3035817125133199,2.5394746495389042,0.018791675997033113,0.6290646209490742,0.015477411827960728,0.19610366797103473,0.007766302251131634,0.0,0.0,0.6924643777299471,0.018791675997033113,0.19610366797103473,0.0,0.0,24.0,0.52,55.578329463489354,0.7054919404909015,0.5026414149440825,25.733013339340687,0.21830558368936182,0.6405440014787018,0.010224496582522988,1.5059860050678253,50.0
G_12,12,0.6814970565156633,0.9739583333333346,0.9898833333333346,0.0027000000000000006,0.0005666666666666664,0.006333333333333334,0.0005166666666666664,0.0,15.244767658908227,0.3270485496935403,12.450685072485793,0.2902698710109722,2.5329037630020905,0.021430103632329583,0.6315006530671298,0.018409309321620066,0.1812092987681353,0.011989896397210263,0.0,0.0,0.6540970993870806,0.021430103632329583,0.1812092987681353,0.0,0.0,24.0,0.52,54.67347263172269,1.2245240723714232,0.45896324021741747,29.81324869208038,0.19914712610654534,0.5968339773826301,0.009187169959768652,1.321106232702732,50.0
