_id,label,pitch_nm,line_cd_nm,line_cd_ratio,domain_x_nm,dose_mJ_cm2,sigma_nm,DH_nm2_s,time_s,Hmax_mol_dm3,kdep_s_inv,Q0_mol_dm3,kq_s_inv,abs_len_nm,CD_locked_nm,LER_CD_locked_nm,area_frac,P_line_margin,CD_final_nm,CD_pitch_frac,LER_after_PEB_P_nm,LER_design_initial_nm,P_space_center_mean,P_line_center_mean,contrast,psd_locked_mid,psd_design_mid,H_min,P_min,P_max,prefilter_score,roughness_trigger,source_recipe_id,scenario,time_offset_s,sigma_time_s,variation_idx
J_1453__det_t-5_mc001,robust_valid,24.0,10.91876537014107,0.4549485570892113,120.0,54.294024097480815,0.49724893190795066,0.4111027260944139,33.63432072568685,0.21005981750966388,0.49473905460909007,0.00707916546475642,1.532070079818368,90.36870668642223,10.958512057787146,2.5649291794358655,0.5945486111111111,0.21301447224429715,14.276358814211823,0.5948482839254926,2.5466353011372513,2.815110662685912,0.17470053707925,0.8630144722442972,0.6883139351650471,1.7549253882239213,4.5598249105043696,0.015062422579929468,0.08927283694925545,0.8826482020397017,,,J_1453,det_offset,-5.0,0.0,1
J_1453__det_t-5_mc002,robust_valid,24.0,10.8,0.45,120.0,54.72676762717351,0.2919027534493603,0.3911540659253593,33.63432072568685,0.21150873578334153,0.49473905460909007,0.006565043658848578,1.532070079818368,90.36870668642223,10.788402856452278,2.5596644692867114,0.5813888888888888,0.21718540449217905,13.951195157145895,0.5812997982144122,2.526496085900658,2.8001199482964156,0.15504598958401644,0.8671854044921791,0.7121394149081626,1.8648215200172538,4.539811637792289,0.01343003785122952,0.0760504868340514,0.8863046382399369,,,J_1453,det_offset,-5.0,0.0,2
J_1453__det_t-5_mc003,robust_valid,24.0,10.970046755234044,0.4570852814680852,120.0,52.54429058318423,0.490395240230627,0.4021099438449754,33.63432072568685,0.2114853694378672,0.49473905460909007,0.007579834583993332,1.532070079818368,90.36870668642223,10.901353067255103,2.568902474677599,0.5911979166666667,0.21106421374722684,14.18898860034298,0.5912078583476242,2.5498984546959895,2.8196404398775607,0.1677892369095355,0.8610642137472269,0.6932749768376913,1.7899396591315793,4.568930299812156,0.01437694998042486,0.08501354388063488,0.8804703198033474,,,J_1453,det_offset,-5.0,0.0,3
J_1453__det_t-5_mc004,robust_valid,24.0,11.118155520673268,0.4632564800280528,120.0,53.577449950727825,0.4735063844838398,0.40861429810981803,33.63432072568685,0.20648130896653058,0.49473905460909007,0.006653637364055133,1.532070079818368,90.36870668642223,11.00639108500504,2.549127266706541,0.5981770833333333,0.20927585251227998,14.351189045916726,0.5979662102465303,2.536143438447713,2.8038547928401854,0.17758155947757004,0.85927585251228,0.68169429303471,1.7886732019957647,4.6127385798529215,0.015435072482666222,0.09218374358661051,0.8783294810089076,,,J_1453,det_offset,-5.0,0.0,4
J_1453__det_t-5_mc005,robust_valid,24.0,10.963043051810994,0.4567934604921247,120.0,50.239441810471455,0.42494510375528605,0.36468543257718095,33.63432072568685,0.22,0.49473905460909007,0.006488035494822898,1.532070079818368,90.36870668642223,11.053972516526722,2.575829862983856,0.58875,0.22201466710674178,14.131003704653827,0.5887918210272428,2.551775837734827,2.821727160716724,0.15073365560845298,0.8720146671067418,0.7212810114982888,1.9155776860632074,4.585970077206195,0.012762651258224417,0.07162108712448373,0.8897045350826885,,,J_1453,det_offset,-5.0,0.0,5
J_1453__det_t-5_mc006,robust_valid,24.0,10.8,0.45,120.0,54.09327819597519,0.3536798860356136,0.4236967895322939,33.63432072568685,0.21074853626232132,0.49473905460909007,0.006720122712803391,1.532070079818368,90.36870668642223,10.741040072561617,2.5566483808669958,0.5866319444444444,0.2106146139136964,14.07591811460801,0.5864965881086671,2.527679274129479,2.8001199482964156,0.17239424472573392,0.8606146139136964,0.6882203691879625,1.7690156581027114,4.539811637792289,0.015209214392516521,0.08945210507417287,0.8809331215365381,,,J_1453,det_offset,-5.0,0.0,6
J_1453__det_t-5_mc007,robust_valid,24.0,11.18695086490608,0.46612295270442006,120.0,52.27311063753067,0.20435473229202614,0.42422542932308455,33.63432072568685,0.21414026040114623,0.49473905460909007,0.007617936517265608,1.532070079818368,90.36870668642223,10.972363153692173,2.5473242763888377,0.5950868055555556,0.21194070125657238,14.280533743405275,0.5950222393085531,2.5241494491892236,2.793925239318858,0.17813673633304397,0.8619407012565724,0.6838039649235285,1.840021981470215,4.632712688628936,0.01579489353571277,0.09482143571136797,0.8817994364123631,,,J_1453,det_offset,-5.0,0.0,7
J_1453__det_t-5_mc008,robust_valid,24.0,10.8,0.45,120.0,53.44875433087417,0.33910478260515947,0.4427343542131182,33.63432072568685,0.22,0.49473905460909007,0.00647700976824492,1.532070079818368,90.36870668642223,10.630893636616012,2.557954950003946,0.59921875,0.21915461036530204,14.391619321372442,0.599650805057185,2.5294277882613834,2.8001199482964156,0.1889381150002699,0.8691546103653021,0.6802164953650321,1.7302897964069417,4.539811637792289,0.01700058287339915,0.10115371189520887,0.8892902872856592,,,J_1453,det_offset,-5.0,0.0,8
J_1453__det_t-5_mc009,robust_valid,24.0,10.8,0.45,120.0,51.89543695251256,0.4877734407553412,0.396752208768721,33.63432072568685,0.20742315241332768,0.49473905460909007,0.007200320057532496,1.532070079818368,90.36870668642223,10.538247283204335,2.5543266667050357,0.5773263888888889,0.20325912263141244,13.847148884939267,0.5769645368724695,2.5285214487893715,2.8001199482964156,0.15575865777812017,0.8532591226314125,0.6975004648532923,1.7965096311411373,4.539811637792289,0.013296572008594817,0.07732681717898524,0.8731481416311704,,,J_1453,det_offset,-5.0,0.0,9
J_1453__det_t-5_mc010,robust_valid,24.0,10.8,0.45,120.0,51.73881944103303,0.18673341201017055,0.41989145178613196,33.63432072568685,0.21937404111312322,0.49473905460909007,0.006804970143793615,1.532070079818368,90.36870668642223,10.727338675668447,2.561542987681646,0.5831944444444445,0.21505402587092248,13.989310227561983,0.582887926148416,2.5251655037157787,2.8001199482964156,0.16680350933804935,0.8650540258709225,0.6982505165328732,1.8202176275595292,4.539811637792289,0.014763031462620134,0.0855332997294015,0.8854730909795966,,,J_1453,det_offset,-5.0,0.0,10
