recipe_id,mode,recipe_family,source_stage,time_offset_s,n_fd_rows,FD_strict_pass_prob,predicted_strict_pass_prob,strict_pass_residual,CD_error_residual,LER_residual,margin_residual,FD_mean_cd_error,FD_mean_ler,FD_mean_margin,pred_mean_cd_error,pred_mean_ler,pred_mean_margin,false_pass_flag,hard_fail_flag,geometry_match_mode_a_flag,chemistry_knob_signature
G_4867,mode_a,G4867_family,stage06M_time_deep_mc,-5.0,100,0.05,0.21,0.15999999999999998,-0.4940098436593745,-0.002258252632359792,0.03333472181431166,1.1729309961444132,2.536204043567725,0.13030515935729473,0.6789211524850387,2.5339457909353653,0.16363988117160638,False,False,True,ref_modeA
J_1453,mode_b,J1453_family,stage06M_B_J1453_time_deep_mc,-5.0,100,0.11,0.11,0.0,-0.027347596555994613,-0.00012512549411836105,0.0031153714710271674,0.8951053510958111,2.558276496709386,0.21357372707939695,0.8677577545398165,2.5581513712152675,0.21668909855042412,False,False,False,high_Hmax_mol_dm3:+0.65;low_kdep_s_inv:-0.50;high_abs_len_nm:+0.47
G_4867,mode_a,G4867_family,stage06M_time_deep_mc,-4.0,100,0.19,0.61,0.42,-0.511667975591219,-0.0009088368347325293,0.02469480291823334,0.8948396535012967,2.5339871286710056,0.14068188088271352,0.3831716779100776,2.533078291836273,0.16537668380094686,False,False,True,ref_modeA
J_1453,mode_b,J1453_family,stage06M_B_J1453_time_deep_mc,-4.0,100,0.3,0.31,0.010000000000000009,-0.006342170478698117,0.0003227266554914898,0.002058891427519083,0.6346643570581202,2.556054060829269,0.21989916840528426,0.6283221865794221,2.5563767874847603,0.22195805983280334,False,False,False,high_Hmax_mol_dm3:+0.65;low_kdep_s_inv:-0.50;high_abs_len_nm:+0.47
G_4867,mode_a,G4867_family,stage06M_time_deep_mc,-3.0,100,0.39,0.69,0.29999999999999993,-0.3228535138605869,0.0006288363857867019,0.01855650325938832,0.6678425779166226,2.5363852812776697,0.15164272668413717,0.3449890640560357,2.5370141176634564,0.1701992299435255,False,False,True,ref_modeA
J_1453,mode_b,J1453_family,stage06M_B_J1453_time_deep_mc,-3.0,100,0.51,0.5,-0.010000000000000009,-0.008113981889317279,0.00021467386940088318,0.0006963178251215008,0.47904090958801476,2.5566836066677716,0.2266256965087652,0.4709269276986975,2.5568982805371725,0.2273220143338867,False,False,False,high_Hmax_mol_dm3:+0.65;low_kdep_s_inv:-0.50;high_abs_len_nm:+0.47
G_4867,mode_a,G4867_family,stage06M_time_deep_mc,-2.0,100,0.5,0.66,0.16000000000000003,-0.1571563549398593,0.002120514042693422,0.015132789559300946,0.5183800905110408,2.5336981036210817,0.1577590721471613,0.36122373557118154,2.535818617663775,0.17289186170646226,False,False,True,ref_modeA
J_1453,mode_b,J1453_family,stage06M_B_J1453_time_deep_mc,-2.0,100,0.72,0.74,0.020000000000000018,-0.016535794114876323,0.00027001689193495437,0.0003274490023116583,0.3675418425201024,2.555751437756518,0.23018219718504304,0.3510060484052261,2.556021454648453,0.2305096461873547,False,False,False,high_Hmax_mol_dm3:+0.65;low_kdep_s_inv:-0.50;high_abs_len_nm:+0.47
G_4867,mode_a,G4867_family,stage06M_time_deep_mc,-1.0,100,0.76,0.85,0.08999999999999997,-0.03639312953718399,0.002677976607440513,0.011193070299129276,0.3310890732370779,2.531404152981315,0.16656661268946926,0.29469594369989394,2.5340821295887554,0.17775968298859854,False,False,True,ref_modeA
J_1453,mode_b,J1453_family,stage06M_B_J1453_time_deep_mc,-1.0,100,0.94,0.96,0.020000000000000018,-0.018698589331406307,0.00013487560165081902,0.00033376025473602633,0.23051545570837756,2.557869717496749,0.2351169315950625,0.21181686637697125,2.5580045930983997,0.23545069184979853,False,False,False,high_Hmax_mol_dm3:+0.65;low_kdep_s_inv:-0.50;high_abs_len_nm:+0.47
G_4867,mode_a,G4867_family,stage06M_time_deep_mc,0.0,100,0.78,0.97,0.18999999999999995,-0.08899795607809191,0.003001672686870016,0.008230021617322641,0.33042613268894827,2.5335293842594844,0.17479964777161228,0.24142817661085636,2.5365310569463544,0.18302966938893492,False,False,True,ref_modeA
J_1453,mode_b,J1453_family,stage06M_B_J1453_time_deep_mc,0.0,100,0.91,0.92,0.010000000000000009,-0.018695071854632928,0.0002979359485677513,0.00018766919202622967,0.26932832509504956,2.557936357412726,0.24049181195044045,0.25063325324041663,2.5582342933612936,0.24067948114246668,False,False,False,high_Hmax_mol_dm3:+0.65;low_kdep_s_inv:-0.50;high_abs_len_nm:+0.47
G_4867,mode_a,G4867_family,stage06M_time_deep_mc,1.0,100,0.68,0.68,0.0,-0.05700006979563538,0.0028085941385485036,0.005616004772923094,0.4047311824989292,2.535613534158855,0.18281093782922564,0.3477311127032938,2.5384221282974035,0.18842694260214873,False,False,True,ref_modeA
J_1453,mode_b,J1453_family,stage06M_B_J1453_time_deep_mc,1.0,100,0.73,0.75,0.020000000000000018,-0.013725120245964006,9.27342772820694e-05,-0.00026868168851224006,0.3494417791651662,2.560183905156462,0.2457044354702936,0.3357166589192022,2.560276639433744,0.24543575378178137,False,False,False,high_Hmax_mol_dm3:+0.65;low_kdep_s_inv:-0.50;high_abs_len_nm:+0.47
G_4867,mode_a,G4867_family,stage06M_time_deep_mc,2.0,100,0.48,0.55,0.07000000000000006,-0.09204634219957741,0.001927888661666266,0.001391705674142818,0.5587629603785176,2.5316710236092828,0.1905554692125716,0.46671661817894017,2.533598912270949,0.19194717488671442,False,False,True,ref_modeA
J_1453,mode_b,J1453_family,stage06M_B_J1453_time_deep_mc,2.0,100,0.51,0.51,0.0,-0.0067703415731305006,0.0001406055166768283,-0.00044325866633271316,0.5093312551479634,2.561814282310053,0.2491013604958946,0.5025609135748329,2.56195488782673,0.24865810182956188,False,False,False,high_Hmax_mol_dm3:+0.65;low_kdep_s_inv:-0.50;high_abs_len_nm:+0.47
G_4867,mode_a,G4867_family,stage06M_time_deep_mc,3.0,100,0.34,0.59,0.24999999999999994,-0.23568964931934444,0.0015104044310545461,-0.003929143126661178,0.6877526166721711,2.529013017639593,0.19711174427119954,0.4520629673528267,2.5305234220706474,0.19318260114453836,False,False,True,ref_modeA
J_1453,mode_b,J1453_family,stage06M_B_J1453_time_deep_mc,3.0,100,0.29,0.26,-0.02999999999999997,-0.0007415227673255309,-0.00034566749638820227,-0.0013469465360226307,0.7305661738298639,2.563878216142042,0.25411569678924306,0.7298246510625384,2.5635325486456537,0.25276875025322043,False,False,False,high_Hmax_mol_dm3:+0.65;low_kdep_s_inv:-0.50;high_abs_len_nm:+0.47
G_4867,mode_a,G4867_family,stage06M_time_deep_mc,4.0,100,0.22,0.63,0.41000000000000003,-0.39303521522957363,0.00010498450220097766,-0.008529073706914525,0.8216653574909997,2.5305448032863684,0.20056988149138205,0.42863014226142604,2.5306497877885694,0.19204080778446753,False,False,True,ref_modeA
J_1453,mode_b,J1453_family,stage06M_B_J1453_time_deep_mc,4.0,100,0.12,0.06,-0.06,0.01182073188328947,-0.00025113021287159754,-0.0011561217999777607,0.9347665570076432,2.562007858019639,0.2558177355184325,0.9465872888909327,2.561756727806767,0.25466161371845475,False,False,False,high_Hmax_mol_dm3:+0.65;low_kdep_s_inv:-0.50;high_abs_len_nm:+0.47
G_4867,mode_a,G4867_family,stage06M_time_deep_mc,5.0,100,0.16,0.48,0.31999999999999995,-0.5642483967268151,-0.0022410855866334956,-0.013505753536943138,1.0984443244985023,2.5393707387738527,0.20720179773180508,0.5341959277716871,2.537129653187219,0.19369604419486194,False,False,True,ref_modeA
J_1453,mode_b,J1453_family,stage06M_B_J1453_time_deep_mc,5.0,100,0.05,0.05,0.0,-0.022648442874411145,-0.0007696195625812585,-0.0018653112500731095,1.0641041590782134,2.5657264925700356,0.2585998866276642,1.0414557162038023,2.5649568730074543,0.2567345753775911,False,False,False,high_Hmax_mol_dm3:+0.65;low_kdep_s_inv:-0.50;high_abs_len_nm:+0.47
J_1453,mode_b,J1453_family,stage06J_mode_b_fd_sanity,nan,1,1.0,1.0,0.0,0.007531314309611403,0.0010946921427366085,1.300982511390214e-05,0.0002913413556946409,2.556994776506135,0.24078807177973371,0.007822655665306044,2.5580894686488715,0.24080108160484762,False,False,False,high_Hmax_mol_dm3:+0.65;low_kdep_s_inv:-0.50;high_abs_len_nm:+0.47
J_3413,mode_b,mode_b_other,stage06J_mode_b_fd_sanity,nan,1,0.0,0.0,0.0,0.058458561920382124,0.00016493006757567485,0.000471160153300787,1.1915467429827267,2.4531807694949963,0.20100466929755212,1.2500053049031088,2.453345699562572,0.2014758294508529,False,False,False,low_Q0_mol_dm3:-0.44;high_abs_len_nm:+0.27;low_kq_s_inv:-0.24
