stage,recipe_id,yield_score,strict_score,mean_cd_fixed,CD_error_nm,std_cd_fixed,mean_ler_locked,std_ler_locked,p_robust_valid,mean_p_line_margin
v2_frozen_op,v2_frozen_op,0.6681250000000004,0.3229982303330876,15.118663623852385,0.1186636238523846,0.3778578622156053,2.5347628869373167,0.017557322318452147,0.845566666666667,0.16603901483167444
06A_best,?,0.9521500000000006,nan,,,,,,,
06D_best,D_1243,1.0,nan,,,,,,,
06F_CD-best,D_4350,0.9966666666666673,nan,15.011088134605654,0.011088134605653721,nan,2.5156124875908836,nan,nan,nan
06F_LER-best,D_4836,0.9790916666666682,nan,15.53026354207854,0.53026354207854,nan,2.485244478797356,nan,nan,nan
06F_balanced-best,D_2652,0.9983000000000006,nan,15.205245250396782,0.2052452503967821,0.4171336038658965,2.523350923566812,0.01768236315459316,1.0,0.2158217377096576
06F_margin-best,D_1513,0.999925,nan,16.71764533383603,1.7176453338360282,0.4487333559513686,2.5268083951170364,0.019013941175884688,1.0,0.275198190874437
06G_best,G_3691,0.9909500000000024,0.7712882024965764,14.67235644718304,0.32764355281696034,0.25494015592407715,2.5395883186197286,0.01662945503123095,0.9958500000000025,0.17437234374506627
