recipe_id,rank_06l,fd_label,FD_CD_final_nm,FD_CD_error_nm,FD_LER_CD_locked_nm,FD_P_line_margin,FD_area_frac,strict_score_fd_nominal,strict_score_06l_surrogate,FD_pass_strict,pitch_nm,line_cd_ratio
J_1453,1,robust_valid,15.000291341355695,0.0002913413556946409,2.556994776506135,0.24078807177973371,0.6251215277777777,1.0601970179449334,0.8570752201761371,True,24.0,0.45
J_4164,2,robust_valid,14.73695621193551,0.2630437880644898,2.724436320657637,0.17909653915710766,0.7368125,1.044774134789277,0.4790090570363353,True,20.0,0.6
J_4793,3,robust_valid,15.570348568385104,0.5703485683851035,2.5071211675260168,0.2549140582006778,0.5561904761904762,0.852682809394859,0.28852814348069655,False,28.0,0.45
J_1603,4,robust_valid,15.264426769888402,0.2644267698884022,2.5956472266116952,0.2265642056505498,0.6355902777777778,1.0566410514126374,-0.3784562467838258,True,24.0,0.45
J_461,5,robust_valid,15.407014351261873,0.40701435126187313,2.521789123230403,0.19858155225264051,0.6414756944444444,1.0496453880631602,-0.3968885929284634,True,24.0,0.52
J_2796,6,robust_valid,17.185029245781013,2.1850292457810134,2.532606262719298,0.2261664910973744,0.7153472222222222,-3.998546114568697,-0.690236685144924,False,24.0,0.52
J_3413,7,robust_valid,16.191546742982727,1.1915467429827267,2.4531807694949963,0.20100466929755212,0.578125,-1.024389061623792,-0.9769346569446467,False,28.0,0.45
J_1634,8,robust_valid,17.218393404554114,2.2183934045541136,2.5528131558830642,0.22561963154508402,0.7170486111111111,-4.09877530577607,-1.078473012817632,False,24.0,0.52
J_4665,9,robust_valid,15.361509243879777,0.3615092438797767,2.445656083781361,0.16805097343432107,0.5487202380952381,1.0420127433585802,-1.4153719727268634,True,28.0,0.45
J_4354,10,robust_valid,16.374100269125275,1.3741002691252753,2.448196901704274,0.14845131238737075,0.5847619047619048,-1.5851879792789831,-1.5009760041718716,False,28.0,0.52
J_2073,11,robust_valid,15.20282096657213,0.2028209665721299,2.4593592030114415,0.0917424106456235,0.5429761904761905,1.0229356026614058,-1.508960959419627,True,28.0,0.52
J_1657,12,robust_valid,15.781594039646823,0.7815940396468228,2.4525186393414296,0.18606523472718228,0.5635714285714286,0.20173418974132706,-1.7594321666031427,False,28.0,0.45
J_1996,13,robust_valid,15.188299949312253,0.18829994931225258,2.5142104205044076,0.2021000814412114,0.6327777777777778,1.050525020360303,-1.7898234019740857,True,24.0,0.52
J_2243,14,robust_valid,15.638594203726246,0.638594203726246,2.6536603302389072,0.18267964079781585,0.6513368055555555,0.629887299020716,-1.8656334406746782,False,24.0,0.45
J_3097,15,robust_valid,14.786148253396936,0.21385174660306383,2.483322576282084,0.19558368812842097,0.5280357142857143,1.0488959220321052,-1.902830667829042,True,28.0,0.45
J_1973,16,robust_valid,16.291515226403657,1.2915152264036571,2.4528581977152903,0.19346347545619258,0.5816071428571429,-1.3261798103469231,-2.0832457509384428,False,28.0,0.45
J_2725,17,robust_valid,15.689097223401458,0.6890972234014576,2.47187326236451,0.13513017504150804,0.5605803571428571,0.46649087355600416,-2.11016404175046,False,28.0,0.52
J_2212,18,robust_valid,16.88345389473711,1.8834538947371087,2.7848829501398162,0.23852421431644755,0.8503958333333334,-3.090730630632214,-2.133835422853803,False,20.0,0.6
J_3885,19,robust_valid,14.376047182817803,0.6239528171821966,2.515896136538886,0.11421376407177641,0.5988541666666667,0.6566949894713542,-2.213983460208615,False,24.0,0.52
J_3962,20,robust_valid,17.61329265637002,2.613292656370021,2.4594634320152373,0.23118322186746765,0.6291815476190477,-5.282082163643196,-2.244626915859592,False,28.0,0.52
