kind,recipe_id,rank_06c,yield_score_06c,fd_label,CD_final_nm,CD_error_nm,LER_CD_locked_nm,P_line_margin_fd,mean_cd_error_mc,std_cd_final_mc,mean_ler_mc,std_ler_mc,robust_prob,margin_risk_prob,defect_prob,mean_p_line_margin_mc,balanced_score_nom,balanced_score_mc,nominal_pareto_rank,mc_pareto_rank,pitch_nm,line_cd_ratio,dose_mJ_cm2,sigma_nm,DH_nm2_s,time_s,Hmax_mol_dm3,kdep_s_inv,Q0_mol_dm3,kq_s_inv,abs_len_nm,radar_norm
CD-best,D_4350,11,0.9966666666666673,robust_valid,14.988911865394346,0.011088134605653721,2.5156124875908836,0.20933032835986165,nan,nan,nan,nan,nan,nan,nan,nan,-1.7810047318415105,nan,1,-1,24.0,0.52,56.3290850892663,0.588140532374382,0.37109484542161225,34.71553212031722,0.18373005981557072,0.5580013302154839,0.02029613669961691,1.9054748849011958,50.0,"{'CD_accuracy': 0.9960547637691924, 'LER_quality': 0.01900155989626351, 'MC_CD_stability': 0.0, 'MC_LER_stability': 0.0, 'robustness': 1.0, 'margin': 0.7536906399727218}"
LER-best,D_4836,42,0.9790916666666682,robust_valid,14.46973645792146,0.53026354207854,2.485244478797356,0.12974764958472362,nan,nan,nan,nan,nan,nan,nan,nan,-1.1061084277698894,nan,1,-1,24.0,0.52,54.34673005063087,1.274950417689979,0.46932370979338883,26.47297240793705,0.1758589035831392,0.5585660075768828,0.015073543936014174,1.4207922336645424,50.0,"{'CD_accuracy': 0.8113285045242937, 'LER_quality': 0.030843991670815862, 'MC_CD_stability': 0.0, 'MC_LER_stability': 0.0, 'robustness': 1.0, 'margin': 0.4671544243811429}"
balanced-best,D_2652,8,0.9983000000000006,robust_valid,15.205245250396782,0.2052452503967821,2.523350923566812,0.21524726181695308,0.34445142568963033,0.4171336038658965,2.5419852776763894,0.01768236315459316,1.0,0.0,0.0,0.2158217377096576,-1.0636949940647547,-4.235249268788506,2,1,24.0,0.52,50.27633666899055,0.27707752492278814,0.38451036922633647,36.74058944918215,0.18684964636340737,0.5565899247303605,0.017249463759362697,1.26831394713372,50.0,"{'CD_accuracy': 0.9269722972470337, 'LER_quality': 0.015983848043314874, 'MC_CD_stability': 0.2320465064003956, 'MC_LER_stability': 0.14499017686311733, 'robustness': 1.0, 'margin': 0.7749944682277696}"
margin-best,D_1513,3,0.999925,robust_valid,16.71764533383603,1.7176453338360282,2.5268083951170364,0.2777248892332248,1.6787459312386568,0.4487333559513686,2.5448131084771317,0.019013941175884688,1.0,0.0,0.0,0.275198190874437,0.12777424644022028,-0.6852710489067748,1,1,24.0,0.52,57.739948318339884,0.2753005949780345,0.3883114458993077,31.595399980433285,0.21976879190653564,0.6074707061052322,0.009825902944430708,1.1671670558862388,50.0,"{'CD_accuracy': 0.38884971695128845, 'LER_quality': 0.014635558426291606, 'MC_CD_stability': 0.17387056520069955, 'MC_LER_stability': 0.08060329155125845, 'robustness': 1.0, 'margin': 0.9999442084794369}"
