recipe_id,rank_06c,yield_score_06c,yield_score_06a,fd_label,FD_yield_score_nom,FD_CD_final_nm,FD_CD_locked_nm,FD_LER_CD_locked_nm,FD_P_line_margin,FD_area_frac
D_1243,1,1.0,0.5487685920315793,robust_valid,1.0,15.68720942639349,12.294904736395802,2.5088834665591966,0.19441948718053503,0.6538888888888889
D_812,2,0.9999583333333333,0.29107409922489613,robust_valid,1.0,15.48359812955996,12.416732600572761,2.519599509514687,0.21183317916431255,0.6446354166666667
D_1513,3,0.999925,-0.5017868237462524,robust_valid,0.28235466616397176,16.71764533383603,12.445741201492556,2.5268083951170364,0.2777248892332248,0.6965972222222222
D_3225,4,0.999925,0.5724648721053076,robust_valid,1.0,15.980155804347188,12.46716335938552,2.5217918327530358,0.22527179935319808,0.6661111111111111
D_29,5,0.99985,0.8472249999999996,robust_valid,0.9010207920062729,13.901020792006273,12.192882533501296,2.5436481128846067,0.1774985907001,0.5788888888888889
D_4593,6,0.9996250000000001,0.30472006852890754,robust_valid,1.0,15.897903239310631,12.439979198392166,2.5163410307632375,0.22118572973647888,0.6623263888888888
D_1752,7,0.998716666666667,0.7724273403520433,robust_valid,1.0,15.386677895323164,12.664516434402042,2.5215400715887504,0.20978348696215976,0.6407465277777777
D_2652,8,0.9983000000000006,-0.09898347445695777,robust_valid,1.0,15.205245250396782,12.357722654813111,2.523350923566812,0.21524726181695308,0.6333333333333333
D_1963,9,0.998041666666667,0.8456661476764936,robust_valid,1.0,15.261649682270953,12.571955371206712,2.5110200291859393,0.19444504099271465,0.6359895833333333
D_2899,10,0.9973250000000007,-0.24623404724989528,robust_valid,1.0,15.85618149951038,12.43702513664714,2.5242703108108406,0.22719339068259348,0.6604861111111111
D_4350,11,0.9966666666666673,0.6951913714301111,robust_valid,1.0,14.988911865394346,12.579546246499488,2.5156124875908836,0.20933032835986165,0.6249652777777778
D_3536,12,0.9949750000000009,0.6230583100869789,robust_valid,1.0,14.868895497797837,12.602819108138243,2.5364403418216694,0.20486029563411567,0.6189583333333334
D_2146,13,0.9934750000000017,-0.06749218834091442,robust_valid,1.0,15.379940023944641,12.55604555231243,2.540001483927619,0.2379704999646033,0.6406597222222222
D_1569,14,0.9931166666666686,0.8669583333333342,robust_valid,1.0,14.384578383413281,12.482729125845541,2.512341092692111,0.13995665543069002,0.5990451388888889
D_1457,15,0.9929000000000016,-0.10942664875767394,robust_valid,1.0,15.782879604835077,12.210150242439582,2.519459315602829,0.21389144477054933,0.6574652777777777
D_2564,16,0.9923583333333338,0.8886000000000003,robust_valid,0.6345210757995492,13.63452107579955,12.364430345119086,2.524719653774634,0.1449745765554158,0.5677951388888889
D_884,17,0.992000000000001,-0.7055675672511679,robust_valid,1.0,15.566297592440474,12.491653276524595,2.531972947314206,0.25173888830921576,0.6483333333333333
D_2413,18,0.9917750000000014,-0.35125643309365895,robust_valid,1.0,15.963324930932103,12.518904036363972,2.5247983475777582,0.2328954281222887,0.6652430555555555
D_703,19,0.9916416666666683,0.7939416666666667,robust_valid,0.5027886201937228,13.502788620193723,12.396646853439066,2.5262679938518424,0.1278929562123733,0.5623784722222223
D_3715,20,0.9885083333333342,0.8130738186981297,robust_valid,1.0,14.696784162725416,12.418632043227138,2.5181790750826853,0.17571739825491972,0.6121527777777778
