kind,recipe_id,rank_strict,strict_score,yield_score,p_robust_valid,p_margin_risk,mean_cd_fixed,mean_cd_error,std_cd_fixed,mean_ler_locked,std_ler_locked,mean_p_line_margin,std_p_line_margin,novelty_min_dist_to_06f_reps,pitch_nm,line_cd_ratio,dose_mJ_cm2,sigma_nm,DH_nm2_s,time_s,Hmax_mol_dm3,kdep_s_inv,Q0_mol_dm3,kq_s_inv,abs_len_nm,p_under_exposed,p_merged,p_roughness_degraded,p_numerical_invalid,mean_cd_locked,std_cd_locked,mean_area_frac,std_area_frac,strict_cd_pen,strict_ler_pen,strict_cd_std_pen,strict_ler_std_pen,strict_margin_bonus,cd_error_penalty,ler_penalty
strict-best,G_3691,1.0,0.7712882024965764,0.9909500000000024,0.9958500000000025,0.002266666666666671,14.67235644718304,0.32764355281696034,0.25494015592407715,2.5395883186197286,0.01662945503123095,0.17437234374506627,0.006852618339735076,,24.0,0.52,59.27794052939862,0.19737313874065876,0.48414958752691745,30.64856923185289,0.18177000988274813,0.6312138759531081,0.017799156624823807,0.9048012448474765,50.0,0.0001,0.001783333333333335,0.0,0.0,12.407055299374715,0.2509310684632505,0.6078503752893519,0.010927779219308743,0.0,0.0,0.5098803118481543,0.01662945503123095,0.17437234374506627,0.0,0.0
CD-best,G_2311,60.0,0.5893410985822867,0.9241250000000001,0.9699166666666666,0.009349999999999997,15.007711952733262,0.00771195273326164,0.3689686954744804,2.5434049399160514,0.025678004061800194,0.18809518435066813,0.01616437072931941,,24.0,0.52,56.391260443255305,0.19335319753736258,0.37178356451913713,41.44507609773427,0.19898184922523796,0.4564701094292104,0.012285866690799594,1.5089095500297844,50.0,0.0026333333333333326,0.017399999999999992,0.0006999999999999993,0.0,12.448779494543663,0.28083765463122573,0.6389628891782408,0.038830860945393064,0.0,0.0,0.7379373909489608,0.025678004061800194,0.18809518435066813,0.0,0.0
LER-best,G_829,55.0,0.603344985614801,0.9410416666666678,0.978200000000001,0.0035166666666666666,15.158700703416498,0.158700703416498,0.372266327706695,2.53241601007468,0.020154933714858235,0.1785884540490295,0.014237121276797495,,24.0,0.52,51.34562652558088,1.3784426115453243,0.4245232820510864,31.817496502771974,0.19978442125953733,0.523987567704171,0.011926030134782195,1.6099729086272418,50.0,0.0006333333333333331,0.015316666666666666,0.002333333333333334,0.0,12.426534877114841,0.3165146300571492,0.6299699363425926,0.019583532854687325,0.0,0.0,0.74453265541339,0.020154933714858235,0.1785884540490295,0.0,0.0
balanced-best,G_1226,5.0,0.7363568021215621,0.9996500000000001,0.9998833333333335,0.0,15.516171123538001,0.5161711235380011,0.2596220085987753,2.535420141488495,0.017874252383194015,0.21511723010374995,0.005311759778902529,,24.0,0.52,53.86767695378512,0.7991772992536426,0.33591859573498367,33.01915261428803,0.21817502029240132,0.4995112420059741,0.013306531207635999,1.3187890541739762,50.0,0.0,0.00011666666666666667,0.0,0.0,12.413265985424134,0.2742835812448117,0.6446350260416667,0.012468751147069872,0.032342247076002195,0.0,0.5192440171975506,0.017874252383194015,0.21511723010374995,0.0,0.0
margin-best,G_4299,47.0,0.6143115721574158,0.9971750000000008,0.9983000000000007,0.0015166666666666664,15.02996961469939,0.029969614699389524,0.4280690618506627,2.543407459209342,0.01779231311729609,0.2164071622669029,0.006363630244211229,,24.0,0.52,55.62617867812514,0.06158248521387577,0.3865475097671151,28.919346518814564,0.2160651913192123,0.5580831694416701,0.02315185627900064,1.249629085417837,50.0,0.00018333333333333334,0.0,0.0,0.0,12.418903049998296,0.29261149867344693,0.633428347800926,0.01476503439230783,0.0,0.0,0.8561381237013254,0.01779231311729609,0.2164071622669029,0.0,0.0
novelty,G_3185,4.0,0.7367785111141446,0.9544166666666674,0.9820166666666674,0.005483333333333333,14.690764913233988,0.3092350867660123,0.2521219327324284,2.541714016699912,0.018203675093713904,0.1743424589070509,0.006473679840398883,0.355873003093679,24.0,0.52,54.13421825878322,0.9893885711207986,0.35959234619513153,34.245778415352106,0.16786820678040384,0.6302088879980148,0.02199883854947984,0.6212781914509833,50.0,0.007766666666666673,0.004450000000000001,0.00028333333333333335,0.0,12.45471748435603,0.27628444409208985,0.6135646400462962,0.012012710437656096,0.0,0.0,0.5042438654648568,0.018203675093713904,0.1743424589070509,0.0,0.0
