feature,is_derived,fi_classifier,fi_regressor4,fi_aux_cd_fixed,fi_strict_score
pitch_nm,False,0.04841636193761836,0.022550105514937625,0.011885671187618446,0.011976354351814305
line_cd_ratio,False,0.03754773381004465,0.03157833031342217,0.028281835559354568,0.010967747582792599
dose_mJ_cm2,False,0.08866850581584615,0.001859964352034765,0.12661877478306557,0.08042321969761387
sigma_nm,False,0.08665344487647371,0.0016775034155338334,0.003294091295361125,0.03800717047158332
DH_nm2_s,False,0.03960253727593621,0.005146523773412505,0.007090202798326304,0.00934246228748477
time_s,False,0.037592783055870285,0.0007587747259795288,0.03224476148286892,0.013006611738015924
Hmax_mol_dm3,False,0.028807005730372943,0.0007127043760678196,0.005721750838087382,0.014191575712475072
kdep_s_inv,False,0.05212209186576643,0.0005666774048260975,0.006465703967926553,0.01598865422852586
Q0_mol_dm3,False,0.036863917007317365,0.0005380004049325002,0.03297726539106481,0.020517406661959788
kq_s_inv,False,0.018014920682994602,0.0002673228629426236,0.005614498450825066,0.008484857193384878
abs_len_nm,False,0.018750814862164424,0.0004194208444881197,0.004615230950594587,0.011838143205733656
diffusion_length_nm,True,0.06130379974648739,0.008491056943493119,0.011053246278419146,0.024170341080902838
reaction_budget,True,0.09362687975774144,0.002604829914761075,0.22501866210963492,0.10487604028215958
quencher_budget,True,0.03156086659141491,0.0007485896378674462,0.03335799154620642,0.025857161417564424
blur_to_pitch,True,0.11892285874745166,0.00913518590816833,0.00520682667134367,0.3769868790696745
line_cd_nm_derived,True,0.03433221649660765,0.9017273274501157,0.2684456180280411,0.16655329885757328
DH_x_time,True,0.0677739479294798,0.008435278241277837,0.011031161508983624,0.021558367427082288
Hmax_kdep_ratio,True,0.021475082033969754,0.0006103228109668757,0.0032486240928098977,0.008303539545875545
Q0_kq_ratio,True,0.019143781410101195,0.0005243622852461539,0.007193004542872539,0.010754876897130167
dose_x_blur,True,0.058820450366341134,0.0016477188195259459,0.1706350785165954,0.026195292290653354
