kq_s_inv,t_s,mass_H,mass_Q,acid_loss_integral,neutralization_integral,H_budget,Q_budget,H_budget_relative_error,Q_budget_relative_error
10,32.9688,1.685387,1497.576538,1.640534e+00,1.408233e+02,144.149236,1638.399854,3.765e-08,2.531e-07
10,35.9375,1.489157,1497.403809,1.664139e+00,1.409959e+02,144.149236,1638.399749,3.676e-08,3.170e-07
10,39.0625,1.308804,1497.245239,1.686036e+00,1.411544e+02,144.149236,1638.399635,3.678e-08,3.866e-07
10,42.0312,1.158273,1497.113037,1.704383e+00,1.412866e+02,144.149236,1638.399618,3.688e-08,3.972e-07
10,45.0000,1.025017,1496.995850,1.720619e+00,1.414036e+02,144.149236,1638.399451,3.771e-08,4.993e-07
10,47.9688,0.906735,1496.891968,1.734985e+00,1.415075e+02,144.149236,1638.399484,3.681e-08,4.788e-07
10,50.9375,0.801570,1496.799316,1.747690e+00,1.416000e+02,144.149236,1638.399293,3.743e-08,5.954e-07
10,54.0625,0.703350,1496.712891,1.759470e+00,1.416864e+02,144.149236,1638.399307,3.646e-08,5.866e-07
10,57.0312,0.620539,1496.639893,1.769316e+00,1.417594e+02,144.149236,1638.399274,3.701e-08,6.071e-07
10,60.0000,0.546822,1496.574951,1.777998e+00,1.418244e+02,144.149236,1638.399368,3.689e-08,5.499e-07
