solver,DH_nm2_s,t_s,L_nm,H_peak,H_sum_rel_change,wallclock_s
FD,0.0,0.0,0.000,0.1263,0.000,0.000
FD,0.30,60,6.000,0.1087,0.000000,0.004
FD,0.80,60,9.798,0.0862,0.000000,0.011
FD,1.50,60,13.416,0.0661,0.000000,0.022
