dataset,n_samples,rel_L2_H_final,rel_L2_P_final,iou_mean,iou_min,iou_max,wall_s,ms_per_sample
safe_test,6,8.3580e-01,2.4247e-01,0.0000,0.0000,0.0000,0.1490,24.8335
stiff_full,8,2.2606e+02,9.6588e+01,0.0000,0.0000,0.0000,0.0035,0.4356
