pitch_nm,dose_mJ_cm2,sigma_nm,DH,time_s_set,quencher_mode,status,CD_initial_nm,CD_final_nm,CD_shift_nm,CD_locked_nm,LER_CD_locked_nm,P_threshold_locked,P_line_center_mean,P_space_center_mean,P_line_margin,contrast,area_frac,CD_pitch_frac,psd_locked_mid
18.0,21.0,0.0,0.3,20.0,False,under_exposed,12.458333333333332,6.871977108042527,-5.586356225290805,12.220083489122663,2.8619931213141725,0.35,0.5334126183872505,0.17546969806264018,-0.11658738161274951,0.35794292032461034,0.38349537037037035,0.3817765060023626,3.1315480319490203
18.0,21.0,0.0,0.3,20.0,weak,under_exposed,12.458333333333332,4.502233940096514,-7.956099393236818,12.58470156897797,2.898492111639835,0.3125,0.5106081764335624,0.1593972835296792,-0.13939182356643764,0.3512108929038832,0.24645833333333333,0.25012410778313965,3.3577893391644977
18.0,21.0,0.0,0.3,30.0,False,valid,12.458333333333332,11.675737720194586,-0.7825956131387457,12.479776582926942,3.0958042108800505,0.4671875000000001,0.6612245990069516,0.30154990608216464,0.011224599006951608,0.359674692924787,0.6482407407407408,0.6486520955663659,3.235491209405159
18.0,21.0,0.0,0.3,30.0,weak,under_exposed,12.458333333333332,10.822523834859751,-1.6358094984735807,12.680562097596493,3.096795000218269,0.42500000000000004,0.6317471007734115,0.268878107104104,-0.01825289922658857,0.36286899366930747,0.6008101851851851,0.6012513241588751,3.2650884436893586
18.0,21.0,0.0,0.5,20.0,False,under_exposed,12.458333333333332,5.158485031046804,-7.299848302286528,12.61152233700067,3.2188613392146466,0.35,0.5184825432002752,0.2328487643688405,-0.13151745679972482,0.2856337788314347,0.2826851851851852,0.28658250172482247,3.118030271491481
18.0,21.0,0.0,0.5,20.0,weak,under_exposed,12.458333333333332,2.912970490600049,-9.545362842733283,12.515229584806978,3.1692263439079573,0.33125,0.49602133578121177,0.21335899215900153,-0.15397866421878825,0.2826623436222102,0.06840277777777778,0.16183169392222496,3.1105243326860887
18.0,21.0,0.0,0.5,30.0,False,under_exposed,12.458333333333332,12.074700382229738,-0.3836329511035945,12.243416201083601,3.461016267567234,0.4953125000000001,0.6394720418952087,0.37334093934102985,-0.010527958104791346,0.2661311025541788,0.6719212962962963,0.670816687901652,2.945273779732817
18.0,21.0,0.0,0.5,30.0,weak,under_exposed,12.458333333333332,10.780840520419467,-1.677492812913865,12.62258181418533,3.439429324609808,0.45,0.6097632649431951,0.3375738468991409,-0.04023673505680492,0.2721894180440542,0.5994212962962963,0.5989355844677482,3.148563611137861
18.0,21.0,1.0,0.3,20.0,False,under_exposed,12.459166062958843,6.693125431506805,-5.7660406314520385,12.437903363143421,3.0800839406860705,0.359375,0.5319704938414183,0.2107385735428582,-0.11802950615858177,0.32123192029856007,0.37310185185185185,0.371840301750378,3.231851912756903
18.0,21.0,1.0,0.3,20.0,weak,under_exposed,12.459166062958843,4.24981895509343,-8.209347107865412,12.633770019336962,3.090600423471772,0.33125,0.509164593988749,0.19301862908416229,-0.140835406011251,0.31614596490458674,0.2273148148148148,0.23610105306074614,3.2497268388792593
