Hmax,kdep,DH,status,selectable,CD_locked_nm,LER_CD_locked_nm,P_threshold_locked,cd_lock_status,P_line_center_mean,P_space_center_mean,P_line_margin,contrast,area_frac,CD_pitch_frac,psd_locked_mid,psd_mid_band_reduction_locked_pct,CD_initial_nm,CD_final_nm,CD_shift_nm,LER_design_initial_nm,LER_after_eblur_H0_nm,LER_after_PEB_P_nm,total_LER_reduction_pct,total_LER_reduction_locked_pct,H_peak,H_min,P_max,P_min,distance_to_target
0.15,0.35,0.3,under_exposed,False,12.67920151283084,2.46049931099079,0.35,ok,0.5235578155046365,0.09202290557830674,-0.12644218449536349,0.4315349099263298,0.22416666666666665,0.22488644857583337,1.3933722610866004,69.82736889788436,12.458324199521941,5.397274765820001,-7.061049433701941,2.77190169436708,2.6041346164160317,2.5781763190354865,6.98889775655726,11.23425062328532,0.05872990063302846,0.007736955783072097,0.5386860289254821,0.040014932459253444,0.6424261435910226
0.15,0.35,0.5,under_exposed,False,12.593918033104549,2.475766116120737,0.35,ok,0.5027068749080637,0.1354930333452651,-0.14729312509193637,0.36721384156279857,0.10097222222222223,0.1515272077921996,1.0478806360593622,77.30878046458803,12.458324199521941,3.6366529870127904,-8.821671212509152,2.77190169436708,2.6041346164160317,2.3169044228241544,16.414625109813535,10.683480545076138,0.05254376851832285,0.013510909071374552,0.5229012464975561,0.07724688030825672,0.759061885593398
0.15,0.35,0.8,unstable,False,nan,nan,,unstable_no_crossing,0.47625667185593057,0.18206750649163725,-0.17374332814406945,0.2941891653642933,0.0,nan,nan,nan,12.458324199521941,nan,nan,2.77190169436708,2.6041346164160317,nan,nan,nan,0.04631365704768637,0.019623448232616525,0.4999119955180139,0.12377922899755843,nan
0.15,0.5,0.3,valid,True,12.48419685323466,2.4583352056501733,0.4671875000000001,ok,0.6542202860135439,0.12859691107951893,0.00422028601354385,0.5256233749340249,0.4811284722222222,0.4806847170236233,1.3909364291918072,69.88011536000428,12.458324199521941,11.53643320856696,-0.9218909909549815,2.77190169436708,2.6041346164160317,2.4498054324596152,11.620046358859431,11.312323570281041,0.05872990063302846,0.007736955783072097,0.6699093404159724,0.056681647249813186,0.23724594951143158
0.15,0.5,0.5,under_exposed,False,12.356949909493903,2.4720074238260237,0.4671875000000001,ok,0.6322742971719163,0.18758247817307558,-0.017725702828083723,0.4446918189988407,0.4664583333333333,0.4666558533484224,1.0440694837197142,77.39130865667968,12.458324199521941,11.199740480362138,-1.2585837191598035,2.77190169436708,2.6041346164160317,2.4606825746195784,11.227639146797506,10.819080314084964,0.05254376851832285,0.013510909071374552,0.6535746454619146,0.10853747321043675,0.258088999343254
0.15,0.5,0.8,under_exposed,False,12.436246519903548,2.5883255231245528,0.4625,ok,0.6038717021004841,0.24944862303587226,-0.04612829789951589,0.3544230790646119,0.448125,0.44774923211621886,0.7986456230003813,82.70581348783422,12.458324199521941,10.745981570789253,-1.7123426287326886,2.77190169436708,2.6041346164160317,2.5769450430911767,7.033317655964658,6.622751867989458,0.04631365704768637,0.019623448232616525,0.6293678578130467,0.17211326713901198,0.2836367723312452
0.15,0.65,0.3,robust_valid,True,12.445110257354699,2.4579658895324488,0.5609375,ok,0.7494763260654436,0.1635691985146022,0.09947632606544354,0.5859071275508414,0.5795138888888889,0.5790364869057812,1.39041579199969,69.89138944258403,12.458324199521941,13.896875685738749,1.4385514862168076,2.77190169436708,2.6041346164160317,2.478089833154785,10.59964939627422,11.325647135055183,0.05872990063302846,0.007736955783072097,0.7642569063816951,0.07306574338428425,0.09161137191517466
0.15,0.65,0.5,robust_valid,True,12.358716460414582,2.4720440237920647,0.559375,ok,0.7284889160767904,0.23641765345252136,0.07848891607679043,0.4920712626242691,0.5869791666666667,0.5868203381463175,1.0444683712317901,77.38267098956858,12.458324199521941,14.08368811551162,1.6253639159896789,2.77190169436708,2.6041346164160317,2.512999662424047,9.340231382273075,10.817759922163585,0.05254376851832285,0.013510909071374552,0.748902102340376,0.13878976034475757,0.07844539116782141
0.15,0.65,0.8,robust_valid,True,12.239006402441717,2.5847449156734377,0.559375,ok,0.7007710930501164,0.31121214147529924,0.0507710930501164,0.3895589515748172,0.6029513888888889,0.602482516362174,0.7968489382380289,82.74471960650416,12.458324199521941,14.459580392692175,2.0012561931702333,2.77190169436708,2.6041346164160317,2.667988941799534,3.748789243814531,6.751926991998778,0.04631365704768637,0.019623448232616525,0.7257446788979314,0.21783362756506533,0.03650261056091308
0.18,0.35,0.3,under_exposed,False,12.550094128207062,2.4581594319811275,0.41250000000000003,ok,0.5951070730472121,0.11035097551836749,-0.05489292695278791,0.48475609752884463,0.39899305555555553,0.3982871498536411,1.3851048863702344,70.00639388242463,12.458324199521941,9.558891596487387,-2.8994326030345547,2.77190169436708,2.6041346164160317,2.443029208891792,11.864507538041707,11.318664836618261,0.07284439306327908,0.00943659177782791,0.6108723228637436,0.04818239383935717,0.3668199285832956
