sigma_nm,time_s,DH_nm2_s,kdep_s_inv,Hmax_mol_dm3,H_peak,H_min,P_max,P_min,P_space_min,P_space_center_mean,P_line_max,P_line_center_mean,contrast,P_mean,area_P_gt_threshold_nm2,area_frac,CD_initial_nm,CD_final_nm,CD_shift_nm,CD_pitch_frac,LER_initial_nm,LER_final_nm,cond_space,cond_line,cond_contrast,cond_area,cond_cd,cond_metrics,passed
0.0,30.0,0.5,0.5,0.2,0.0885615451017513,0.021259958476125895,0.8104885903176315,0.11938808017516366,0.12204177626301968,0.21006022518366654,0.8098014413477101,0.7922139688794154,0.5821537436957489,0.5500916274007961,8549.5,0.5937152777777778,12.458333333333332,14.246859439171104,1.7885261058377715,0.593619143298796,2.77190169436708,2.531092523620566,True,True,True,True,True,True,True
1.0,30.0,0.5,0.5,0.2,0.08960749347205371,0.024099735235057915,0.81127689749602,0.1442959088722127,0.14724825133732927,0.24547857376170043,0.8106255592890473,0.7941136879944374,0.5486351142327369,0.5718533444962376,9049.25,0.6284201388888889,12.458354738027225,15.080649018258416,2.6222942802311913,0.6283603757607673,2.710923041420645,2.5560187975256614,True,True,True,True,True,True,True
2.0,30.0,0.5,0.5,0.2,0.08920350635639261,0.02869687494315387,0.8080597263239884,0.19539957574318711,0.19877206834120073,0.310926860586319,0.8073767922902383,0.7898602439119002,0.4789333833255812,0.5980740291259591,9773.0,0.6786805555555555,12.458324199521941,16.291935924980645,3.833611725458704,0.6788306635408602,2.6041346164160317,2.673347512521661,True,True,True,True,True,True,True
3.0,30.0,0.5,0.5,0.2,0.08796840378424889,0.03470110066641622,0.8003267888434055,0.2764306856570909,0.2799981940607091,0.39780212019246014,0.7995828881261148,0.7797526303377291,0.381950510145269,0.6244553452336132,11012.0,0.7647222222222222,12.460708547320328,18.308368679331714,5.847660132011386,0.7628486949721548,2.4653748951043815,3.3958887894639944,True,True,True,True,True,True,True
0.0,20.0,0.8,0.5,0.2,0.09139339728009606,0.02410341763044179,0.6753401840377512,0.0940556791341094,0.09599287354561628,0.16189607584530294,0.6745147934127804,0.6533603181106774,0.49146424226537444,0.4376932822861396,6777.0,0.470625,12.458333333333332,11.282798463714304,-1.1755348696190282,0.4701166026547627,2.77190169436708,2.5055015996212453,True,True,True,True,True,True,True
1.0,20.0,0.8,0.5,0.2,0.09259335510035141,0.027095861851923576,0.676490358699823,0.11256047630637857,0.11470871191672025,0.1883826068990545,0.6757082575551902,0.6558310636537245,0.46744845675466995,0.45548418821012787,7084.75,0.4919965277777778,12.458354738027225,11.800932003057412,-0.6574227349698134,0.49170550012739217,2.710923041420645,2.4933707870095736,True,True,True,True,True,True,True
2.0,20.0,0.8,0.5,0.2,0.09241130467243126,0.031830108670442336,0.6728801348063362,0.14993629729530256,0.152388023572559,0.23711934617253147,0.672074891896632,0.6513787386972861,0.41425939252475463,0.4758208220895248,7375.0,0.5121527777777778,12.458324199521941,12.287973704837913,-0.17035049468402796,0.5119989043682464,2.6041346164160317,2.4911558475082187,True,True,True,True,True,True,True
3.0,20.0,0.8,0.5,0.2,0.09134704231939389,0.037942676521333596,0.6641657488614472,0.2092728783625691,0.21189963429911807,0.3029729960708497,0.6633158394893569,0.6406182822347611,0.33764528616391143,0.4962227326372437,7726.75,0.5365798611111111,12.460708547320328,12.884509934629918,0.4238013873095898,0.5368545806095799,2.4653748951043815,2.5686353399930684,True,False,True,True,True,True,False
