domain,variable,metric,anchor_value,span_pct
xy,dose_mJ_cm2,CD_final_nm,14.527181125473186,62.59275136124266
xy,dose_mJ_cm2,LER_CD_locked_nm,2.4708961622430103,0.7823184529703969
xy,dose_mJ_cm2,P_line_margin,0.09550847259722162,269.9622979193011
xy,dose_mJ_cm2,area_frac,0.6056597222222222,62.38605744424698
xy,dose_mJ_cm2,contrast,0.4996126432254625,17.277011562533374
xy,electron_blur_sigma_nm,CD_final_nm,14.527181125473186,18.159695599847314
xy,electron_blur_sigma_nm,LER_CD_locked_nm,2.4708961622430103,2.1460623253687627
xy,electron_blur_sigma_nm,P_line_margin,0.09550847259722162,17.841904308743306
xy,electron_blur_sigma_nm,area_frac,0.6056597222222222,18.058820157083073
xy,electron_blur_sigma_nm,contrast,0.4996126432254625,37.09475622205638
xy,DH_nm2_s,CD_final_nm,14.527181125473186,5.463321938464734
xy,DH_nm2_s,LER_CD_locked_nm,2.4708961622430103,5.339993853638883
xy,DH_nm2_s,P_line_margin,0.09550847259722162,50.81671262455163
xy,DH_nm2_s,area_frac,0.6056597222222222,5.403313650174848
xy,DH_nm2_s,contrast,0.4996126432254625,40.491779421339096
xz,dose_mJ_cm2,H0_z_modulation_pct,52.052567276169206,43.67441907437731
xz,dose_mJ_cm2,P_final_z_modulation_pct,20.335369341802522,86.4496233548606
xz,dose_mJ_cm2,modulation_reduction_pct,60.93301367075416,25.911286040768108
xz,dose_mJ_cm2,top_bottom_asymmetry,0.18475911916243914,76.37095897131293
xz,dose_mJ_cm2,LER_CD_locked_nm,2.3530463041509373,17.432210352879338
xz,dose_mJ_cm2,psd_mid_locked,1.454384253404998,35.00641292743011
xz,electron_blur_sigma_nm,H0_z_modulation_pct,52.052567276169206,1.3823546489054952
xz,electron_blur_sigma_nm,P_final_z_modulation_pct,20.335369341802522,8.276903715849192
xz,electron_blur_sigma_nm,modulation_reduction_pct,60.93301367075416,4.393808832733625
xz,electron_blur_sigma_nm,top_bottom_asymmetry,0.18475911916243914,7.466253840775835
xz,electron_blur_sigma_nm,LER_CD_locked_nm,2.3530463041509373,69.2919661303392
xz,electron_blur_sigma_nm,psd_mid_locked,1.454384253404998,129.08492604613588
xz,absorption_length_nm,H0_z_modulation_pct,52.052567276169206,151.59749608731516
xz,absorption_length_nm,P_final_z_modulation_pct,20.335369341802522,220.7448372113555
xz,absorption_length_nm,modulation_reduction_pct,60.93301367075416,43.042486889272254
xz,absorption_length_nm,top_bottom_asymmetry,0.18475911916243914,190.7815529177004
xz,absorption_length_nm,LER_CD_locked_nm,2.3530463041509373,185.02114538860738
xz,absorption_length_nm,psd_mid_locked,1.454384253404998,484.2078031795866
xz,DH_nm2_s,H0_z_modulation_pct,52.052567276169206,0.0
xz,DH_nm2_s,P_final_z_modulation_pct,20.335369341802522,8.094451695061942
xz,DH_nm2_s,modulation_reduction_pct,60.93301367075416,5.189729092055449
xz,DH_nm2_s,top_bottom_asymmetry,0.18475911916243914,7.267331734302136
xz,DH_nm2_s,LER_CD_locked_nm,2.3530463041509373,26.57010353682087
xz,DH_nm2_s,psd_mid_locked,1.454384253404998,43.50351557576797
