domain,variable,value,status,P_final_z_modulation_pct,H0_z_modulation_pct,modulation_reduction_pct,CD_final_nm,area_frac,contrast,P_line_margin,psd_mid_locked,LER_CD_locked_nm,top_bottom_asymmetry
xy,dose_mJ_cm2,21,under_exposed,,,,8.090904118228268,0.3375520833333333,0.41813084286762714,-0.08296880287065567,,2.466694733556305,
xy,dose_mJ_cm2,28.4,valid,,,,11.743171157995759,0.48918402777777775,0.4661344108513712,0.006430508565422377,,2.467998603582617,
xy,dose_mJ_cm2,40,robust_valid,,,,14.527181125473186,0.6056597222222222,0.4996126432254625,0.09550847259722162,,2.4708961622430103,
xy,dose_mJ_cm2,44.2,robust_valid,,,,15.219310883200137,0.6340277777777777,0.504275036153305,0.1178943183308565,,2.477080194318891,
xy,dose_mJ_cm2,59,robust_valid,,,,17.07866453135271,0.7108680555555555,0.5044489770055689,0.17219205669823923,,2.482741078037786,
xy,dose_mJ_cm2,60,robust_valid,,,,17.183866479893073,0.7153993055555555,0.5038771485458119,0.1748680644604298,,2.4860250101872694,
xy,electron_blur_sigma_nm,0,robust_valid,,,,13.018339635238231,0.54296875,0.591190710819826,0.09877736674808146,,2.52392313387989,
xy,electron_blur_sigma_nm,1,robust_valid,,,,13.698084518565286,0.5711805555555556,0.5630492419933335,0.10066514243635871,,2.497682917351274,
xy,electron_blur_sigma_nm,2,robust_valid,,,,14.527181125473186,0.6056597222222222,0.4996126432254625,0.09550847259722162,,2.4708961622430103,
xy,electron_blur_sigma_nm,3,robust_valid,,,,15.656431506862635,0.65234375,0.4058606187607684,0.08362461214882011,,2.506158977307397,
xy,DH_nm2_s,0.3,robust_valid,,,,14.253912554723376,0.5939930555555556,0.5964612335088799,0.11637438168283043,,2.456604900261986,
xy,DH_nm2_s,0.5,robust_valid,,,,14.527181125473186,0.6056597222222222,0.4996126432254625,0.09550847259722162,,2.4708961622430103,
xy,DH_nm2_s,0.8,robust_valid,,,,15.04757922819186,0.62671875,0.3941591840529038,0.06784011563100167,,2.5885506034555616,
xz,dose_mJ_cm2,21,,31.158039138523634,64.22504691037041,51.48615588867316,,,,,1.6499287456077478,2.5019493175036613,0.26854798526655715
xz,dose_mJ_cm2,28.4,,26.273918099679406,59.2166590210179,55.63086716804819,,,,,1.5860903928017218,2.4543311609949874,0.23192193999896493
xz,dose_mJ_cm2,40,,20.335369341802522,52.052567276169206,60.93301367075416,,,,,1.454384253404998,2.3530463041509373,0.18475911916243914
xz,dose_mJ_cm2,44.2,,18.606598038970137,49.6542320203955,62.52766928037983,,,,,1.4171549246936137,2.3238630680615535,0.17047147761589004
xz,dose_mJ_cm2,59,,13.83955755425543,41.96975528635008,67.02492673633364,,,,,1.1408009883092727,2.091761336063417,0.12973655450898613
xz,dose_mJ_cm2,60,,13.578188934715554,41.49139053920408,67.2746833541626,,,,,1.2490994518570828,2.1871494209784785,0.12744567417525157
xz,electron_blur_sigma_nm,0,,19.59676693465019,52.024034840032826,62.33132052347014,,,,,0.5080787722517678,1.388095516199773,0.17866826501444785
xz,electron_blur_sigma_nm,1,,19.80775961660194,52.02403484339359,61.9257528251535,,,,,0.8117124165888441,1.7595090412019936,0.1804192223725532
xz,electron_blur_sigma_nm,2,,20.335369341802522,52.052567276169206,60.93301367075416,,,,,1.454384253404998,2.3530463041509373,0.18475911916243914
xz,electron_blur_sigma_nm,3,,21.2799058753335,52.74358592364961,59.654040386753756,,,,,2.385469610186255,3.018567564303239,0.19246284984509707
xz,absorption_length_nm,15,,50.13279751363908,101.58792718797339,50.6508313523557,,,,,7.168244591727694,5.025764304047568,0.40216692600098886
xz,absorption_length_nm,20,,34.24538092807602,76.02395320188343,54.95448541443697,,,,,3.550335197153877,3.6282154942366764,0.2932186041620126
xz,absorption_length_nm,30,,20.335369341802522,52.052567276169206,60.93301367075416,,,,,1.454384253404998,2.3530463041509373,0.18475911916243914
xz,absorption_length_nm,50,,10.99089973271785,34.69091007469169,68.3176379372759,,,,,0.4644669396759998,1.335238914486766,0.1040084923627226
xz,absorption_length_nm,100,,5.243519563749214,22.677538548135686,76.87791577282853,,,,,0.12600254852552134,0.6721310805832098,0.04968060930582284
xz,DH_nm2_s,0.3,,21.054236047380915,52.052567276169206,59.5519738043353,,,,,1.1867100520478948,2.0680105466455037,0.19052922691573929
xz,DH_nm2_s,0.5,,20.335369341802522,52.052567276169206,60.93301367075416,,,,,1.454384253404998,2.3530463041509373,0.18475911916243914
xz,DH_nm2_s,0.8,,19.408199398996274,52.052567276169206,62.71423214147255,,,,,1.8194183322594548,2.6932173859277446,0.17710216881683025
