sigma_nm,time_s,DH_nm2_s,kdep_s_inv,Hmax_mol_dm3,H_peak,H_min,P_max,P_min,P_space_min,P_space_center_mean,P_line_max,P_line_center_mean,contrast,P_mean,area_P_gt_threshold_nm2,area_frac,CD_initial_nm,CD_final_nm,CD_shift_nm,CD_pitch_frac,LER_initial_nm,LER_final_nm,cond_space,cond_line,cond_contrast,cond_area,cond_cd,cond_metrics,passed
0.0,15.0,0.3,0.5,0.2,0.11586008220872199,0.001693849934267081,0.6031812272697089,0.0026814822580170875,0.002988240117711285,0.018033821736602174,0.6030689477366741,0.5985849119850535,0.5805510902484513,0.3401389133120488,5982.0,0.41541666666666666,12.458333333333332,9.913882808576181,-2.544450524757151,0.41307845035734087,2.77190169436708,2.590458560854295,True,False,True,True,True,True,False
0.0,20.0,0.3,0.5,0.2,0.11080523027730295,0.00405084772302813,0.7021573285720091,0.009968906924840691,0.010759125107481862,0.0415772402864152,0.701911065636824,0.6944912455102701,0.6529140052238549,0.412514240297385,7023.25,0.48772569444444447,12.458333333333332,11.732212962468617,-0.7261203708647148,0.4888422067695257,2.77190169436708,2.5880986070743477,True,True,True,True,True,True,True
0.0,30.0,0.3,0.5,0.2,0.09979046013220881,0.00973888671672169,0.8250787530723286,0.04411327354687916,0.04610912323732065,0.11371997684366729,0.824617966038483,0.813832484011558,0.7001125071678908,0.5273498060580292,8250.75,0.57296875,12.458333333333332,13.774334037050277,1.316000703716945,0.5739305848770949,2.77190169436708,2.549148205994257,True,True,True,True,True,True,True
0.0,45.0,0.3,0.5,0.2,0.08456538048195761,0.01726200785564751,0.9127688497329408,0.13836791916014837,0.14187583177215576,0.25489634682861917,0.9123341821490576,0.9012535394666228,0.6463571926380036,0.6528336197740492,9835.25,0.6830034722222222,12.458333333333332,16.403206939801542,3.94487360646821,0.6834669558250642,2.77190169436708,2.578856382383381,True,True,True,True,True,True,True
0.0,60.0,0.3,0.5,0.2,0.07223952337741005,0.02239661236988932,0.9516678337951482,0.2592812187454379,0.26357332753542895,0.39928559645188816,0.9513393058835956,0.9419880723378444,0.5427024758859562,0.7425388061356648,11769.0,0.8172916666666666,12.458333333333332,19.564950062546465,7.106616729213133,0.8152062526061027,2.77190169436708,3.169334172393725,True,True,True,True,True,True,True
0.0,15.0,0.5,0.5,0.2,0.11072403839280012,0.007210585070736555,0.5985083227056406,0.015230852958148983,0.016115227687511502,0.04776552725303222,0.5980808494162675,0.5875171124221943,0.5397515851691621,0.347619103711271,5518.25,0.38321180555555556,12.458333333333332,9.171818635892125,-3.2865146974412074,0.38215910982883855,2.77190169436708,2.5223926130543313,True,False,True,True,True,True,False
0.0,20.0,0.5,0.5,0.2,0.10281627557195687,0.012393788524445892,0.6933602427187757,0.039759548537347034,0.04130914862254035,0.09395019358523451,0.6927395037426778,0.6782959407479366,0.5843457471627022,0.4251083837587804,6919.25,0.4805034722222222,12.458333333333332,11.530150328536436,-0.928183004796896,0.48042293035568484,2.77190169436708,2.528105492821075,True,True,True,True,True,True,True
0.0,30.0,0.5,0.5,0.2,0.0885615451017513,0.021259958476125895,0.8104885903176315,0.11938808017516366,0.12204177626301968,0.21006022518366654,0.8098014413477101,0.7922139688794154,0.5821537436957489,0.5500916274007961,8549.5,0.5937152777777778,12.458333333333332,14.246859439171104,1.7885261058377715,0.593619143298796,2.77190169436708,2.531092523620566,True,True,True,True,True,True,True
0.0,45.0,0.5,0.5,0.2,0.07291199767919436,0.029569542143908667,0.8964878812075358,0.2759258745862201,0.27934569340438825,0.3929443917830197,0.8959409358499932,0.8794190298946881,0.4864746381116684,0.6853219415892907,11162.5,0.7751736111111112,12.458333333333332,18.582382984969495,6.124049651636163,0.7742659577070623,2.77190169436708,3.244192684442384,True,True,True,True,True,True,True
0.0,60.0,0.5,0.5,0.2,0.06237831905105715,0.03342634008022993,0.9374774844171316,0.4303288366956602,0.43373313595867086,0.5478043562821535,0.9370855837897795,0.9233611580294837,0.3755568017473302,0.7773348388438013,14046.25,0.9754340277777778,12.458333333333332,23.00839299912912,10.55005966579579,0.9586830416303801,2.77190169436708,1.5093097776822924,False,True,True,False,False,True,False
0.0,15.0,0.8,0.5,0.2,0.10122697126684921,0.017008624739535863,0.586411521169234,0.04496399596563931,0.046325042071569345,0.09271459118506568,0.585682656374019,0.5684089476570845,0.4756943564720188,0.3556299117977617,4942.0,0.34319444444444447,12.458333333333332,8.221258321920116,-4.237075011413216,0.34255243008000485,2.77190169436708,2.4930753464309428,True,False,True,True,True,True,False
0.0,20.0,0.8,0.5,0.2,0.09139339728009606,0.02410341763044179,0.6753401840377512,0.0940556791341094,0.09599287354561628,0.16189607584530294,0.6745147934127804,0.6533603181106774,0.49146424226537444,0.4376932822861396,6777.0,0.470625,12.458333333333332,11.282798463714304,-1.1755348696190282,0.4701166026547627,2.77190169436708,2.5055015996212453,True,True,True,True,True,True,True
