sigma_nm,time_s,DH_nm2_s,kdep_s_inv,Hmax_mol_dm3,H_peak,H_min,P_max,P_min,P_space_min,P_space_center_mean,P_line_max,P_line_center_mean,contrast,P_mean,area_P_gt_threshold_nm2,area_frac,CD_initial_nm,CD_final_nm,CD_shift_nm,CD_pitch_frac,LER_initial_nm,LER_final_nm,cond_space,cond_line,cond_contrast,cond_area,cond_cd,cond_metrics,passed
5.0,10.0,0.3,0.5,0.2,0.10514537570079265,0.034701846301769985,0.42663492902781197,0.1483253059410372,0.14995299222578334,0.20701880788783616,0.4259422538462648,0.4059862140008631,0.19896740611302693,0.31761810556626374,0.0,0.0,12.615903031650555,nan,nan,nan,2.4907636138216254,nan,True,False,True,True,False,False,False
5.0,15.0,0.3,0.5,0.2,0.1005901512814294,0.0369287789699674,0.5578618989072481,0.22188061998113678,0.22398269582169095,0.298588063532927,0.5570789383456578,0.5337953001464137,0.23520723661348675,0.43062251388190653,4312.75,0.2994965277777778,12.615903031650555,7.205406545471691,-5.4104964861788645,0.3002252727279871,2.4907636138216254,2.935474798240145,True,False,True,True,True,True,False
5.0,20.0,0.3,0.5,0.2,0.09631940525630567,0.038706377026607855,0.6551655940675024,0.292614060923744,0.295022661725331,0.3813558788616928,0.6543739094946297,0.6300225754162126,0.24866669655451984,0.5222287953719207,8610.75,0.59796875,12.615903031650555,14.357112408780864,1.7412093771303088,0.598213017032536,2.4907636138216254,2.8703566390776056,True,False,True,True,True,True,False
5.0,30.0,0.3,0.5,0.2,0.0886419905218439,0.04118856138669991,0.7835415273749557,0.4217619363437068,0.42442365355823697,0.5212086144817801,0.7828439769339754,0.7598205440095113,0.23861192952773114,0.6585909245198531,13758.75,0.95546875,12.615903031650555,22.566085576884372,9.950182545233817,0.9402535657035155,2.4907636138216254,2.2410902956900567,False,True,True,False,False,True,False
5.0,10.0,0.8,0.5,0.2,0.09900905532760758,0.044019932049003195,0.4161072863799036,0.17241189948323266,0.17376682165799284,0.2264544645740489,0.41544109482766606,0.3946466547370114,0.16819219016296247,0.3185838066817381,0.0,0.0,12.615903031650555,nan,nan,nan,2.4907636138216254,nan,True,False,True,True,False,False,False
5.0,15.0,0.8,0.5,0.2,0.09280018276288263,0.04824756784629119,0.5412892447486904,0.26370563093161276,0.2653258610006149,0.3307131974750323,0.5403612193076386,0.5158008828902706,0.1850876854152383,0.43279423596647393,3010.75,0.2090798611111111,12.615903031650555,6.019520814520588,-6.5963822171299675,0.2508133672716912,2.4907636138216254,2.9246983918214857,True,False,True,True,True,True,False
5.0,20.0,0.8,0.5,0.2,0.0875958927711371,0.05106631244617103,0.6345221499268521,0.35056305480966593,0.35229467105763884,0.42401532676565,0.633646001089484,0.6071631838954481,0.1831478571297981,0.525704873534213,9088.25,0.6311284722222222,12.615903031650555,15.145542145581967,2.5296391139314114,0.6310642560659153,2.4907636138216254,3.7202982902172863,True,False,True,True,True,True,False
5.0,30.0,0.8,0.5,0.2,0.07945772165131249,0.05381474054641816,0.7598389845348135,0.5021512410704027,0.5038490951732832,0.5762950755492383,0.75914815674981,0.7326938130152979,0.1563987374660596,0.6641515959973733,14400.0,1.0,12.615903031650555,23.5,10.884096968349445,0.9791666666666666,2.4907636138216254,0.0,False,True,True,False,False,True,False
