thickness_nm,amplitude,absorption_length_nm,DH_nm2_s,H0_z_modulation_pct,H0_z_modulation_sw_only_pct,P_final_z_modulation_pct,modulation_reduction_pct,top_bottom_asymmetry,sidewall_x_displacement_std_nm,psd_mid_band_locked,P_threshold_locked,CD_locked_nm,cd_lock_status,H_min,P_min,P_max,bounds_ok
15.0,0.0,15.0,0.3,70.48909601100584,0.0,32.08255532911654,54.485789796329186,0.27793504212782816,3.0335062696791395,6.943018075370226,0.44999999999999996,12.40255989324146,ok,0.010349974730142113,0.09308603290531278,0.7393973115150995,True
15.0,0.0,15.0,0.5,70.48909601100584,0.0,29.585448320002065,58.028333466806366,0.2587905732824647,3.220184071663244,7.860764499720929,0.44999999999999996,12.333052193585548,ok,0.01590705195815664,0.14674320381730518,0.7096898923926893,True
15.0,0.0,15.0,0.8,70.48909601100584,0.0,26.610042726577213,62.2494197933501,0.23553344300501425,3.3854008860927287,8.714038479842234,0.44609375000000007,12.484364355996146,ok,0.021821392345682224,0.2080345076201039,0.6713812480405352,True
15.0,0.0,30.0,0.3,32.746697543299184,0.0,13.12772502649531,59.9113009513792,0.12342026053859993,1.434687223839976,1.5597003594547152,0.5265624999999999,12.440312103527809,ok,0.014796296830350402,0.1329470092146057,0.7564537135573928,True
15.0,0.0,30.0,0.5,32.746697543299184,0.0,12.227570875973601,62.6601404315481,0.11539668753958032,1.4580836096104506,1.6161284879886666,0.5125,12.73317377556901,ok,0.021887226564282405,0.20060300599547162,0.7321713228848575,True
15.0,0.0,30.0,0.8,32.746697543299184,0.0,11.128336572668067,66.0169195444711,0.10552643868248494,1.6303945486004916,2.0287092469713732,0.5234375000000001,12.251527372088404,ok,0.028906575611472838,0.27241184109521405,0.6999747365150776,True
15.0,0.0,60.0,0.3,15.541907021506619,0.0,5.805328063618752,62.64726036782075,0.05644429066331943,0.6924808001625617,0.36354701755506824,0.5609375,12.515907935290727,ok,0.01762925568595654,0.15781369392123876,0.7647911224454291,True
15.0,0.0,60.0,0.5,15.541907021506619,0.0,5.4385264149151675,65.0073417155988,0.05296630986584161,0.7352666905747339,0.4118880505431736,0.559375,12.388885884096112,ok,0.02559262289712448,0.23274207679740266,0.743214474456766,True
15.0,0.0,60.0,0.8,15.541907021506619,0.0,4.982583003381135,67.94098049559604,0.048628471944936656,0.771783427433466,0.4544667902041857,0.5515625,12.544564334649206,ok,0.03319493805453905,0.30933826810619935,0.7141470298091238,True
15.0,0.0,100.0,0.3,9.100366588409457,0.0,3.302749837622305,63.70750776316196,0.03249699627372512,0.41733591765109523,0.1322028432205649,0.578125,12.444277772982488,ok,0.018887869729032357,0.16873959092884072,0.7680788656060462,True
15.0,0.0,100.0,0.5,9.100366588409457,0.0,3.1013566488800826,65.92053057697612,0.030544395587584636,0.4428486790755831,0.14950787041277225,0.575,12.340741188422815,ok,0.02721354550535663,0.24653063950924062,0.7475717398272902,True
15.0,0.0,100.0,0.8,9.100366588409457,0.0,2.849041638203622,68.69311131012832,0.028093201858545136,0.46119783726517494,0.16237031585505352,0.5671875,12.473419822952698,ok,0.035047659143594326,0.3248562606599252,0.7197518833705617,True
15.0,0.05,15.0,0.3,73.74363054482116,3.254534533815317,31.38043200617714,57.44658653996671,0.2716468019541212,2.9464267945847946,6.563497644899225,0.44999999999999996,12.442950788788028,ok,0.01043666202902066,0.09426074338027295,0.741029523432619,True
15.0,0.05,15.0,0.5,73.74363054482116,3.254534533815317,28.986214785460287,60.693263172278236,0.25353059829818714,3.1379833124251704,7.473617967806947,0.44999999999999996,12.37430259646083,ok,0.016000844226419047,0.14799743084585823,0.7107220122446947,True
15.0,0.05,15.0,0.8,73.74363054482116,3.254534533815317,26.10547723604744,64.59968536512369,0.23113799869311527,3.306238364578011,8.319962843905842,0.44609375000000007,12.528611997332703,ok,0.021915702313562033,0.20928362096761272,0.6720731151252989,True
15.0,0.05,30.0,0.3,35.448506477001665,2.7018089337024804,12.539999463704843,64.62474527145294,0.1178128207696686,1.3716978909492479,1.4266373671359303,0.5265624999999999,12.471496996944964,ok,0.014930964069746542,0.13467174628999995,0.7579452291452093,True
15.0,0.05,30.0,0.5,35.448506477001665,2.7018089337024804,11.705152554582082,66.97984282588557,0.11046673316715745,1.4779522346555993,1.6640671087410372,0.528125,12.26030719109826,ok,0.02202927793003723,0.2023780304142139,0.7330914949189866,True
15.0,0.05,30.0,0.8,35.448506477001665,2.7018089337024804,10.671570168271483,69.89557183404892,0.1012349006121286,1.503294909320616,1.7241072433949007,0.5125,12.738014328767072,ok,0.0290460831764703,0.27411365465157855,0.700584646055925,True
15.0,0.05,60.0,0.3,18.03515429066026,2.49324726915364,5.317834731108533,70.51406023256233,0.05166522221396163,0.64279247191584,0.313216753058723,0.5609375,12.542705986445082,ok,0.017792657837817093,0.15985549014165568,0.7662189282695201,True
15.0,0.05,60.0,0.5,18.03515429066026,2.49324726915364,4.9906123632645345,72.32841880455112,0.04860155888096422,0.6821077364207182,0.3546824872230128,0.559375,12.419062894493212,ok,0.025761471155123825,0.23478871259337342,0.744083663031483,True
15.0,0.05,60.0,0.8,18.03515429066026,2.49324726915364,4.580170516342751,74.60420663706408,0.0447167448749564,0.7327773231935917,0.4106014175057976,0.559375,12.266772064748537,ok,0.03335786360195422,0.31125094385498653,0.7147184751234477,True
15.0,0.05,100.0,0.3,12.231058855453,3.1306922670435426,2.883635504305451,76.42366422740389,0.028117516961057985,0.37177473890020274,0.1051772357929448,0.578125,12.470966725350845,ok,0.019063309962427964,0.1709127183802715,0.7694824173917001,True
15.0,0.05,100.0,0.5,12.231058855453,3.1306922670435426,2.687678998827974,78.02578639681944,0.026467906004422455,0.392299454013274,0.11762228801293347,0.575,12.370862669690435,ok,0.02739300257381316,0.2486823810613923,0.7484214209457708,True
15.0,0.05,100.0,0.8,12.231058855453,3.1306922670435426,2.4725917987273283,79.7843193467672,0.02438897991954958,0.40580118368749635,0.12592795110607014,0.5671875,12.508940254896554,ok,0.03521935698350728,0.32684389330555713,0.7203082010051414,True
15.0,0.1,15.0,0.3,76.84087444302364,6.351778432017795,30.684651913579422,60.067279119355106,0.2654257478478929,2.8701745831113934,6.241687997811077,0.44999999999999996,12.475956924917345,ok,0.01052019724538578,0.09541464887973539,0.7423947804130897,True
