sweep,x_var,y_var,x_val,y_val,CD_final_nm,CD_locked_nm,LER_CD_locked_nm,P_line_margin,area_frac,contrast,psd_locked_mid,status
anchor,,,,,14.527181125473186,12.31041177549831,2.4708961622430103,0.09550847259722162,0.6056597222222222,0.4996126432254625,1.0323447669340082,robust_valid
oat:dose_mJ_cm2,dose_mJ_cm2,,21,,8.090904118228268,12.385841746873705,2.466694733556305,-0.08296880287065567,0.3375520833333333,0.41813084286762714,1.0537974228775757,under_exposed
oat:dose_mJ_cm2,dose_mJ_cm2,,28.4,,11.743171157995759,12.353616596459904,2.467998603582617,0.006430508565422377,0.48918402777777775,0.4661344108513712,1.043923986632937,valid
oat:dose_mJ_cm2,dose_mJ_cm2,,40,,14.527181125473186,12.31041177549831,2.4708961622430103,0.09550847259722162,0.6056597222222222,0.4996126432254625,1.0323447669340082,robust_valid
oat:dose_mJ_cm2,dose_mJ_cm2,,44.2,,15.219310883200137,12.60343697641633,2.477080194318891,0.1178943183308565,0.6340277777777777,0.504275036153305,1.0349040332647619,robust_valid
oat:dose_mJ_cm2,dose_mJ_cm2,,59,,17.07866453135271,12.558978599355179,2.482741078037786,0.17219205669823923,0.7108680555555555,0.5044489770055689,1.0261517237506474,robust_valid
oat:dose_mJ_cm2,dose_mJ_cm2,,60,,17.183866479893073,12.682301228261867,2.4860250101872694,0.1748680644604298,0.7153993055555555,0.5038771485458119,1.0289265895703728,robust_valid
oat:electron_blur_sigma_nm,electron_blur_sigma_nm,,0,,13.018339635238231,12.500378145255844,2.52392313387989,0.09877736674808146,0.54296875,0.591190710819826,1.8382643902982647,robust_valid
oat:electron_blur_sigma_nm,electron_blur_sigma_nm,,1,,13.698084518565286,12.312849281680691,2.497682917351274,0.10066514243635871,0.5711805555555556,0.5630492419933335,1.5210956306304824,robust_valid
oat:electron_blur_sigma_nm,electron_blur_sigma_nm,,2,,14.527181125473186,12.31041177549831,2.4708961622430103,0.09550847259722162,0.6056597222222222,0.4996126432254625,1.0323447669340082,robust_valid
oat:electron_blur_sigma_nm,electron_blur_sigma_nm,,3,,15.656431506862635,12.4780809600535,2.506158977307397,0.08362461214882011,0.65234375,0.4058606187607684,0.6202658495610274,robust_valid
oat:DH_nm2_s,DH_nm2_s,,0.3,,14.253912554723376,12.445499193436458,2.456604900261986,0.11637438168283043,0.5939930555555556,0.5964612335088799,1.3796443532909517,robust_valid
oat:DH_nm2_s,DH_nm2_s,,0.5,,14.527181125473186,12.31041177549831,2.4708961622430103,0.09550847259722162,0.6056597222222222,0.4996126432254625,1.0323447669340082,robust_valid
oat:DH_nm2_s,DH_nm2_s,,0.8,,15.04757922819186,12.300156063116582,2.5885506034555616,0.06784011563100167,0.62671875,0.3941591840529038,0.7869027398071504,robust_valid
oat:time_s,time_s,,20,,11.002557338485891,12.591394704035627,2.455501966873786,-0.017012251284518554,0.4590625,0.49052863411977954,1.2784345374361277,under_exposed
oat:time_s,time_s,,30,,14.527181125473186,12.31041177549831,2.4708961622430103,0.09550847259722162,0.6056597222222222,0.4996126432254625,1.0323447669340082,robust_valid
oat:time_s,time_s,,45,,18.601470847905855,12.69619797620065,2.559052884818706,0.18795685649482718,0.7761284722222223,0.4480004879486527,0.8472688052165942,robust_valid
oat:Q0_mol_dm3,Q0_mol_dm3,,0.0,,16.291935924980645,12.514091848393052,2.483516952227476,0.13986024391190022,0.6786805555555555,0.4789333833255812,0.9893846692157187,robust_valid
oat:Q0_mol_dm3,Q0_mol_dm3,,0.005,,15.832481882687755,12.640712886314319,2.483441602009481,0.12927005703647299,0.6597395833333334,0.4854933662751677,1.0023942438598537,robust_valid
oat:Q0_mol_dm3,Q0_mol_dm3,,0.01,,15.387975299595533,12.441073032246951,2.4770614266401916,0.11834158407050877,0.64109375,0.49114079958411677,1.0103132083380995,robust_valid
