DH_nm2_s,time_s,P_space_center_mean,P_line_center_mean,contrast,area_frac,CD_pitch_frac,CD_initial_nm,CD_final_nm,CD_shift_nm,LER_initial_nm,LER_final_nm,LER_reduction_pct,passed,fail_reason,selection_reason
0.3,15.0,0.018033821736602174,0.5985849119850535,0.5805510902484513,0.41541666666666666,0.41307845035734087,12.458333333333332,9.913882808576181,-2.544450524757151,2.77190169436708,2.590458560854295,6.545799725924795,False,P_line_mean=0.60<=0.65,did not pass interior gate
0.3,20.0,0.0415772402864152,0.6944912455102701,0.6529140052238549,0.48772569444444447,0.4888422067695257,12.458333333333332,11.732212962468617,-0.7261203708647148,2.77190169436708,2.5880986070743477,6.630938163003679,True,,
0.3,30.0,0.11371997684366729,0.813832484011558,0.7001125071678908,0.57296875,0.5739305848770949,12.458333333333332,13.774334037050277,1.316000703716945,2.77190169436708,2.549148205994257,8.036125120363812,True,,
0.3,45.0,0.25489634682861917,0.9012535394666228,0.6463571926380036,0.6830034722222222,0.6834669558250642,12.458333333333332,16.403206939801542,3.94487360646821,2.77190169436708,2.578856382383381,6.964363576673589,True,,CD_shift=3.94>3.0
0.3,60.0,0.39928559645188816,0.9419880723378444,0.5427024758859562,0.8172916666666666,0.8152062526061027,12.458333333333332,19.564950062546465,7.106616729213133,2.77190169436708,3.169334172393725,-14.337899458494055,True,,CD_shift=7.11>3.0
0.5,15.0,0.04776552725303222,0.5875171124221943,0.5397515851691621,0.38321180555555556,0.38215910982883855,12.458333333333332,9.171818635892125,-3.2865146974412074,2.77190169436708,2.5223926130543313,9.00136833206562,False,P_line_mean=0.59<=0.65,did not pass interior gate
0.5,20.0,0.09395019358523451,0.6782959407479366,0.5843457471627022,0.4805034722222222,0.48042293035568484,12.458333333333332,11.530150328536436,-0.928183004796896,2.77190169436708,2.528105492821075,8.795268679312665,True,,
0.5,30.0,0.21006022518366654,0.7922139688794154,0.5821537436957489,0.5937152777777778,0.593619143298796,12.458333333333332,14.246859439171104,1.7885261058377715,2.77190169436708,2.531092523620566,8.687507613847714,True,,
0.5,45.0,0.3929443917830197,0.8794190298946881,0.4864746381116684,0.7751736111111112,0.7742659577070623,12.458333333333332,18.582382984969495,6.124049651636163,2.77190169436708,3.244192684442384,-17.038518755375424,True,,CD_shift=6.12>3.0
0.5,60.0,0.5478043562821535,0.9233611580294837,0.3755568017473302,0.9754340277777778,0.9586830416303801,12.458333333333332,23.00839299912912,10.55005966579579,2.77190169436708,1.5093097776822924,45.54966430629787,False,P_space_mean=0.55>=0.50; area_frac=0.975>=0.90; CD/pitch=0.959>=0.85,did not pass interior gate
