sigma_nm,time_s,H_peak,H_min,P_max,P_min,P_space_min,P_space_center_mean,P_line_max,P_line_center_mean,contrast,P_mean,area_P_gt_threshold_nm2,area_frac,CD_initial_nm,CD_final_nm,CD_shift_nm,CD_pitch_frac,LER_initial_nm,LER_final_nm,cond_space,cond_line,cond_contrast,cond_area,cond_cd,cond_metrics,passed
0.0,30.0,0.07712364004413899,0.03351645486469088,0.7867524670116046,0.21882338890876998,0.22140888451075236,0.31094981240247477,0.7859780434900949,0.762589025547365,0.4516392131448902,0.5697926691891829,9000.25,0.6250173611111111,12.458333333333332,15.00952583401858,2.5511925006852483,0.6253969097507742,2.77190169436708,2.6540792961392965,True,True,True,True,True,True,True
1.0,30.0,0.0789090690678412,0.03628648403138455,0.7891175422057792,0.24582480732230827,0.24852849698364468,0.3433876852270944,0.7883890026504281,0.7665766332711532,0.4231889480440588,0.5894696458453785,9601.5,0.6667708333333333,12.458354738027225,16.013340416906395,3.55498567887917,0.6672225173710998,2.710923041420645,2.769533006251124,True,True,True,True,True,True,True
2.0,30.0,0.07988953057609119,0.040086758448601933,0.7871432701502078,0.29281022839426346,0.2956293605359664,0.3960933720313095,0.7864204227778981,0.7645698240991385,0.36847645206782903,0.6115382388485824,10637.25,0.7386979166666666,12.458324199521941,17.71819534030785,5.25987114078591,0.7382581391794938,2.6041346164160317,3.32677012906005,True,True,True,True,True,True,True
3.0,30.0,0.08025108439489755,0.04465865571170521,0.7812091592975738,0.35938075288639626,0.36210773395729945,0.46210330106098296,0.7802078363751856,0.7573623525000873,0.29525905143910436,0.6333065533095639,12263.75,0.8516493055555555,12.460708547320328,20.310613896857966,7.849905349537638,0.8462755790357486,2.4653748951043815,3.6744872569735967,True,True,True,True,True,True,True
4.0,30.0,0.08007757498322335,0.049489215244966626,0.7717580593271103,0.43468649631252876,0.43694252045991644,0.5256131929823832,0.770871116059194,0.7462323649060306,0.22061917192364744,0.6514694944293667,13831.5,0.9605208333333334,12.494156777110948,22.673449540895515,10.179292763784566,0.9447270642039798,2.379430194303366,2.12332972677627,False,True,True,False,False,True,False
5.0,30.0,0.07945772165131249,0.05381474054641816,0.7598389845348135,0.5021512410704027,0.5038490951732832,0.5762950755492383,0.75914815674981,0.7326938130152979,0.1563987374660596,0.6641515959973733,14400.0,1.0,12.615903031650555,23.5,10.884096968349445,0.9791666666666666,2.4907636138216254,0.0,False,True,True,False,False,True,False
