sigma_nm,time_s,H_peak,H_min,P_max,P_min,P_space_min,P_space_center_mean,P_line_max,P_line_center_mean,contrast,P_mean,area_P_gt_threshold_nm2,area_frac,CD_initial_nm,CD_final_nm,CD_shift_nm,CD_pitch_frac,LER_initial_nm,LER_final_nm,cond_space,cond_line,cond_contrast,cond_area,cond_cd,cond_metrics,passed
0.0,60.0,0.056485566400165346,0.039908619523696884,0.9198864525177534,0.5645947129889147,0.5669273352933121,0.6514983080790867,0.9193225227302584,0.9011437631573452,0.24964545507825853,0.7985368420647332,14400.0,1.0,12.458333333333332,23.5,11.041666666666668,0.9791666666666666,2.77190169436708,0.0,False,True,True,False,False,True,False
1.0,60.0,0.05855457656361794,0.04215005056221953,0.9232392181881541,0.5949477203231954,0.5971964187494255,0.6804673622287162,0.9227345414731704,0.9059246458568043,0.22545728362808815,0.8148226874057503,14400.0,1.0,12.458354738027225,23.5,11.041645261972775,0.9791666666666666,2.710923041420645,0.0,False,True,True,False,False,True,False
2.0,60.0,0.0604736533129431,0.04459266266614757,0.9245197289802262,0.6368986744206216,0.6390132049758731,0.7188826214292658,0.9240587522651798,0.9076447351002183,0.18876211367095241,0.8317537298991704,14400.0,1.0,12.458324199521941,23.5,11.041675800478059,0.9791666666666666,2.6041346164160317,0.0,False,True,True,False,False,True,False
3.0,60.0,0.062192639248940806,0.04714856548049942,0.9239711377038792,0.6873470905347939,0.6892074151942337,0.7613180923453058,0.9235471988276619,0.9069125635573365,0.14559447121203073,0.8475968786101523,14400.0,1.0,12.460708547320328,23.5,11.039291452679672,0.9791666666666666,2.4653748951043815,0.0,False,True,False,False,False,True,False
4.0,60.0,0.06351460327797044,0.04956865982615796,0.9216865754479527,0.7379020182324808,0.739358536343787,0.798911270582463,0.9213244908375818,0.9042213617846194,0.1053100912021564,0.8603270623546556,14400.0,1.0,12.494156777110948,23.5,11.005843222889052,0.9791666666666666,2.379430194303366,0.0,False,True,False,False,False,True,False
5.0,60.0,0.06432711226690505,0.051531194860046405,0.9180086969890814,0.7793608174814283,0.7798957627778842,0.8269926029848631,0.9177234548561759,0.9000005395667324,0.07300793658186933,0.8689704183692533,14400.0,1.0,12.615903031650555,23.5,10.884096968349445,0.9791666666666666,2.4907636138216254,0.0,False,True,False,False,False,True,False
