block_label,pitch_nm,dose_mJ_cm2,sigma_nm,DH_nm2_s,time_s,Q0_mol_dm3,kq_s_inv,P_space_center_mean,P_line_center_mean,P_line_margin,contrast,area_frac,CD_pitch_frac,CD_initial_nm,CD_final_nm,CD_shift_nm,LER_design_initial_nm,LER_after_eblur_H0_nm,LER_after_PEB_P_nm,electron_blur_LER_reduction_pct,PEB_LER_reduction_pct,total_LER_reduction_pct,psd_PEB_high,psd_high_band_reduction_pct,status
primary,16.0,21.0,2.0,0.5,30.0,0.02,1.0,0.46893499760948576,0.5814630449818435,-0.06853695501815649,0.11252804737235778,0.7763802083333333,0.7643494079791379,13.200285142505283,12.229590527666206,-0.9706946148390774,2.695676253890114,2.9704353019745993,4.312423511213764,-10.192583315150777,-45.178166592185214,-59.97557217750209,0.4395590559529728,53.93123532150418,under_exposed
primary,16.0,28.4,2.0,0.5,30.0,0.02,1.0,0.5597917434818312,0.6712811715317696,0.02128117153176956,0.11148942804993833,0.9676041666666667,0.9408501697019147,13.200285142505283,15.053602715230635,1.8533175727253521,2.695676253890114,2.9704353019745993,1.598093141442664,-10.192583315150777,46.20003538268178,40.716429165539985,0.1761637691308539,81.53684444659821,merged
primary,16.0,40.0,2.0,0.5,30.0,0.02,1.0,0.6592858142867901,0.7597993661495108,0.1097993661495108,0.10051355186272071,1.0,0.96875,13.200285142505283,15.5,2.299714857494717,2.695676253890114,2.9704353019745993,0.0,-10.192583315150777,100.0,100.00000000000001,0.0,100.0,merged
primary,16.0,44.2,2.0,0.5,30.0,0.02,1.0,0.6861889278087687,0.7818495549009664,0.1318495549009664,0.09566062709219769,1.0,0.96875,13.200285142505283,15.5,2.299714857494717,2.695676253890114,2.9704353019745993,0.0,-10.192583315150777,100.0,100.00000000000001,0.0,100.0,merged
primary,16.0,59.0,2.0,0.5,30.0,0.02,1.0,0.7559017764669677,0.8349153196673342,0.1849153196673342,0.07901354320036658,1.0,0.96875,13.200285142505283,15.5,2.299714857494717,2.695676253890114,2.9704353019745993,0.0,-10.192583315150777,100.0,100.00000000000001,0.0,100.0,merged
primary,16.0,60.0,2.0,0.5,30.0,0.02,1.0,0.7595401506261514,0.8375128279766967,0.18751282797669666,0.07797267735054525,1.0,0.96875,13.200285142505283,15.5,2.299714857494717,2.695676253890114,2.9704353019745993,0.0,-10.192583315150777,100.0,100.00000000000001,0.0,100.0,merged
primary,18.0,21.0,2.0,0.5,30.0,0.02,1.0,0.3769614797680426,0.5727724202172182,-0.07722757978278183,0.19581094044917557,0.5436342592592592,0.5427860801577239,12.614598889880975,9.77014944283903,-2.8444494470419457,2.77190169436708,2.820585026558353,3.7577923825747703,-1.7563152506528288,-33.227410171711334,-35.5673034946069,0.035583704848856146,95.42607423504849,under_exposed
primary,18.0,28.4,2.0,0.5,30.0,0.02,1.0,0.4604087080921883,0.6624813083210036,0.012481308321003581,0.2020726002288153,0.820324074074074,0.8111059234828826,12.614598889880975,14.599906622691886,1.9853077328109112,2.77190169436708,2.820585026558353,3.7193336754504336,-1.7563152506528288,-31.863909097919436,-34.17985504351318,0.37749389509392844,51.47697351312954,valid
primary,18.0,40.0,2.0,0.5,30.0,0.02,1.0,0.5584420313010096,0.7515468124019694,0.10154681240196939,0.19310478110095985,0.9666203703703704,0.9440256274114857,12.614598889880975,16.99246129340674,4.377862403525766,2.77190169436708,2.820585026558353,1.6284041935299054,-1.7563152506528288,42.2671474819227,41.25317658851081,0.1697656367676803,78.17834249375369,merged
primary,18.0,44.2,2.0,0.5,30.0,0.02,1.0,0.5864752672929063,0.7738663714292661,0.12386637142926604,0.18739110413635973,0.9818055555555556,0.9573619279253118,12.614598889880975,17.232514702655614,4.617915812774639,2.77190169436708,2.820585026558353,1.0998658214330497,-1.7563152506528288,61.00575550544229,60.32089364250753,0.12944650992678228,83.36095891498506,merged
