sigma_nm,Q0_mol_dm3,kq_s_inv,row_kind,P_space_center_mean,P_line_center_mean,P_line_margin,contrast,area_frac,CD_pitch_frac,CD_initial_nm,CD_final_nm,CD_shift_nm,LER_design_initial_nm,LER_after_eblur_H0_nm,LER_after_PEB_P_nm,electron_blur_LER_reduction_pct,PEB_LER_reduction_pct,total_LER_reduction_pct,psd_design_high,psd_eblur_high,psd_PEB_high,psd_high_band_reduction_pct,dCD_shift_nm,darea_frac,dtotal_LER_pp,gate_passed,robust_candidate,fail_reason,robust_reason
0.0,0.0,0.0,baseline,0.21006022518366654,0.7922139688794154,0.1422139688794154,0.5821537436957489,0.5937152777777778,0.593619143298796,12.458333333333332,14.246859439171104,1.7885261058377715,2.77190169436708,2.77190169436708,2.531092523620566,0.0,8.687507613847714,8.687507613847714,0.7779685696152365,0.7779685696152365,0.0006265783347651824,99.91945968523189,0.0,0.0,0.0,True,False,,dCD_shift=+0.00 not<0; darea_frac=+0.000 not<0
0.0,0.005,0.5,quencher,0.20185853344219745,0.7848570078902163,0.13485700789021626,0.5829984744480188,0.5850347222222222,0.5850495505904362,12.458333333333332,14.041189214170467,1.5828558808371351,2.77190169436708,2.77190169436708,2.529433578733415,0.0,8.7473562329572,8.7473562329572,0.7779685696152365,0.7779685696152365,0.0007582850426745864,99.90253011853042,-0.20567022500063636,-0.00868055555555558,0.05984861910948602,True,True,,
0.0,0.005,1.0,quencher,0.19587623856920391,0.7818424916840161,0.13184249168401607,0.5859662531148122,0.5802951388888888,0.5803136547726061,12.458333333333332,13.927527714542546,1.4691943812092134,2.77190169436708,2.77190169436708,2.5280069333671906,0.0,8.798824341264343,8.798824341264343,0.7779685696152365,0.7779685696152365,0.000839013567667726,99.89215328222288,-0.3193317246285581,-0.013420138888888933,0.11131672741662868,True,True,,
0.0,0.005,2.0,quencher,0.18770572156386833,0.7796288240382235,0.1296288240382235,0.5919231024743552,0.5753819444444445,0.5756519370882123,12.458333333333332,13.815646490117095,1.3573131567837624,2.77190169436708,2.77190169436708,2.52569675745868,0.0,8.88216697614945,8.88216697614945,0.7779685696152365,0.7779685696152365,0.0009190171133666672,99.88186963467932,-0.4312129490540091,-0.018333333333333313,0.19465936230173675,True,True,,
0.0,0.01,0.5,quencher,0.19391910098319745,0.7773827766651807,0.12738277666518072,0.5834636756819833,0.5763194444444445,0.5766481557896981,12.458333333333332,13.839555738952754,1.3812224056194218,2.77190169436708,2.77190169436708,2.528678494294646,0.0,8.774596897382766,8.774596897382766,0.7779685696152365,0.7779685696152365,0.0009222450768264573,99.88145471258785,-0.4073037002183497,-0.017395833333333277,0.08708928353505208,True,True,,
0.0,0.01,1.0,quencher,0.18240285860452143,0.7711400884103196,0.12114008841031954,0.5887372298057981,0.5674305555555555,0.5674045092613696,12.458333333333332,13.61770822227287,1.1593748889395386,2.77190169436708,2.77190169436708,2.526765562098919,0.0,8.843608442763836,8.843608442763836,0.7779685696152365,0.7779685696152365,0.0011251815942484528,99.85536927349071,-0.629151216898233,-0.026284722222222223,0.15610082891612187,True,True,,
0.0,0.01,2.0,quencher,0.1668760335592087,0.7664297618903614,0.11642976189036136,0.5995537283311527,0.5581597222222222,0.5584151956250435,12.458333333333332,13.401964695001045,0.9436313616677126,2.77190169436708,2.77190169436708,2.5231351024234385,0.0,8.974582051346644,8.974582051346644,0.7779685696152365,0.7779685696152365,0.001290324812711335,99.8341417811584,-0.8448947441700589,-0.03555555555555556,0.28707443749893,True,True,,
0.0,0.02,0.5,quencher,0.1788160727496433,0.7621061013681191,0.11210610136811905,0.5832900286184758,0.5600868055555556,0.5602807545209854,12.458333333333332,13.446738108503649,0.9884047751703164,2.77190169436708,2.77190169436708,2.5283714180274197,0.0,8.785675077675025,8.785675077675025,0.7779685696152365,0.7779685696152365,0.001310962255516665,99.83148904638075,-0.800121330667455,-0.033628472222222205,0.0981674638273109,True,True,,
0.0,0.02,1.0,quencher,0.15758665592825555,0.7487773667480815,0.09877736674808146,0.591190710819826,0.54296875,0.5424308181349263,12.458333333333332,13.018339635238231,0.5600063019048989,2.77190169436708,2.77190169436708,2.5257226655996723,0.0,8.88123230588157,8.88123230588157,0.7779685696152365,0.7779685696152365,0.001453537385492805,99.8131624538236,-1.2285198039328726,-0.05074652777777777,0.19372469203385556,True,True,,
0.0,0.02,2.0,quencher,0.13006237585646335,0.7381561420983953,0.08815614209839528,0.6080937662419319,0.5254166666666666,0.5251741833308681,12.458333333333332,12.604180399940834,0.14584706660750157,2.77190169436708,2.77190169436708,2.5210179975702354,0.0,9.050959393930814,9.050959393930814,0.7779685696152365,0.7779685696152365,0.0016088055112576977,99.79320430489197,-1.64267903923027,-0.06829861111111113,0.36345178008309986,True,True,,
