film_thickness_nm,amplitude,n_z,ix_line,H0_z_modulation_pct,H0_z_modulation_sw_only_pct,H_final_z_modulation_pct,P_final_z_modulation_pct,modulation_reduction_pct,top_bottom_asymmetry,CD_initial_nm,CD_locked_nm,P_threshold_locked,cd_lock_status,LER_fixed_threshold_nm,LER_CD_locked_nm,psd_mid_fixed,psd_mid_locked,H_min,P_min,P_max,nan_or_inf,bounds_ok,mass_budget_drift_pct,row_gate_ok,row_gate_reason
15.0,0.0,31,119,32.746697543299184,0.0,17.839270652473253,12.227570875973601,62.6601404315481,0.11539668753958032,12.5,12.73317377556901,0.5125,ok,1.4049879709457835,1.4580836096104506,1.5024659840445995,1.6161284879886666,0.021887226564282405,0.20060300599547162,0.7321713228848575,False,True,-34.818786071149304,True,ok
15.0,0.05,31,119,35.448506477001665,2.7018089337024804,17.207543034451746,11.705152554582082,66.97984282588557,0.11046673316715745,12.5,12.26030719109826,0.528125,ok,1.3495962346401178,1.4779522346555993,1.3869746194224246,1.6640671087410372,0.02202927793003723,0.2023780304142139,0.7330914949189866,False,True,-34.79897271551091,True,ok
15.0,0.1,31,119,38.00464496048478,5.257947417185598,16.570398493976185,11.189966422528983,70.55631901267932,0.10560432966162087,12.5,12.287062377311795,0.528125,ok,1.297984202111293,1.41916323071269,1.2841358784107457,1.5360477028792288,0.022160137560873563,0.20407965460837912,0.7337502869444479,False,True,-34.78594563799821,True,ok
15.0,0.2,31,119,48.31045651164551,15.563758968346328,15.274019082232897,10.196761620233913,78.89326171493343,0.09602246463063482,12.5,12.319729476755203,0.528125,ok,1.2066744574730754,1.3159302696859652,1.1139856843371025,1.3263337421783181,0.02238825218964943,0.20726489538575882,0.7342972232769268,False,True,-34.78017820038606,True,ok
20.0,0.0,41,119,44.92946575608931,0.0,32.25746132150139,20.04624634251833,55.382851754026355,0.1827374480276074,12.5,12.400478636093412,0.49687499999999996,ok,2.3429317428099337,2.3165426146669104,1.4011251984392457,1.3686517747514524,0.018814375955564556,0.1754914914788966,0.7321541708679822,False,True,-35.4276172719251,True,ok
20.0,0.05,41,119,45.96480324409011,1.0353374880008062,32.41901770935556,20.19280659685893,56.06898067282557,0.18376740923459198,12.5,12.390622857565527,0.49687499999999996,ok,2.360583336209248,2.333749510549732,1.441778541526293,1.408451090361106,0.01877681969084839,0.17516054132961903,0.7330658723995013,False,True,-35.43446575248421,True,ok
20.0,0.1,41,119,52.052567276169206,7.123101520079899,32.5648387335598,20.335369341802522,60.93301367075416,0.18475911916243914,12.5,12.374269436925326,0.49687499999999996,ok,2.380207463742122,2.3530463041509373,1.4886662615368809,1.454384253404998,0.018730956476488456,0.17477674021453102,0.7337162568888294,False,True,-35.447856455133206,True,ok
20.0,0.2,41,119,65.2023855811969,20.2729198251076,32.81037633508009,20.70717662504989,68.24168864302806,0.1866503486670795,12.5,12.32246882910834,0.49687499999999996,ok,2.425416957641371,2.397504526968015,1.6029515973474904,1.566184350601997,0.018614276929035344,0.17384992501263957,0.7342464637592998,False,True,-35.494391864655945,True,ok
30.0,0.0,61,119,70.5146017457478,0.0,62.666323224164806,38.165510417854065,45.87573428342373,0.3223036254047728,12.5,12.695578334121802,0.43437499999999996,ok,5.304680674530975,3.8748931851509454,12.787468218814887,7.277907458938162,0.01374038810145296,0.13242389950939001,0.7321538052016816,False,True,-36.54472534716081,True,ok
30.0,0.05,61,119,77.0270015539024,6.512399808154598,62.446269101164,38.2411795461355,50.3535399604321,0.3225871362540289,12.5,12.702919200516357,0.43437499999999996,ok,5.487358878567851,3.8536765381604097,15.056064656246201,7.1108499983714015,0.01377407420070884,0.13280189958172245,0.7330655601604086,False,True,-36.54527062530378,True,ok
30.0,0.1,61,119,83.44118897590472,12.926587230156926,62.1977660875598,38.30865480299524,54.089035315571046,0.3228081360737322,12.5,12.704717214360011,0.43437499999999996,ok,5.38375453697023,3.834585928944052,14.054756314090401,6.9592087094225334,0.013803195849587734,0.13314923430802464,0.7337159970256282,False,True,-36.55183010519445,True,ok
30.0,0.2,61,119,96.05879370968641,25.544191963938616,61.613178310632364,38.42138725080462,60.00221763462529,0.3230747549341613,12.5,12.691579079678116,0.43437499999999996,ok,5.541062901558634,3.8026764072436863,15.541485581487091,6.701784661540065,0.013847746286820608,0.1337521505578936,0.7342463061763971,False,True,-36.58304941335916,True,ok
